chromosome_id,101_19YR_F,102_19YR_M,103_19YR_M,104_19YR_M,105_20YR_M,106_20YR_F,107_31YR_F,108_31YR_F,109_32YR_M,110_32YR_F,111_33YR_M,112_33YR_M,114_37YR_F,115_37YR_F,117_37YR_M,118_39YR_M,120_51YR_M,121_52YR_M,122_55YR_M,123_57YR_M,124_60YR_M,125_71YR_F,126_75YR_M,127_78YR_M,128_80YR_F,129_94YR_M,130_89YR_M,131_87YR_M,132_90YR_M,133_89YR_M,134_86YR_M,135_92YR_M,136_87YR_M,14_1YR_M,155_22YR_M,156_25YR_F,157_29YR_M,158_24YR_M,159_23YR_M,15_12YR_M,160_26YR_F,162_21YR_M,163_67YR_F,164_67YR_F,165_68YR_M,166_82YR_F,167_66YR_M,168_68YR_M,169_70YR_M,16_24YR_F,170_69YR_M,17_25YR_M,18_25YR_F,19_26YR_M,20_26YR_F,21_28YR_M,22_29YR_M,23_29YR_M,24_30YR_M,25_30YR_F,26_30YR_M,27_30YR_M,28_43YR_F,29_44YR_M,30_41YR_M,31_47YR_M,32_50YR_F,33_46YR_M,34_50YR_M,35_42YR_F,36_47YR_M,37_41YR_F,38_43YR_M,39_44YR_M,40_45YR_M,41_46YR_M,42_46YR_M,43_47YR_M,44_61YR_M,45_62YR_F,46_62YR_F,47_63YR_M,48_64YR_M,49_66YR_M,50_67YR_M,51_67YR_M,52_68YR_M,53_68YR_M,54_69YR_M,55_69YR_F,56_83YR_M,57_83YR_M,58_83YR_M,59_84YR_F,60_84YR_M,61_84YR_F,62_84YR_M,63_84YR_M,64_84YR_M,65_84YR_M,66_86YR_M,67_86YR_M,68_86YR_M,69_87YR_F,70_87YR_M,71_87YR_M,72_87YR_M,73_88YR_M,74_89YR_M,75_90YR_M,76_91YR_M,77_92YR_F,78_96YR_M,79_1YR_M,80_2YR_F,81_3YR_M,82_3YR_M,83_5YR_M,84_6YR_M,85_7YR_M,86_7YR_M,87_8YR_M,88_8YR_M,89_9YR_F,90_10YR_M,91_10YR_M,92_11YR_F,93_11YR_F,94_12YR_M,95_13YR_M,97_16YR_F,98_17YR_M,99_17YR_M
0,0.0,19.451772329065747,19.447686053003945,19.419499163177548,17.767389966814928,15.632613343853313,17.08371782957832,19.53338628575591,18.310292939454325,19.956425053179046,16.207653657203764,18.62102439936952,15.620382515251453,15.817910366733447,14.570104472323894,19.41487041250041,18.20111887048738,18.133855686366875,17.64717188898124,18.960933950496482,19.779802594050853,18.077078925415208,18.50564827426887,19.3283987644173,14.07069288076805,24.03017197701126,22.819131414630828,23.249408157025723,23.329689958488707,23.753156438726506,28.151920784586665,23.12700499974897,22.035140222664896,23.19655078000315,16.008093631683177,17.83694011726336,20.101790914704644,15.83723532364272,18.835077948029124,18.828298318344093,17.299431638942508,17.87262527987058,31.251249015299464,27.004152895723706,25.128783611610007,16.003974794346483,16.522792683148932,18.861797302824257,20.189313804311915,16.912549133002322,17.72291089348761,19.405622964737052,18.503141909274134,17.654102844205124,18.94781716039545,25.614971565594487,18.05229980405426,21.95440201327004,18.855211871027176,16.62898639268454,21.90879071092329,23.56659608607046,15.975298572848798,21.262527099969244,17.592520861285845,16.013711741821954,20.872160521604965,17.96025654040163,14.27247730698669,16.25793937636813,14.0341837397588,22.310707732920335,18.970334165926182,19.90613401413893,18.765697717881185,20.46323514893558,17.979932505359375,17.7621427059201,18.011821871793973,18.756963362988028,16.35606741877892,16.77598172466545,18.713392467649005,18.41699841205444,17.047401514400814,15.278178570382476,19.043757058854975,16.22912689024647,18.10229430392727,23.06613553049899,18.661338678476127,17.56388473024044,16.347258949473993,22.964178533564514,27.835892292798068,19.62202160026118,17.892809468800095,17.102643204466794,23.121513688128456,17.282506684755916,21.903241666548315,23.829658587571387,22.484356178118556,22.615949714562536,30.911406747975374,26.521652970152203,21.8003740790323,18.73678117326726,19.654365962255834,25.911732041256258,20.145268278346133,23.902417480805624,26.669503454985087,16.421803751170067,16.27547953435748,15.493788570079957,18.550542688632405,26.001648115724855,19.65014304077185,19.750406359212146,20.870082904253014,20.744811712739416,25.483871185436573,17.829697410772923,21.674799872391397,15.997667985116896,21.910082025304618,19.542720085344705,17.347440753782926,16.739243127957387,17.587077287791562,23.397592368517863,14.45956504158654
1,19.451772329065747,0.0,17.082054923141815,18.00897448056641,18.005007132697433,19.33432974413007,15.908804578471036,19.122182507473966,21.625160293055195,22.43454835552469,20.817581392179754,19.72558392603796,21.04856248880436,18.448657250899068,19.12047666488088,21.91061881539719,17.969795567832524,19.657849185218087,24.688030894125923,20.4808078073767,19.12150280496194,20.475655863285773,20.807111777986492,18.899653888032528,15.233041110152953,26.055479753588003,24.57470343945067,24.15004129578766,27.91935690641805,26.667919672427036,29.694911504945264,25.714808391590676,24.798128290168215,28.620990069835276,21.360312878415765,20.71293093393503,18.099009095321634,19.012612225179954,22.248276252062816,22.61534408304933,19.767846310068176,22.08051711252996,32.71046998976154,30.24704537629434,24.70276389522599,19.020247176577886,16.330528901220838,22.392675360055993,20.92281347637309,18.702291871758078,20.72191398852163,20.83103593383373,19.28228457668153,18.88047162242304,21.02475364439879,26.43269175055423,18.733466123074137,26.355772719555926,19.859149625648055,19.027589130985692,22.95093681131269,24.49813360822134,20.53559074339239,24.05943976308535,21.35467994320058,19.01166662687095,24.921590279894648,21.874231527969215,17.797331050953243,20.819787377439233,22.264114895904882,24.504224591211525,20.65218323030928,22.882902492639925,23.47026408961177,22.5331869824526,19.873726078279798,22.664198601547966,19.102395765648108,23.62559062599778,17.90253116429788,23.367562174264627,23.302263139510238,16.4287791557266,19.049892754475753,20.021108858662455,20.96457516618283,18.58481912108482,20.959860613266752,26.114012140541814,20.606915636060727,20.932074189451814,20.51804398519998,21.701353123729614,25.900080033166677,20.663219302864064,20.393397424965084,20.930226461849863,23.059986132759136,20.35773788565747,23.756383312151357,27.259003083080366,24.425897298907202,21.916545575134727,32.09488270887302,27.0998682698647,24.481635828729537,18.596635208543447,21.30553877290384,27.474932018686935,22.481802728637955,26.92115625462434,27.23149923992339,24.528602774182577,19.00991483378972,21.651299845481944,20.902480285746933,29.712647294649866,23.904816340230855,25.42978994012638,22.48220058764242,21.325873732219147,26.33475163788573,23.452792471400752,23.950395177381733,20.96839965498875,23.568934927317397,20.3788459565035,17.023243057852763,19.899842074012696,18.82294899442961,22.96712150677558,22.458481024306767
2,19.447686053003945,17.082054923141815,0.0,13.18251521702366,19.21011655136992,22.145794661727574,16.759737135297097,22.865260440529063,22.0979853904473,18.69319394343855,19.448382427001512,18.96623611194687,19.42570294095209,17.877465680535337,16.734457179733717,23.26161182097954,15.421524842292758,18.619713580509444,24.088918966881796,18.883568815910774,19.095857822747035,19.049934035108787,20.765567803865245,17.412435260072233,17.691432923157926,25.246411545071684,23.80324928900096,23.35266177301781,24.622746309455252,25.107338293742856,28.733859523334157,23.872318756853932,23.74346040817513,25.55933109460036,19.288304095899054,19.264374589705586,21.125821292554477,17.505145512454376,19.985256637698278,20.15189534250017,21.802311458667837,21.87540356434665,32.34867049359671,27.639331351934775,23.94535021698336,16.800091554642883,17.52424939860312,21.961558423308347,20.657878019624214,17.260496792836683,19.553780888279217,19.4917399411047,18.212055770847495,18.68519684581378,21.107240502616122,26.80814609345161,17.807229543682467,24.983151391231473,18.74537079680674,18.428439526592268,23.309351244309127,23.71205103813053,18.06863057280121,20.640533582860776,20.44878036458584,18.439248451176024,24.090425887772952,19.84589382605131,15.951570621089195,18.232273463941777,20.6172607017539,24.652121459212466,18.905784378270788,21.636556958744624,21.53733798898804,20.58921184669425,19.421959745100374,19.021896373255792,17.847411581199648,21.534465847839144,17.30971677659852,21.097905052820675,22.153044849996228,17.011924343744823,17.62889763185801,18.708265800622936,20.38478692941917,17.437653848306528,18.561472447243982,23.434286706813495,18.03083302267418,17.94243151574454,16.196631642699984,20.509855380318985,26.237084897503063,18.35568156875129,18.220284463215254,17.985281341110735,20.776223975527692,17.017706209252587,23.66086817344163,26.294977639938274,22.567725568908806,22.06037692238006,30.989757286210516,24.32140991232492,24.44141455860313,16.77939110892705,20.75813421741002,29.216158519759873,22.862892779392496,25.29004601308823,28.748933511524818,22.378835356780034,19.952176831565545,20.21773197568553,17.814730084779953,28.9266419245851,22.10650260248497,23.275283168279543,21.076081560975055,22.59722790783959,27.502104105972936,22.473263461763885,22.375059238869866,20.19262386449952,21.700636242857172,17.567144816917462,16.387523510374336,17.85492452074137,19.826667251249475,22.516412135249794,22.94779777895389
3,19.419499163177548,18.00897448056641,13.18251521702366,0.0,17.486481814755155,22.84482791895165,16.679515449236547,23.804870753920635,22.835656858372648,18.732363554903277,18.132671894422813,16.775759707030726,18.94979996307276,16.64168168123441,16.712038609317755,22.143532899150287,15.388461417798103,17.57116434450178,22.189975768261867,18.802854856379202,17.86343784508365,17.071544315787172,19.975554036620288,14.677222314839844,16.932905938480445,24.899882605313046,25.000139821111315,23.50092931733957,24.970901151645908,25.17652907165703,27.074545144381144,24.196451476606605,23.725655031519235,24.522285017894127,17.11917794160442,18.64136961721794,20.413032140123175,15.751310250404847,18.660759925607465,18.81980181455943,22.225166484482838,19.39314826526804,32.156180626856184,27.480236599861303,24.444369801562484,15.343352764868419,17.07349603473864,20.412394460051175,19.43253937355946,16.025869666344295,18.61058731379353,20.437614714813623,17.434275506755938,17.382924225075847,20.33426223542233,25.94451349414666,15.68469126946658,23.594741506186875,17.868791600304196,17.33760026915685,21.629077333038044,22.660015198494833,18.467814824637415,19.19085205282292,19.99127103593214,19.274718260858748,21.893860451871536,18.984761858523726,15.633620568534104,17.580698075672935,21.792164694646036,21.644738676519683,18.23536394772495,20.904277623758936,20.408275517970765,19.18187906441471,18.993883137358843,18.231855289942544,16.541081917495273,21.08413472886519,17.166182079174458,20.45273418232203,19.986173793351956,15.634416604834799,17.46118393578918,18.2799169279453,21.246700912421993,16.326321092256517,18.083469823031702,23.034211717900515,19.31165010581482,19.263793714518638,16.782345663196825,21.79213614484382,24.86552075002786,19.873973732369993,18.264056226252375,18.435260496198147,19.654414940680912,17.22625845424941,22.624616076487634,26.37753556653264,23.40274465367036,21.86187580073096,29.92785837803623,22.60266984689164,24.329027591729076,15.7397731907752,21.405163956499905,29.453670590606745,22.788774720200205,25.49523795478186,27.26528407295171,22.482709104252887,20.974155684662747,19.146738888165533,16.52635860651739,26.958041862370383,20.7814416950226,21.964724435406843,18.979219634943988,20.92238592214828,25.520094363138767,22.384301516348913,20.98687617087644,19.00680738426881,17.978155211347925,17.693075899579128,16.684784800867863,17.006115464885042,19.36515913144879,21.737802902924432,21.85315110654197
4,17.767389966814928,18.005007132697433,19.21011655136992,17.486481814755155,0.0,19.39169257646222,13.529129995090223,18.513441955546927,20.945272710633922,20.84972687920978,19.428443944983183,15.593871271895996,15.71360991774887,15.642483474227493,18.42728854575361,21.07901723248206,21.2084936671992,13.520268489682651,22.511936903847605,19.40059842443403,18.408461549392435,20.22724113459641,18.600691369515157,16.335218354584107,17.716848389142104,23.5667652832509,25.818264948188226,24.710328911555912,25.856936226237462,27.043994541635225,28.39915221332503,24.443734305194592,23.488244914954166,23.369165299160457,15.998156603911175,18.895374000746568,16.798056662417196,16.177138427501326,18.304196722750447,22.11871903201913,20.16536574445134,16.616309515372947,32.06545323657408,28.3290598323718,25.132981271372824,16.4726430257187,15.53857492164585,19.181447387123026,20.69185239748224,18.00960485290086,17.757916841796398,20.995261496090592,18.625340190945025,17.685449670847532,19.154515020200417,26.032574736258574,18.287496135727075,22.377511257932795,18.58791475977925,17.449980222864827,22.00794575641951,23.613063496747092,21.64086621529576,23.78404427516215,20.549323359974096,20.486989411839037,23.243044490934277,21.150739452788965,17.93216435631164,18.945886272104165,20.58357478661001,21.893332902319685,19.575782711192787,20.33744479601843,19.884263079760757,24.332135001609675,18.276305764366487,18.795736807433613,19.49119604470379,21.541741573752105,18.348247160302638,19.59570399248308,22.218532449013434,19.124881119450194,19.660845221956894,19.040787972458396,19.68126575616317,19.20046007467947,21.086182888372928,23.30492798781492,20.28468151620336,19.40482840892786,19.061860868565873,24.13163054507476,26.056122363365787,20.21540759093001,18.976224386147116,18.18749267402866,23.07494065499825,19.00878172005899,21.98256592674009,25.272371450851132,23.356855359901694,22.92323519703528,31.295456852847625,26.26424964621863,23.786662980101674,21.019454510188027,20.729579625806892,26.321494439802063,22.40685775292543,24.287713349898745,27.302343609661886,21.689744917478006,20.143956438645127,18.888842487904448,17.897163740365126,29.167216494569008,18.99382666934074,20.92024373925243,20.080544159979873,21.370247965889295,24.8798357022459,21.67578674180745,21.886033809218194,16.56214938012402,22.145753593727317,21.644639632137324,16.069209915722595,15.689988102528918,14.103950567146113,23.166439689156572,19.153087992723737
5,15.632613343853313,19.33432974413007,22.145794661727574,22.84482791895165,19.39169257646222,0.0,19.647038931942067,18.087818728756584,21.308507756408307,23.06320582321445,19.751792479270815,22.34393875770581,20.199953842950215,20.276873714108493,18.557979255943884,19.527968458641382,20.11797442669135,21.79422997965657,21.909579416689965,21.891818206871605,22.130853712515126,19.938013649093268,20.292015406023925,20.48454733449838,17.52684189987231,27.31614878555568,26.291137581081763,25.208506420326245,26.329108094042102,24.40666405920082,29.77146554551392,25.8686507034814,25.509843291350176,24.825667061234327,20.453409517294638,19.27769821353413,19.88698501483854,19.24780993014658,21.916848445383724,23.168552500883997,19.10520352734075,20.66251166866017,32.810178473675,27.63801665121897,26.484322753002907,18.31847874252437,17.995284224840137,21.723542428975865,19.94424587571102,19.98708554953227,19.763669266368037,21.580486578357487,20.372836125317836,19.059961504736215,21.162127613485172,27.317504944167624,20.717211831345637,25.666038485904757,20.25975017259591,19.235820455819734,22.802894745837083,25.557684096164863,19.536530473851517,23.35892277673581,19.07303948185818,17.937830593162023,22.521444368898564,18.202465369999683,17.61611482864234,19.677160007163668,16.15569267946011,24.01482927727737,20.889236946034742,22.12089851641475,21.99154778429725,22.484237601393016,20.15847442080228,21.882951701426173,20.44563534996183,21.55908857179334,18.433605013538255,20.097058964554204,21.539579179729664,19.894638229451992,18.84355356761627,18.117361937003377,19.28515726557427,19.28227691923526,19.63543954182528,24.49790844053054,20.372954343747168,19.936534563229493,19.040333108899762,22.639928536407798,26.583474920374233,19.968290713961842,19.022978120936326,18.733460228534078,25.740077513641754,19.854841380870138,23.9042592588537,25.128126718494954,23.189451160134254,24.95787404094938,34.62977857145194,28.60297627981184,24.699069163556192,21.456987180667678,21.77653383338993,25.222893379751167,23.82638992822197,25.809183064683225,28.22184944871476,18.400245266924777,17.083460634254983,17.80531248953107,20.973086562728056,29.798311740463937,23.30536206732961,24.61122867363403,23.57243615207777,21.77961963487061,26.73018885227015,21.37729322262193,22.629248022592073,19.38592836613555,25.414555236826345,22.166750081215547,20.677539703797084,20.791112817814977,18.987930420170386,25.082166327384513,18.530863499818718
6,17.08371782957832,15.908804578471036,16.759737135297097,16.679515449236547,13.529129995090223,19.647038931942067,0.0,17.662325173739706,20.167383080893014,19.197137613629085,21.05941912249692,16.468190437273005,15.438586455328595,15.566447687584962,17.459874643857034,21.860945021532235,19.055719306073875,16.04778739537483,23.037031569576552,19.38859815605382,19.745462603613916,20.873502847784472,18.719358995191698,16.259785979219952,15.719923709481284,23.749438552893437,23.55265800560047,23.561714071835876,25.09916645014326,24.782595289281804,27.885973370740494,25.4946633557666,24.02210086402757,23.915601130763836,16.20535212672632,18.103029115132497,16.182258299422063,14.980777970748328,19.817082641878493,20.54857668725432,20.13257677775376,18.537132131665018,32.19839976106412,28.309609939429624,24.906417586137824,16.91094122041661,14.007447792772071,21.060407201944685,20.81584594716748,16.191471536426764,17.29113487345917,19.01196493143119,18.930391372332608,18.37792746640859,17.335533055178765,25.756090204145536,17.253519195194798,23.78535444073073,16.93727427744956,16.10175860512588,20.70620005285766,21.996854195029442,19.924542489207564,22.554210180624427,20.689091354853787,18.109347565729383,23.607246838586125,21.76314576191047,15.76522827752788,17.32915058900301,20.39465195901762,23.48161095508535,17.938917163897273,18.754378102337213,18.891379458696527,23.051139909954713,16.690925700613924,17.744669900636566,18.47995303494861,21.036278653727923,15.89449072991518,18.362472065881505,21.902574569726653,17.246260815512183,16.77834576169317,17.53336072088084,17.20359335775843,16.927222081316934,19.914374389335183,23.39866576619565,18.621111967858504,18.922591136358562,16.96283825538848,22.529441274922892,24.25901659787864,16.98888325034006,18.654212309330955,17.314317737895372,24.057588271595204,17.479892600077605,22.515141051943793,24.778278833843423,22.826790412865115,21.626880882711802,28.674430425993116,25.177601515874922,23.85754060161721,20.068307319565832,19.883997457457784,28.495466589991942,21.22668651781587,24.056228520557678,27.91346260479428,20.253778735722918,18.167343610323645,17.96360496051536,16.729907141489324,27.800699033509353,17.471574713600518,18.67597672859439,18.742903951712687,22.266950121504177,24.776742740045087,19.225433939712435,20.478332482747554,17.219534467250053,21.50737929429471,19.38092363408931,16.072779771285827,14.847676955552386,13.205576635033909,19.660001676580595,18.326903476481856
7,19.53338628575591,19.122182507473966,22.865260440529063,23.804870753920635,18.513441955546927,18.087818728756584,17.662325173739706,0.0,19.397403715082064,20.908725103278762,23.82608866723479,22.224024415280184,21.587976716859572,19.431123073592016,18.432193851058187,22.713319541971103,22.700005959948385,20.655437657792568,23.09896512559797,18.918871065099065,21.312626560346043,21.96742518784958,16.52014213706402,20.885621529183894,17.696602413031172,27.55343951543461,27.002372803345448,24.28226797307632,26.980459392521556,24.12052536557715,30.455628116184858,25.472516700754547,25.516097715707332,26.909885423077377,23.40666632812265,21.51291412298253,20.750066114387486,21.061744996909006,24.227083131288286,24.829027120887094,21.33442077298612,22.90344554609989,33.04579408848174,30.705864360547448,28.201890555333467,21.458838517205105,19.353862962576972,22.830950286473932,22.298222349166124,22.474863137362348,21.692903943734212,22.640835312333692,20.84662697444797,21.24378804882451,21.38001083802927,28.259143774797113,20.812307490765132,26.02118332173271,22.872518885772887,20.441678396433595,23.694299219895356,26.546349619565603,23.011565075851745,26.591020009874363,22.206998037850052,20.4937700149679,25.130035021011004,22.319676966768075,18.78790132306653,20.19556604104058,19.528147723749637,25.457927073027637,23.10701003414902,23.74150701315398,22.380910737035236,26.988541427594214,21.088643013542747,22.286521838586108,22.404840203075018,24.781493631341686,20.580845546224477,22.748766213893713,23.978557076008887,20.690165767263274,20.80870851463318,20.713085629420572,20.98811557058581,21.069149378196915,23.085548705998786,25.7791807663987,21.950510036645234,22.359341480584025,21.31610105857671,25.925395476148687,29.671304261091322,20.813648021854497,21.376114911844105,21.178999904189926,27.533105991790865,22.513926230154155,24.589254756147167,26.677165213312335,24.240541337818364,26.03006750110938,34.766914090042405,29.97696493243154,25.769440130904663,23.72737126068608,22.47543049661858,26.750922973290926,25.075448861646734,26.057822716099096,28.009716973598696,24.729950919309555,19.343328922662653,21.46037072753388,23.389320823854955,31.532308913650446,22.30333064740695,25.76877387197687,23.75732924110632,24.982498392332168,29.193237831562755,24.470455470699726,25.302626724105835,21.675983398160007,25.346333725727785,24.447504640293676,20.577992894191212,20.53293440279826,17.04113514156352,26.87016426324658,20.31769507545922
8,18.310292939454325,21.625160293055195,22.0979853904473,22.835656858372648,20.945272710633922,21.308507756408307,20.167383080893014,19.397403715082064,0.0,16.65517068121421,22.60777640569182,20.923563053717153,17.694743376406734,17.09902655349881,18.608836967177137,22.65027391612558,21.311889461831857,20.094055967545188,20.986254144096684,15.7480830967075,23.18320577774386,21.161404250607557,15.712891233963848,19.584348266686305,18.62595480323488,24.706896869710004,26.588888454877328,25.759836791993404,24.42345798749504,24.481107104333773,28.35667538630264,24.322426639641414,24.40542119314034,27.95430769254101,21.901995271837595,22.864170222294835,23.246118219227792,21.3759787901228,22.354246837337428,23.95241426674586,20.684243336011473,20.664312992623273,32.456250375399584,27.575597742452427,27.387105826399694,18.29965379507557,21.025093032404314,22.76563209245683,20.757339603504523,20.800059857243518,21.089769883830314,18.507139269010818,19.51072005334959,19.18805756915814,19.816926507627315,27.731193986118498,20.537436001413965,23.58495100203444,22.08172829825902,18.08233219018004,22.80070366702158,25.13831334930655,19.504658852237636,23.903490801782997,20.41918538623495,17.29613525250405,22.059859955418933,21.96228234969827,16.887625569295864,18.38059883202984,18.127344788442155,22.447116015056555,20.185570933220006,20.18419391695938,19.852411053275524,23.866978169134978,19.548261118497145,18.917402526747942,19.71660036152473,20.525675890644006,16.774691560409444,19.040687354547526,20.640159732641568,18.512428931990204,16.905148185304615,17.449034968862108,18.058006503060923,16.292520218313882,20.54578832601299,21.84169949448195,19.026511260910226,22.97956527432209,19.291009372950274,23.80903953104125,26.483135109392325,20.429266256861965,22.36520607224493,20.878938880959467,25.404965245156944,23.042078670884088,23.897077926828302,23.70619841913301,23.524667236540807,27.001683001912124,30.586381387315182,29.43030218733674,24.376780203246536,23.802297049303334,21.803286427922572,27.601506073362675,24.277224710780985,25.033507897499657,26.91852590424449,21.732647594455074,16.604111868125,17.13861470557195,17.786774165935228,29.82253164616983,18.628543049513745,21.73705966543714,19.852409892430995,25.6197062258658,25.295871285193016,23.473340378858474,21.772565035941202,18.284192334286807,23.057611573589057,18.65142144093841,17.948786296594275,16.74656594957517,16.7486768129221,23.47366273714557,20.219376076090818
9,19.956425053179046,22.43454835552469,18.69319394343855,18.732363554903277,20.84972687920978,23.06320582321445,19.197137613629085,20.908725103278762,16.65517068121421,0.0,19.357235392397353,18.164290707373777,18.576537730120958,16.213023530651707,16.896087569885285,21.993257557877243,19.96549841633895,17.725680241872485,20.971330649964038,14.58170900207536,22.233292532111374,19.709482528418363,15.472910677037678,17.408097898099555,18.408995142790033,26.48636480699111,26.116750342087492,25.513765332797643,22.22438668158048,25.197429174823924,27.793304493877017,25.446108204573502,23.5532832973393,26.279233820966965,19.232379210742288,21.702470033220195,23.56024201539884,19.38796912898034,20.817637955329083,21.546045245750417,23.422997240226323,22.424385155813688,31.529748023764476,28.550355891823973,27.7392999298379,15.189041817154393,20.827383078174535,23.27450606606754,20.36616711415424,19.510253364299334,20.384600850218163,21.672609253888282,18.60041077421174,18.3257462396806,20.141412389483207,28.338061242311763,18.991493635719245,23.79062072614061,18.991553544534575,16.730223319431737,22.51778421600161,24.217085989448357,19.70864364034315,22.851311305289176,21.067374551370786,17.496393490618257,22.00112924281358,21.418926212160304,16.71428825934389,15.559509437964515,20.129919640864376,23.436765772171103,18.09504372640877,20.893272275448464,20.491936515598926,23.487149029720285,20.25813782906212,17.043283720717938,19.37749649280604,22.265867062235134,18.410721112128684,18.536382274867112,20.98189086802794,18.395119303837912,18.18140266944015,16.893333220083836,20.468015261739342,16.194570377299364,21.21325787910126,24.202450891759263,19.005275475186462,20.927001687807355,16.883556858802955,23.55886314829415,26.13360114815167,21.587643834806112,20.893471613368938,19.227232385988533,23.08989543368404,20.138432256214557,24.10689909313642,25.203343277381506,22.58553917381348,24.934020677288746,29.93821414851727,26.736239585918742,25.17925834668909,19.968097515194028,20.922696309609947,29.875575900891725,25.486911584384664,24.770264240493738,29.424150937389207,22.326053637402833,18.418695337858658,17.178320867435172,16.53371612213748,28.937524056766833,18.89549123552211,21.370754959995846,18.384274273272418,24.3071616684399,27.610881788088506,24.111040407327273,21.013465533707844,17.697992255854974,18.860604742625142,18.841253306217627,17.049779245380513,16.59291334341303,16.931646460296292,24.131808579062564,20.929105490641646
