chromosome_id,HGPS_297_L1_ASO_1,HGPS_297_NT_1,HGPS_297_SCR_1,HGPS_478_L1_ASO_1,HGPS_478_NT_1,HGPS_478_SCR_1,HGPS_917_L1_ASO_1,HGPS_917_NT_1,HGPS_917_SCR_1,WRN_1_L1_ASO_1,WRN_1_NT_1,WRN_1_SCR_1,WRN_2_L1_ASO_1,WRN_2_NT_1,WRN_2_SCR_1,WRN_3_L1_ASO_1,WRN_3_NT_1,WRN_3_SCR_1,WT_1_1,WT_2_1,WT_3_1
0,0.0,24.351808085161917,24.195284189373893,20.752424494722792,23.4537821833239,23.256386212287328,20.20165185377128,24.185080286425194,23.770973136282095,21.150894500991427,24.12719232983881,23.953213398969396,22.581369132665806,24.506051855260065,24.288524559273736,23.059698614150232,24.190779157323465,23.651488085662482,23.736167641113504,23.56218307051976,22.80084641847802
1,24.351808085161917,0.0,16.31197019484989,22.9744620293043,21.15136655579419,22.271951749988173,23.98573187786311,22.355843486381396,22.459343223200744,24.053066251598924,22.354958034119992,23.43966619483413,24.150683468304056,23.183852266011346,23.024875404494512,23.74196441569,22.839333312752956,23.430190791815246,23.76612059770408,24.040387864150922,22.230103750662835
2,24.195284189373893,16.31197019484989,0.0,23.24203833976708,23.029470922898568,20.914193914872918,24.091187191510887,22.74700523328539,22.40588051241536,24.0606455054145,22.73643401038664,23.02453919946647,24.24003473698199,22.575035374112783,21.81838424324634,23.632879457106228,22.74839785689665,23.897846026691578,23.62918374912637,23.946609007603936,22.62890560797891
3,20.752424494722792,22.9744620293043,23.24203833976708,0.0,23.100694295602896,22.799044044454227,20.250865739297478,23.195864920275106,23.071677560017946,22.61566221709557,23.038280313725878,23.88508711574484,22.523149162896,23.74896439166869,23.95730482085513,22.50897169668019,24.00037968407742,23.15855604842942,23.53246795936241,22.509218743006397,22.227180283732142
4,23.4537821833239,21.15136655579419,23.029470922898568,23.100694295602896,0.0,16.96125956789469,23.96373057748471,21.72626421583797,22.886698145460727,24.14884595929585,23.569898204318743,23.45377219061589,23.299408204944978,23.089241013385454,22.185689959126,23.923198397711868,22.978713955723382,23.691614552855754,22.866915779401985,23.857547247764426,22.987542489497162
5,23.256386212287328,22.271951749988173,20.914193914872918,22.799044044454227,16.96125956789469,0.0,23.57387087558742,22.71825155681436,21.76827450130215,23.93962343939496,22.671367854340627,23.669847504055948,24.01630664656855,22.631954273807626,23.01741608660445,23.203815727326194,22.977900046053342,23.061956042638716,23.79737323113007,23.266903538784213,21.668861908428276
6,20.20165185377128,23.98573187786311,24.091187191510887,20.250865739297478,23.96373057748471,23.57387087558742,0.0,23.791890039866175,23.81477003710144,22.605537270029608,23.76666729924249,23.93874162390082,22.669803100677413,24.133143652197834,24.009550242907988,22.456102953055947,24.407478754233583,23.63515717379803,23.656601061530136,23.25301698366765,22.832092083996145
7,24.185080286425194,22.355843486381396,22.74700523328539,23.195864920275106,21.72626421583797,22.71825155681436,23.791890039866175,0.0,18.279681337766938,24.108566837057605,23.110871906670138,24.392318732041833,23.867157454053373,23.02613743169853,23.568685276266173,23.977574952498568,23.733087686458756,24.249878777161236,23.73188188582459,24.27850082624529,22.662575200360482
8,23.770973136282095,22.459343223200744,22.40588051241536,23.071677560017946,22.886698145460727,21.76827450130215,23.81477003710144,18.279681337766938,0.0,24.02239081332318,23.232926731269835,23.32157238527784,23.93281490024372,22.81119543970095,22.26252461579613,23.09975679771732,23.15350830464216,23.93775514990318,23.539108266647737,24.261321355609958,22.89975745640908
9,21.150894500991427,24.053066251598924,24.0606455054145,22.61566221709557,24.14884595929585,23.93962343939496,22.605537270029608,24.108566837057605,24.02239081332318,0.0,24.31433904558155,23.713827456502212,20.946569815741285,24.178253472445398,24.27771775868022,22.505465472448833,23.83250980531881,23.497271240636124,23.868103617529083,23.65211660404614,23.619556605170875
10,24.12719232983881,22.354958034119992,22.73643401038664,23.038280313725878,23.569898204318743,22.671367854340627,23.76666729924249,23.110871906670138,23.232926731269835,24.31433904558155,0.0,21.59391389516062,23.99558618503192,18.95024788112558,19.779642266014214,23.706679557216663,21.326728758141755,23.28553797579687,23.677993208427296,24.402217434165188,22.875265433216065
11,23.953213398969396,23.43966619483413,23.02453919946647,23.88508711574484,23.45377219061589,23.669847504055948,23.93874162390082,24.392318732041833,23.32157238527784,23.713827456502212,21.59391389516062,0.0,23.574695579121293,20.956428959454346,19.827134760556202,23.803701146468015,20.186969693122787,21.858252268775725,24.26217750914764,23.838434744192483,22.941193521732217
12,22.581369132665806,24.150683468304056,24.24003473698199,22.523149162896,23.299408204944978,24.01630664656855,22.669803100677413,23.867157454053373,23.93281490024372,20.946569815741285,23.99558618503192,23.574695579121293,0.0,24.21867581589716,23.603072678948504,20.274400521090854,23.74626286624298,24.09957095604629,23.863443518464265,23.869531928560388,22.978486765377873
13,24.506051855260065,23.183852266011346,22.575035374112783,23.74896439166869,23.089241013385454,22.631954273807626,24.133143652197834,23.02613743169853,22.81119543970095,24.178253472445398,18.95024788112558,20.956428959454346,24.21867581589716,0.0,17.02312015333998,22.888583568977666,20.32959743371908,22.871768791431236,23.217922736068708,23.855510052650203,22.26634979041282
14,24.288524559273736,23.024875404494512,21.81838424324634,23.95730482085513,22.185689959126,23.01741608660445,24.009550242907988,23.568685276266173,22.26252461579613,24.27771775868022,19.779642266014214,19.827134760556202,23.603072678948504,17.02312015333998,0.0,23.238317871919538,19.379873846126678,22.246249685023514,22.98873486148678,23.51596210251415,21.632189067124475
15,23.059698614150232,23.74196441569,23.632879457106228,22.50897169668019,23.923198397711868,23.203815727326194,22.456102953055947,23.977574952498568,23.09975679771732,22.505465472448833,23.706679557216663,23.803701146468015,20.274400521090854,22.888583568977666,23.238317871919538,0.0,23.22942512259707,23.912612250713384,22.887045527601934,23.258873950737286,22.910726642287894
16,24.190779157323465,22.839333312752956,22.74839785689665,24.00037968407742,22.978713955723382,22.977900046053342,24.407478754233583,23.733087686458756,23.15350830464216,23.83250980531881,21.326728758141755,20.186969693122787,23.74626286624298,20.32959743371908,19.379873846126678,23.22942512259707,0.0,21.497862589246157,22.670403890004902,23.208555858840047,23.122916604911904
17,23.651488085662482,23.430190791815246,23.897846026691578,23.15855604842942,23.691614552855754,23.061956042638716,23.63515717379803,24.249878777161236,23.93775514990318,23.497271240636124,23.28553797579687,21.858252268775725,24.09957095604629,22.871768791431236,22.246249685023514,23.912612250713384,21.497862589246157,0.0,24.437888339421033,23.770131867321876,23.867763260692335
18,23.736167641113504,23.76612059770408,23.62918374912637,23.53246795936241,22.866915779401985,23.79737323113007,23.656601061530136,23.73188188582459,23.539108266647737,23.868103617529083,23.677993208427296,24.26217750914764,23.863443518464265,23.217922736068708,22.98873486148678,22.887045527601934,22.670403890004902,24.437888339421033,0.0,21.22530038071733,17.480052487246724
19,23.56218307051976,24.040387864150922,23.946609007603936,22.509218743006397,23.857547247764426,23.266903538784213,23.25301698366765,24.27850082624529,24.261321355609958,23.65211660404614,24.402217434165188,23.838434744192483,23.869531928560388,23.855510052650203,23.51596210251415,23.258873950737286,23.208555858840047,23.770131867321876,21.22530038071733,0.0,18.423814404850848
20,22.80084641847802,22.230103750662835,22.62890560797891,22.227180283732142,22.987542489497162,21.668861908428276,22.832092083996145,22.662575200360482,22.89975745640908,23.619556605170875,22.875265433216065,22.941193521732217,22.978486765377873,22.26634979041282,21.632189067124475,22.910726642287894,23.122916604911904,23.867763260692335,17.480052487246724,18.423814404850848,0.0
