Samples,condition,group
HGPS_917_SCR_1,HGPS_SCR,HGPS
WRN_1_NT_1,WRN_NT,WRN
HGPS_297_SCR_1,HGPS_SCR,HGPS
HGPS_917_L1_ASO_1,HGPS_ASO,HGPS
WRN_1_SCR_1,WRN_SCR,WRN
HGPS_478_NT_1,HGPS_NT,HGPS
WT_1_1,WT,WT
WRN_3_NT_1,WRN_NT,WRN
WT_3_1,WT,WT
WRN_1_L1_ASO_1,WRN_ASO,WRN
HGPS_297_NT_1,HGPS_NT,HGPS
WRN_3_L1_ASO_1,WRN_ASO,WRN
WRN_3_SCR_1,WRN_SCR,WRN
HGPS_478_SCR_1,HGPS_SCR,HGPS
WT_2_1,WT,WT
WRN_2_SCR_1,WRN_SCR,WRN
HGPS_297_L1_ASO_1,HGPS_ASO,HGPS
WRN_2_NT_1,WRN_NT,WRN
HGPS_478_L1_ASO_1,HGPS_ASO,HGPS
HGPS_917_NT_1,HGPS_NT,HGPS
WRN_2_L1_ASO_1,WRN_ASO,WRN
