filter_size,Grp_1_20=>Grp_1_20_ut,Grp_21_40=>Grp_1_20_ut,Grp_41_60=>Grp_1_20_ut,Grp_61_80=>Grp_1_20_ut,Grp_81_100=>Grp_1_20_ut,Grp_1_20=>Grp_1_20_lt,Grp_21_40=>Grp_1_20_lt,Grp_41_60=>Grp_1_20_lt,Grp_61_80=>Grp_1_20_lt,Grp_81_100=>Grp_1_20_lt,Grp_1_20=>Grp_1_20_diff,Grp_21_40=>Grp_1_20_diff,Grp_41_60=>Grp_1_20_diff,Grp_61_80=>Grp_1_20_diff,Grp_81_100=>Grp_1_20_diff
0.0,2.3402489215819114e-05,2.4055543217145717e-05,2.589606541533928e-05,2.7385593554043e-05,3.676054509234652e-05,2.350082136669256e-05,2.57597861058059e-05,3.69685106688144e-05,3.346431174518621e-05,2.481544218930241e-05,-9.833215087344716e-08,-1.7042428886601828e-06,-1.107244525347512e-05,-6.078718191143209e-06,1.194510290304411e-05
0.5,8.378510094244759e-06,8.497783768085758e-06,8.605997193059134e-06,9.424429435589599e-06,1.4211690318399245e-05,8.410963215335496e-06,9.727501092585972e-06,1.3285417821511956e-05,1.1873400982320129e-05,9.972300008449566e-06,-3.245312109073734e-08,-1.2297173245002136e-06,-4.679420628452822e-06,-2.44897154673053e-06,4.239390309949679e-06
1.0,6.500951134900572e-06,6.615392142350504e-06,6.541376908745896e-06,7.34143732943818e-06,1.164071198663484e-05,6.518982197892977e-06,7.647414965638855e-06,1.0496510566142449e-05,9.348585482311739e-06,8.18729294240369e-06,-1.803106299240487e-08,-1.0320228232883511e-06,-3.955133657396553e-06,-2.0071481528735586e-06,3.4534190442311492e-06
1.5,5.6734927935345875e-06,5.8161643601825405e-06,5.656093382237932e-06,6.425127758633122e-06,1.0567450102534793e-05,5.684946064521404e-06,6.720152659356744e-06,9.257225440386753e-06,8.312939234563597e-06,7.546267570148328e-06,-1.1453270986816164e-08,-9.039882991742035e-07,-3.6011320581488205e-06,-1.8878114759304752e-06,3.0211825323864653e-06
2.0,5.194872071937476e-06,5.374564452053427e-06,5.145620935597885e-06,5.869383993789568e-06,9.960262508634328e-06,5.202640483336078e-06,6.157163607542488e-06,8.498139314611438e-06,7.724448160890118e-06,7.203920492371348e-06,-7.768411398601875e-09,-7.825991554890611e-07,-3.352518379013553e-06,-1.8550641671005508e-06,2.75634201626298e-06
2.5,4.864054409296817e-06,5.075805972958874e-06,4.794544791458021e-06,5.480025720925996e-06,9.526969944973658e-06,4.869705236634963e-06,5.760326314458469e-06,7.973939089152444e-06,7.345703473259355e-06,6.965813111549027e-06,-5.650827338145965e-09,-6.845203414995952e-07,-3.1793942976944226e-06,-1.8656777523333587e-06,2.561156833424631e-06
3.0,4.621422369398267e-06,4.846722404290652e-06,4.530230128419656e-06,5.1851728384344354e-06,9.188498853233679e-06,4.62591969979922e-06,5.4537511399420456e-06,7.572977044541819e-06,7.059543363961518e-06,6.7683539309815086e-06,-4.49733040095318e-09,-6.070287356513938e-07,-3.0427469161221634e-06,-1.8743705255270823e-06,2.42014492225217e-06
3.5,4.429526809930786e-06,4.6536202660303494e-06,4.315082547869607e-06,4.9537462955884e-06,8.905115443064556e-06,4.433151506302546e-06,5.213999367062512e-06,7.266334291636478e-06,6.826036635631315e-06,6.5921179354455845e-06,-3.624696371760289e-09,-5.603791010321628e-07,-2.9512517437668706e-06,-1.8722903400429149e-06,2.312997507618971e-06
4.0,4.265968164485009e-06,4.482301890285632e-06,4.131649719347096e-06,4.760509396260069e-06,8.653361430214916e-06,4.268869029343904e-06,5.014886057735025e-06,7.028305780588725e-06,6.629800099196111e-06,6.435598794598691e-06,-2.9008648588949723e-09,-5.32584167449393e-07,-2.8966560612416283e-06,-1.8692907029360421e-06,2.217762635616225e-06
4.5,4.120598869985848e-06,4.330317654232205e-06,3.969036532233157e-06,4.591508255093679e-06,8.4265336064191e-06,4.123066234787996e-06,4.844225405974948e-06,6.8278648599163406e-06,6.4597584062043845e-06,6.290394142551307e-06,-2.467364802147998e-09,-5.13907751742743e-07,-2.8588283276831833e-06,-1.8682501511107052e-06,2.136139463867793e-06
5.0,3.9899234760237615e-06,4.1935502160335914e-06,3.82256974800954e-06,4.440481168765875e-06,8.221078267624805e-06,3.992098537560352e-06,4.687730081542434e-06,6.652087150439391e-06,6.298551606398572e-06,6.154868309281764e-06,-2.1750615365900922e-09,-4.941798655088427e-07,-2.8295174024298514e-06,-1.8580704376326975e-06,2.0662099583430404e-06
