filter_size,Grp_1_20=>Grp_1_20_ut,Grp_21_40=>Grp_1_20_ut,Grp_41_60=>Grp_1_20_ut,Grp_61_80=>Grp_1_20_ut,Grp_81_100=>Grp_1_20_ut,Grp_1_20=>Grp_1_20_lt,Grp_21_40=>Grp_1_20_lt,Grp_41_60=>Grp_1_20_lt,Grp_61_80=>Grp_1_20_lt,Grp_81_100=>Grp_1_20_lt,Grp_1_20=>Grp_1_20_diff,Grp_21_40=>Grp_1_20_diff,Grp_41_60=>Grp_1_20_diff,Grp_61_80=>Grp_1_20_diff,Grp_81_100=>Grp_1_20_diff
0.0,0.0003492597088420669,0.00039715658916629536,0.0003939756372970855,0.00041971020453412906,0.00041855020080048877,0.0003508996420430261,0.0003685998731703194,0.0004706391815976202,0.00041467863686719687,0.0005953894666428328,-1.6399332009592186e-06,2.8556715995975944e-05,-7.666354430053469e-05,5.0315676669321916e-06,-0.000176839265842344
0.5,0.00021854628601310344,0.00025350065470811567,0.0002467359851313887,0.00026239426413694154,0.00032349449028389103,0.00021942625161677415,0.00023299519502466713,0.00029038547023090737,0.0002677277209160021,0.0004712097250346367,-8.799656036707145e-07,2.050545968344854e-05,-4.364948509951865e-05,-5.3334567790605915e-06,-0.00014771523475074568
1.0,0.00019442509640504803,0.0002221783158916675,0.00020928698454468757,0.0002265016499306075,0.00028978385457855153,0.0001949811071157339,0.00021107404920125928,0.0002694052396655801,0.00024231434637231905,0.0004587852623303247,-5.560107106858641e-07,1.1104266690408209e-05,-6.011825512089252e-05,-1.5812696441711542e-05,-0.00016900140775177316
1.5,0.0001804297970783256,0.0002065597599527519,0.0001897498880818869,0.00021046954177237045,0.00027243999461563304,0.00018081764098029277,0.0001986699463606991,0.0002587561210275993,0.0002293438391487382,0.0004476352209717811,-3.8784390196718184e-07,7.889813592052797e-06,-6.90062329457124e-05,-1.887429737636775e-05,-0.00017519522635614808
2.0,0.00016974393225794603,0.00019573918571737605,0.00017671366642735468,0.00019779481503889678,0.00026199809505966006,0.00017001889401504296,0.0001877938862070988,0.0002485357088106867,0.00021849164016440233,0.0004372350722421987,-2.749617570969268e-07,7.945299510277263e-06,-7.182204238333204e-05,-2.0696825125505553e-05,-0.00017523697718253866
2.5,0.00016062963929063995,0.00018613964695361906,0.00016690562198228047,0.0001867537287459539,0.0002530418864259098,0.00016082526047016846,0.0001780167149793236,0.00023917437921018586,0.00020895010203664667,0.0004280036643502111,-1.9562117952850381e-07,8.122931974295454e-06,-7.226875722790539e-05,-2.219637329069278e-05,-0.00017496177792430132
3.0,0.00015249353465694718,0.00017764132534102496,0.00015865395787493825,0.00017776161491065185,0.0002448684176144498,0.00015263587304946056,0.00016938795852657334,0.0002307294626228337,0.00020035906367859844,0.0004201158329278509,-1.4233839251337802e-07,8.25336681445162e-06,-7.207550474789545e-05,-2.2597448767946592e-05,-0.00017524741531340114
3.5,0.0001451750954935269,0.00017008885018135936,0.0001511435659330173,0.00016996091435336042,0.00023706989967873002,0.00014528221478430394,0.00016197342738404505,0.00022308473987291954,0.00019257981653479425,0.00041292524088925914,-1.0711929077704906e-07,8.115422797314302e-06,-7.194117393990223e-05,-2.2618902181433827e-05,-0.0001758553412105291
4.0,0.00013856977121568412,0.0001632972343510965,0.00014421570363656064,0.00016286503999524715,0.00022960049839140857,0.00013865316951910706,0.00015556821889318336,0.00021609861372024356,0.00018548783205415433,0.0004062854576498627,-8.339830342293732e-08,7.729015457913127e-06,-7.188291008368292e-05,-2.262279205890718e-05,-0.00017668495925845414
4.5,0.00013257538288216254,0.0001571363121256013,0.0001378217396171576,0.00015637693462947636,0.00022240517766830876,0.00013264224751664678,0.00014995466131693727,0.0002096844174183393,0.00017899779471868072,0.0004000310818500932,-6.68646344842449e-08,7.181650808664024e-06,-7.18626778011817e-05,-2.2620860089204363e-05,-0.00017762590418178442
5.0,0.00012710265359750848,0.00015150598466079528,0.0001318360593234104,0.00015044247183053247,0.0002154727352148347,0.0001271575430255422,0.00014496101359881664,0.00020373647667591374,0.0001730849138492809,0.0003939431646321029,-5.488942803372914e-08,6.544971061978641e-06,-7.190041735250335e-05,-2.2642442018748417e-05,-0.00017847042941726817
