filter_size,WT=>WT_ut,HGPS_ASO=>WT_ut,HGPS_NT=>WT_ut,HGPS_NT=>HGPS_ASO_ut,WRN_ASO=>WT_ut,WRN_NT=>WT_ut,WRN_NT=>WRN_ASO_ut,WT=>WT_lt,HGPS_ASO=>WT_lt,HGPS_NT=>WT_lt,HGPS_NT=>HGPS_ASO_lt,WRN_ASO=>WT_lt,WRN_NT=>WT_lt,WRN_NT=>WRN_ASO_lt,WT=>WT_diff,HGPS_ASO=>WT_diff,HGPS_NT=>WT_diff,HGPS_NT=>HGPS_ASO_diff,WRN_ASO=>WT_diff,WRN_NT=>WT_diff,WRN_NT=>WRN_ASO_diff
0.0,0.0004721309282766716,0.0006557793057351678,0.001665302613061051,0.0023668443193423055,0.0009490572475354158,0.0012975403855748837,0.0023571828539087603,0.0004725713289328303,0.001623617558871449,0.001030946276076611,0.0009405844207675383,0.0025864027775435064,0.0016007458689505235,0.0009783316036414628,-4.404006561587381e-07,-0.0009678382531362813,0.0006343563369844399,0.0014262598985747671,-0.0016373455300080905,-0.00030320548337563983,0.0013788512502672975
0.5,4.457921047657307e-05,6.389818087322076e-05,0.0001328424423055015,0.00019612544066211607,8.101208405313837e-05,0.00010560429257577753,0.00021012526349533875,4.460044146904647e-05,0.00015427080956544628,8.735782171346731e-05,8.047017421445033e-05,0.0002224274248358289,0.00013596990686797093,8.595859798341897e-05,-2.1230992473404687e-08,-9.037262869222553e-05,4.5484620592034196e-05,0.00011565526644766575,-0.00014141534078269052,-3.0365614292193405e-05,0.00012416666551191976
1.0,2.64363781692103e-05,4.0965498529773234e-05,7.619071121030205e-05,0.00011712157128179844,4.910134321487866e-05,6.099028264999611e-05,0.00012658993798238724,2.644542586176027e-05,0.00010367535664855041,5.413584329217143e-05,5.024961715410885e-05,0.00013904311887561678,8.42939409706622e-05,5.2253581512913935e-05,-9.047692549968365e-09,-6.270985811877718e-05,2.2054867918130624e-05,6.68719541276896e-05,-8.994177566073813e-05,-2.330365832066609e-05,7.433635646947331e-05
1.5,1.9890929821203066e-05,3.266738634383156e-05,6.070602645897518e-05,9.229944151697776e-05,4.0511818692879595e-05,4.901099941456142e-05,0.00010232782938065042,1.9896555905199637e-05,8.239226881164717e-05,4.235731500009617e-05,4.029936278022823e-05,0.00011201326201751784,6.862235761218907e-05,4.244603081272676e-05,-5.62608399657096e-09,-4.972488246781561e-05,1.8348711458879008e-05,5.2000078736749525e-05,-7.150144332463825e-05,-1.9611358197627652e-05,5.988179856792366e-05
2.0,1.6123578870024575e-05,2.7819003942593392e-05,5.341886859941013e-05,7.873511801003367e-05,3.588682182616211e-05,4.33511263907801e-05,9.013867016092508e-05,1.6127082560157925e-05,6.953366255892985e-05,3.606232848117236e-05,3.493963544995323e-05,9.880271233043038e-05,5.9999780321199515e-05,3.71712291280294e-05,-3.5036901333506103e-09,-4.1714658616336464e-05,1.7356540118237775e-05,4.379548256008044e-05,-6.291589050426827e-05,-1.6648653930419418e-05,5.296744103289568e-05
2.5,1.3617214279077202e-05,2.4640484430668378e-05,4.845927329330786e-05,7.094690107480633e-05,3.3088172171173164e-05,3.9809184265362745e-05,8.263560446737548e-05,1.3619695097272973e-05,6.14528225050796e-05,3.1961423156124366e-05,3.133838523349756e-05,9.183762822719212e-05,5.4734012187263414e-05,3.355528262168642e-05,-2.480818195770552e-09,-3.681233807441122e-05,1.6497850137183498e-05,3.960851584130877e-05,-5.8749456056018954e-05,-1.4924827921900669e-05,4.908032184568906e-05
3.0,1.174102997669964e-05,2.2325898980621543e-05,4.452921548604759e-05,6.5633859172493e-05,3.144583774040347e-05,3.731075966865705e-05,7.70454920507951e-05,1.1742724923828979e-05,5.573300933147412e-05,2.912205432406266e-05,2.8580742585558627e-05,8.667307256850398e-05,5.098275787433356e-05,3.085217044852695e-05,-1.6949471293384462e-09,-3.3407110350852575e-05,1.540716116198493e-05,3.7053116586934374e-05,-5.522723482810051e-05,-1.3671998205676515e-05,4.6193321602268155e-05
3.5,1.0312602544231983e-05,2.062437065145049e-05,4.15892479764469e-05,6.205558667820129e-05,3.021751885339488e-05,3.548599284267142e-05,7.306118298148306e-05,1.031375058808353e-05,5.149091526454173e-05,2.6958809823038423e-05,2.6367702195429543e-05,8.210769319841274e-05,4.795225665210769e-05,2.8805666457839426e-05,-1.1480438515465495e-09,-3.086654461309124e-05,1.463043815340848e-05,3.5687884482771745e-05,-5.189017434501786e-05,-1.246626380943627e-05,4.425551652364363e-05
4.0,9.162884602710644e-06,1.933197600361034e-05,3.935583838776254e-05,5.9714139730653546e-05,2.9341023769096147e-05,3.398363454331633e-05,6.974441991425848e-05,9.163679568232457e-06,4.7974933144313e-05,2.5253279643649874e-05,2.4659015686062454e-05,7.809697109037498e-05,4.54489903160075e-05,2.7156482531511285e-05,-7.949655218132776e-10,-2.8642957140702658e-05,1.4102558744112665e-05,3.5055124044591096e-05,-4.8755947321278825e-05,-1.1465355772691167e-05,4.258793738274719e-05
4.5,8.217099134177737e-06,1.8315767105294735e-05,3.757059708001528e-05,5.8152236740716686e-05,2.8694373380123284e-05,3.285201074612658e-05,6.702385128594496e-05,8.217663133721557e-06,4.5078119646155096e-05,2.391824737153574e-05,2.344958444577129e-05,7.460238217901104e-05,4.339953943508922e-05,2.5870465695572387e-05,-5.639995438197167e-10,-2.676235254086036e-05,1.3652349708479538e-05,3.4702652294945394e-05,-4.590800879888776e-05,-1.0547528688962637e-05,4.115338559037257e-05
