,101_19YR_F,102_19YR_M,103_19YR_M,104_19YR_M,105_20YR_M,106_20YR_F,14_1YR_M,15_12YR_M,79_1YR_M,80_2YR_F,81_3YR_M,82_3YR_M,83_5YR_M,84_6YR_M,85_7YR_M,86_7YR_M,87_8YR_M,88_8YR_M,89_9YR_F,90_10YR_M,91_10YR_M,92_11YR_F,93_11YR_F,94_12YR_M,95_13YR_M,97_16YR_F,98_17YR_M,99_17YR_M,StartPos,EndPos,Gene_ID,labels,mean_value
52,0.005137618501325631,0.008549718271457089,0.006273703883233339,0.00679418598368185,0.007056700173827434,0.005731279338959251,0.004304798840155619,0.004888600117777906,0.00430706074994897,0.005423300383916005,0.0047119916116658495,0.005058308418489812,0.004016139372231783,0.005118093794818005,0.006578815786742744,0.006106581042075785,0.008813587715174695,0.005491961302891585,0.005697204823932434,0.005791343368282406,0.005911151901007313,0.005398956067552645,0.005196776551448396,0.0055397605957533454,0.005642115444418847,0.005642064999055349,0.005773773810094611,0.005462679212274804,153656978,153664863,ATP6AP1|16A|ATP6IP1|ATP6S1|Ac45|CF2|VATPS1|XAP-3|XAP3|-|Xq28|protein-coding,1,0.005729224002221196
53,0.006878243690826684,0.009128999848330363,0.008670333374137732,0.00773501918193116,0.00882296623184344,0.008720074177930881,0.006358166376758815,0.008207473156505938,0.0052290435827539,0.006738744493904242,0.006202637383698745,0.006666258827679891,0.005088547637810379,0.007148589225168663,0.006560419178511253,0.006430091944374659,0.006675586111197584,0.007516310419388381,0.007371570216125521,0.00608907691243058,0.0066373335669707885,0.005708132043459319,0.0084458865772214,0.007862323619441702,0.008370340918910932,0.00937792441817075,0.005331313279226206,0.006453663928680553,40440216,40465888,ATP6AP2|APT6M8-9|ATP6IP2|ATP6M8-9|ELDF10|HT028|M8-9|MRXE|MRXSH|MSTP009|PRR|RENR|XMRE|XPDS|-|Xp11.4|protein-coding,1,0.007158038225835374
59,0.007643157604236408,0.01165269932502628,0.01086709788056694,0.010266061490246933,0.011057731071885289,0.008666740390909896,0.008582656748570295,0.007815310138811518,0.0073946542892484755,0.008184804826350756,0.0071941241635863715,0.008011926578133462,0.006057322216218806,0.007185459440505769,0.008329984207219397,0.008836638670756625,0.011669370195991133,0.009211449049226151,0.00887219139888734,0.009443233013991057,0.007810802542588608,0.007536740882391059,0.00813688044011771,0.010983322812392303,0.009710593963979082,0.008325410020056172,0.010119978643969836,0.008022333009807621,152965947,152989582,BCAP31|6C6-AG|BAP31|CDM|DDCH|DXS1357E|-|Xq28|protein-coding,1,0.008842452679131118
66,0.009230738133160405,0.009204725079056703,0.007019669580625939,0.008466850380936943,0.010815173383024018,0.00977183939724792,0.01074432044161831,0.009725707339317975,0.00736094867290847,0.00720465686544223,0.009774202716664154,0.006776254810566324,0.0068340977351554295,0.00866845098443475,0.007997335793761757,0.009603760770220984,0.010307826095914787,0.009262898257418542,0.009271897506780038,0.008286268436395133,0.009903390497873546,0.0061531195667733985,0.009110479394389208,0.00810473938385509,0.009026983707840275,0.00878635331231314,0.009734617632461164,0.009896741377141109,102631251,102633092,BEX3|Bex|DXS6984E|HGR74|NADE|NGFRAP1|-|Xq22.2|protein-coding,1,0.008823001687617777
69,0.020715894244901986,0.027541408879424394,0.03682361920589823,0.05208234721997082,0.0326568520205167,0.022265995858889505,0.02180724668469473,0.025704307794648478,0.02081784142670803,0.041964456503027665,0.045237871196582624,0.03615673433077088,0.0472809135185469,0.03897313440472661,0.03135829234191653,0.04081195212928278,0.04486320843348859,0.02350251386846167,0.03080182669373929,0.042156062016919175,0.048869789164980144,0.04066261729275351,0.029549028177104652,0.020081178148916957,0.030458400827189463,0.026525226199828476,0.02862184276104442,0.02459085605502333,152760347,152775012,BGN|DSPG1|MRLS|PG-S1|PGI|SEMDX|SLRR1A|-|Xq28|protein-coding,1,0.03331719347856988
90,0.00526158055120004,0.00588991063765247,0.0056466507409171085,0.004257848381693413,0.004525736151433616,0.005318468180995757,0.004814653311205564,0.005451689450750323,0.004171343445217088,0.003998196060786972,0.00451802389228172,0.003925400021235754,0.0027600341933911483,0.004482176636924694,0.004309995113106122,0.0033925553200399483,0.0039425318427081186,0.004110780993609879,0.005028761748625934,0.003161696763591152,0.004652243696293677,0.0028124190295413178,0.005773644241431171,0.004716314923398798,0.005342365530083162,0.004269224308030374,0.00502880731495868,0.004828733576576738,151995871,151999301,CETN2|CALT|CEN2|-|Xq28|protein-coding,1,0.004513992359202884
109,0.009240741726203514,0.007865780261380264,0.008531292106886523,0.009159237045442265,0.008653231610028796,0.007015591339319398,0.010351174512813715,0.008251655996492892,0.008377486199339788,0.006869265026822257,0.007461022206032589,0.008157282000267406,0.009754449234666175,0.009431908989259481,0.01157222131025361,0.008574660635580768,0.007592576376476407,0.009849139965798628,0.01114238611798875,0.009170950376831176,0.009751671139539763,0.00740864696969426,0.007945309756393132,0.00877345821342695,0.01098458122530948,0.008343755543878027,0.011297200649492859,0.010628231512602523,77154961,77160881,COX7B|APLCC|LSDMCA2|-|Xq21.1|protein-coding,1,0.00900553243029362
140,0.007048407902384733,0.004506692313154843,0.004535305159481208,0.003740638677257254,0.005568566932372351,0.007484125790890838,0.006906036312755467,0.005484047199743202,0.005647032996008718,0.005473058944852491,0.0052874484220014045,0.004399738862504921,0.0038912254712135967,0.005053759031321625,0.004762457334020141,0.0036434129575429706,0.003881279714840551,0.0039259290368267846,0.006328821680935568,0.004169952322668702,0.004604604853403888,0.003728558740188369,0.005821818082641754,0.004019058279095054,0.00474186319333709,0.006694867546758754,0.0029920148144500494,0.00473362300866929,41193415,41209540,DDX3X|CAP-Rf|DBX|DDX14|DDX3|HLP2|MRX102|-|Xp11.4|protein-coding,1,0.004966940913618629
164,0.00416943570247293,0.0032397467380069207,0.00415668845927945,0.004058788566488356,0.004452243959728063,0.0033540070257228475,0.004969483804293831,0.0038577746855762056,0.0049559187211432945,0.004076470104721676,0.004617701748076342,0.004692358312868556,0.004364924940009837,0.0034242271927620005,0.004479526933577867,0.0037396970673935943,0.004208480295515202,0.003706813411122245,0.004180059056034491,0.0048091697304160005,0.0043987222019584524,0.004641874925941295,0.003711260241744582,0.004486144475852183,0.004781562513095261,0.0033575190089882505,0.004364509076960756,0.004551920634350042,153607597,153609883,EMD|EDMD|LEMD5|STA|-|Xq28|protein-coding,1,0.004207393911932163
178,0.013419149723467687,0.017215490116487542,0.0172086267722155,0.01662246717458259,0.01200331573572654,0.01407620098273715,0.01139484278156069,0.013907274516477403,0.013552640566588427,0.01385240060655686,0.013558689955878117,0.013414085452714837,0.013013375616386644,0.009017307180060588,0.009648785163465658,0.011836180603042486,0.018986032051323685,0.014692024932350735,0.012044439614019686,0.013937947323353352,0.01277746260195489,0.015493904621517311,0.016173664260755064,0.013872179854232993,0.011775159093018914,0.010289725767075817,0.014125611167337713,0.011462789300884901,134166333,134167575,FAM127A|CXX1|MAR8C|MART8C|Mar8|Mart8|-|Xq26.3|protein-coding,1,0.01354899191199192
