,WRN_1_SCR_1,WRN_2_SCR_1,WRN_3_SCR_1,StartPos,EndPos,Gene_ID,labels,mean_value
3,0.0004507997107683209,0.0006436796177300074,0.0006611193127253597,23730189,23889400,ENSG00000027001,0,0.0005851995470745626
4,0.00040215671776847376,0.00041434367135064734,0.0004009567947319752,20567138,20691444,ENSG00000032742,0,0.0004058190612836988
5,4.2523257794491686e-05,1.9922165952734695e-05,2.9477617899705275e-05,108596152,109208005,ENSG00000041515,0,3.064101388231056e-05
6,0.0,0.0,0.0,99981784,99986765,ENSG00000043355,0,0.0
7,0.0,3.852632735814394e-06,3.2574322605293745e-06,113105788,113120685,ENSG00000057593,0,2.3700216654479228e-06
9,0.0003285884442111343,0.0003868727098102309,0.00046227096461610686,112690038,112887168,ENSG00000068650,0,0.00039257737287915737
10,0.0011872493806453317,0.0011024472126369166,0.001474994198889174,31846713,32299125,ENSG00000073910,0,0.0012548969307238074
11,0.0,0.0,0.0,24680408,24712472,ENSG00000075673,0,0.0
12,3.682926027739422e-06,3.882268230500287e-06,3.28248922516789e-06,94436811,94479682,ENSG00000080166,0,3.6158944944692e-06
13,0.0,0.0,0.0,46053186,46105033,ENSG00000080618,0,0.0
16,0.0008749997607878686,0.0009841001643801453,0.0010313805483786497,60396457,60573878,ENSG00000083544,0,0.0009634934911822213
17,0.000925642072945158,0.0008748044457397977,0.0008676713415751515,44939249,44989471,ENSG00000083635,0,0.0008893726200867024
18,0.0016793801919938631,0.001521662503673167,0.0015587206794384226,32586452,32778019,ENSG00000083642,0,0.0015865877917018176
19,0.0,0.0,0.0,98683801,98752672,ENSG00000088386,0,0.0
20,0.0004160891068492023,0.00036847222149866094,0.0005596139143106203,98793429,99086625,ENSG00000088387,0,0.0004480584142194945
22,0.0010476928946760178,0.000905152881267983,0.000904899698641614,94574054,94596242,ENSG00000088451,0,0.0009525818248618716
23,5.8423053469923584e-05,7.169627598081883e-05,6.450566655932853e-05,46334681,46438190,ENSG00000102445,0,6.487499867002365e-05
24,0.0004077414296239131,0.00032894456494523877,0.0004098688619959326,101053776,101416508,ENSG00000102452,0,0.00038218495218836145
25,0.00036227796812894706,0.0004329466953293123,0.0005198590859348853,101710804,102402457,ENSG00000102466,0,0.00043836124979771486
28,9.531783358548603e-05,6.220005462446484e-05,5.259065088917905e-05,108251240,108308484,ENSG00000102524,0,7.003617969970998e-05
30,0.0,0.0,0.0,49220338,49222377,ENSG00000102539,0,0.0
31,0.0003630203832110031,0.00044329011199345557,0.00041645043030104595,49247925,49293485,ENSG00000102543,0,0.0004075869751685015
32,0.0016709861446568672,0.0017614300214772354,0.001764636775505598,49308650,49444064,ENSG00000102547,0,0.001732350980546567
34,0.0011853154471596142,0.0011791815202016125,0.0013884329120044051,98445185,98577940,ENSG00000102572,0,0.0012509766264552106
37,0.0009155739060483714,0.0009240873910172573,0.0010021550328436612,111114559,111305737,ENSG00000102606,0,0.0009472721099697632
38,4.00876131491787e-05,4.8294167979966026e-05,4.338518027767836e-05,21671073,21704498,ENSG00000102678,0,4.392232046894103e-05
39,0.001202057146185688,0.0012946658303450095,0.0012188661222494593,23180979,23325162,ENSG00000102683,0,0.0012385296995933855
41,0.0014376111221378908,0.0014324231128990228,0.0015303191552651606,37009312,37059713,ENSG00000102710,0,0.001466784463434025
42,0.001816378648390478,0.0015603718101615469,0.0015843206678598017,40729128,40771190,ENSG00000102738,0,0.0016536903754706088
43,0.0007728425811570066,0.0008111770432558472,0.0008129767783418586,40789412,40812460,ENSG00000102743,0,0.0007989988009182375
45,0.00021879482353370433,0.000279560391200253,0.0002698564114126797,28300346,28495145,ENSG00000102755,0,0.000256070542048879
47,0.0013820981834154595,0.001288211352358047,0.0016159606750238708,41566835,41961120,ENSG00000102763,0,0.001428756736932459
48,0.0005795226431127048,0.0005938383747432972,0.0005704202249676763,42040036,42256578,ENSG00000102780,0,0.0005812604142745594
50,0.0009808344203427375,0.0010178577132707249,0.0010299146394217534,51354077,51454264,ENSG00000102786,0,0.0010095355910117385
51,8.653311180504262e-05,8.292436984930879e-05,8.4135873441865e-05,51767993,51804163,ENSG00000102796,0,8.453111836540547e-05
54,0.0007364076279504527,0.0007448308784373544,0.0007306524241808989,76990660,77019143,ENSG00000102805,0,0.0007372969768562354
55,0.0,5.148136251641526e-06,1.3058372773681997e-05,53028813,53052057,ENSG00000102837,0,6.068836341774507e-06
58,1.6545081548422865e-06,3.48812012965879e-06,5.898467458721949e-06,57631744,57729311,ENSG00000118946,0,3.6803652477410083e-06
59,0.00027760307251107117,0.00027374936339579734,0.0003352140327973697,43213130,43786972,ENSG00000120658,0,0.0002955221562347461
60,0.0,0.0,0.0,42562736,42608013,ENSG00000120659,0,0.0
61,0.0006976656600483154,0.000929763321755844,0.0007313516086361667,41216369,41263577,ENSG00000120662,0,0.0007862601968134422
62,8.282738639930795e-06,2.3282801734992697e-05,4.921449292749591e-06,36346431,36369601,ENSG00000120664,0,1.2162329889224361e-05
63,0.0,0.0,0.0,36168217,36214588,ENSG00000120669,0,0.0
65,0.0004111017802037155,0.00037743656644668625,0.0005048602030869294,39009865,39038089,ENSG00000120685,0,0.00043113284991244373
67,0.0012558962798895983,0.0011154855684920892,0.001347360144167766,41061509,41084006,ENSG00000120688,0,0.001239580664183151
68,0.001275597722681838,0.0010315504069448183,0.0014601423072611557,40931924,41061440,ENSG00000120690,0,0.001255763478962604
69,0.0007806237569905697,0.0008379284429242114,0.0009566537715567672,36844831,36920765,ENSG00000120693,0,0.0008584019904905161
71,0.0013222062124890993,0.0011867149705791441,0.0013169324943934023,41189834,41194569,ENSG00000120696,0,0.001275284559153882
73,0.0012290909788685114,0.0012869793709431095,0.0011903939260012346,36998816,37025881,ENSG00000120699,0,0.0012354880919376186
74,0.0018130440018313734,0.0018200237971838249,0.001677572143332112,19674752,19783019,ENSG00000121390,0,0.0017702133141157702
76,3.195542263501429e-05,4.4913391033553094e-05,4.74682959238438e-05,20138255,20161052,ENSG00000121743,0,4.1445703197470394e-05
77,0.0,7.0383033046926275e-06,0.0,28003274,28100592,ENSG00000122025,0,2.346101101564209e-06
81,8.469466145610233e-05,8.927884892873088e-05,7.076811672691761e-05,27270830,27275192,ENSG00000122035,0,8.15805423705836e-05
83,0.0006892490314044621,0.0006433954072007334,0.0007068247842638248,49912702,49936490,ENSG00000123178,0,0.0006798230742896735
84,0.001530869581882323,0.0016700223925449457,0.001174037010562232,49660674,49691486,ENSG00000123179,0,0.0014583096616631668
85,0.00013952548257676502,0.0001190626940472749,0.0001375144515588952,51930436,52012125,ENSG00000123191,0,0.0001320342093943117
86,0.0011416101939415956,0.001077927948042365,0.0014683615560384699,45954465,46052759,ENSG00000123200,0,0.00122929989934081
87,0.0,1.4419853607052837e-05,0.0,50994511,51080862,ENSG00000123201,0,4.8066178690176126e-06
88,2.9108241272287864e-05,7.670938719803471e-06,3.8915046262499144e-05,99254732,99261744,ENSG00000125245,0,2.523140875153016e-05
89,2.689702992946493e-05,2.025204274191868e-05,6.849306530696446e-06,99606669,99909459,ENSG00000125246,0,1.7999459734026684e-05
90,0.00015496240077927866,0.00016568347318404982,0.0001815208216789642,100603625,100675093,ENSG00000125247,0,0.0001673888985474309
92,8.289331846488732e-06,0.0,0.0,103043998,103066417,ENSG00000125255,0,2.763110615496244e-06
94,0.0013482379041220012,0.0012837703140260402,0.001483514650364946,106489745,106535662,ENSG00000125266,0,0.0013718409561709957
95,0.0,0.0,0.0,94709622,94712545,ENSG00000125285,0,0.0
97,0.0002011432486265245,0.00028674578983157556,0.000286837393760168,112485011,112588205,ENSG00000126216,0,0.000258242144072756
98,5.995610572906728e-07,0.0,0.0,112894378,113099742,ENSG00000126217,0,1.9985368576355762e-07
99,0.0007964191602288341,0.0007716233289090194,0.0008037737852448189,113122799,113149529,ENSG00000126218,0,0.0007906054247942242
100,0.0015116152967955892,0.0016098360464369863,0.0014443425956410065,113177536,113208715,ENSG00000126226,0,0.0015219313129578606
101,0.0,0.0,0.0,113158648,113172386,ENSG00000126231,0,0.0
105,6.604181454085868e-06,4.1769836244489485e-06,3.5316736856389688e-06,25371974,26025851,ENSG00000132932,0,4.770946254724595e-06
106,5.754435608681569e-05,5.026031815481222e-05,5.568376772410774e-05,28820339,29505947,ENSG00000132938,0,5.449614732191188e-05
108,0.0009265451383592415,0.0009624161930814911,0.001043120662344449,30617693,30660770,ENSG00000132952,0,0.0009773606645950607
109,0.0011411844412558803,0.0011527711550767589,0.001258712730137362,20777329,20903048,ENSG00000132953,0,0.0011842227754900003
110,0.0,0.0,0.0,19422876,19561625,ENSG00000132958,0,0.0
112,0.001369625848293823,0.001303105613426502,0.0013151481769998127,26254104,26420982,ENSG00000132964,0,0.0013292932129067125
113,0.0,1.7068397847989867e-05,7.2157343778331584e-06,30713478,30764426,ENSG00000132965,0,8.094710741941008e-06
115,0.0,0.0,0.0,24764169,24879921,ENSG00000132972,0,0.0
116,3.4589074657479536e-05,2.2281871644164906e-05,3.082827828481676e-05,35768652,36131382,ENSG00000133083,0,2.923307486215373e-05
117,0.0,0.0,2.1990199447968027e-05,36431520,36442870,ENSG00000133101,0,7.330066482656009e-06
120,1.6648238519366873e-05,4.387335540718119e-06,0.0,31739526,31803389,ENSG00000133105,0,7.01185802002833e-06
121,0.00013816956204469691,0.00013673090149281093,0.0001156070869644114,42886388,42992271,ENSG00000133106,0,0.00013016918350063975
122,0.0013144003929956131,0.0013550330147417034,0.0013095783941073369,37632063,37869802,ENSG00000133107,0,0.0013263372672815512
124,0.0001564126553186152,0.00017756162779512024,0.0002412800311560645,36819222,36829104,ENSG00000133111,0,0.00019175143808993332
126,0.0013651555752068876,0.0014012474682758424,0.0014632660390962087,44989529,45037669,ENSG00000133114,0,0.0014098896941929795
127,0.0,0.0,0.0,38965925,38990859,ENSG00000133115,0,0.0
128,2.1934646082376533e-05,2.3121881815483844e-05,4.3986912396977966e-05,33016423,33066143,ENSG00000133116,0,2.9681146764946116e-05
129,0.00042266021850430655,0.00041481044641057056,0.0004503143492191833,33818069,33966558,ENSG00000133119,0,0.0004292616713780202
130,0.001306340797876833,0.0012740747020964244,0.0016291417980800384,33103137,33350630,ENSG00000133121,0,0.0014031857660177652
131,0.0005430859445263748,0.0006482505898972752,0.000708260556873153,100530164,100589528,ENSG00000134864,0,0.0006331990304322676
133,1.2305433687215173e-05,0.0,0.0,95433604,95579759,ENSG00000134873,0,4.1018112290717244e-06
136,0.001339724044529574,0.0016526727998561893,0.0016156170595147425,106541673,106568137,ENSG00000134884,0,0.0015360046346335019
137,0.0008800118299954303,0.0008926727092118713,0.0008699215858422154,102799119,102841533,ENSG00000134897,0,0.0008808687083498391
138,0.00013249917295762284,0.0001824731809590781,0.00018094867587989093,102845831,102875995,ENSG00000134899,0,0.00016530700993219727
141,0.0011588265312845738,0.0011780727381007737,0.0011336225930774298,110641412,110713603,ENSG00000134905,0,0.0011568406208209258
142,0.000477771715824862,0.00037344112634905634,0.00038526988912071996,52132639,52159861,ENSG00000136098,0,0.0004121609104315461
143,0.0015142028154229732,0.0014738417874816168,0.0016530497453002037,52412602,52450634,ENSG00000136100,0,0.0015470314494015977
144,0.00028328417505213107,0.00031145497789004316,0.000248235907231796,50909747,51024120,ENSG00000136104,0,0.00028099168672465676
146,0.0010544851799159714,0.0009840041963019182,0.0011925097314449125,75283503,75482169,ENSG00000136111,0,0.0010769997025542673
147,0.0007420126739261543,0.0008848847210718358,0.0008350192108879922,52377167,52416373,ENSG00000136114,0,0.0008206388686286607
148,0.0003570209312623095,0.0003442180455979088,0.0004113353334891537,72727749,72756198,ENSG00000136122,0,0.0003708581034497906
149,0.000549902346488558,0.00041817575167302,0.0006165933146677023,46553168,46753040,ENSG00000136141,0,0.0005282238042764268
150,0.0014386598270504558,0.001467076772310425,0.001411854883394602,47745736,48037968,ENSG00000136143,0,0.0014391971609184942
151,0.0015827678824594218,0.0016619448807191168,0.0017674628858904506,49531946,49585558,ENSG00000136144,0,0.0016707252163563298
153,0.0009332999182008431,0.0009838157545080397,0.0009853917502142882,49495610,49528981,ENSG00000136147,0,0.0009675024743077236
154,0.0004764334197373006,0.0003587291986405721,0.00036397013844293515,54440704,54441315,ENSG00000136149,0,0.0003997109189402693
157,0.0,0.0,0.0,77535674,77645263,ENSG00000136155,0,0.0
159,0.001222953812564249,0.0012208180982759748,0.0013788498367694375,80335976,80341126,ENSG00000136158,0,0.0012742072492032206
160,0.0019917066272069637,0.0019711225439064672,0.0013920261434992303,48037726,48047221,ENSG00000136159,0,0.0017849517715375536
161,1.9806891536814534e-05,1.043948022591145e-05,1.3239998056406533e-05,77895481,77975529,ENSG00000136160,0,1.4495456606377507e-05
162,0.0014256715704756358,0.0013542052545224095,0.0011589548443769596,48488963,48533256,ENSG00000136161,0,0.0013129438897916685
163,0.0,2.8834023430683402e-06,0.0,46125920,46211871,ENSG00000136167,0,9.611341143561135e-07
164,0.0007547351131333698,0.000843803272160793,0.0007820071198518124,49444274,49495003,ENSG00000136169,0,0.0007935151683819918
169,0.0006978360798051837,0.0007356071893031337,0.0008301391611782883,27545913,27620529,ENSG00000139517,0,0.0007545274767622019
170,0.0004128917226952595,0.00038929792809935343,0.00032302124301814065,32400723,32428311,ENSG00000139597,0,0.0003750702979375845
171,0.00018653101223481348,0.00019891356136129086,0.00023390973210489648,32315086,32400268,ENSG00000139618,0,0.00020645143523366697
172,0.0,0.0,0.0,44143150,44161257,ENSG00000139656,0,0.0
173,0.00044913554506156357,0.0004083918999689845,0.000506488972380372,51584455,51767709,ENSG00000139668,0,0.00045467213913697336
174,8.095994799182852e-05,6.400649266284005e-05,0.00010823601787496499,52642431,52643773,ENSG00000139675,0,8.440081950987785e-05
175,0.000737660943580145,0.0007203625526368481,0.0007371483530449522,48389567,48444704,ENSG00000139679,0,0.0007317239497539817
178,0.0013408833763628959,0.0013341635959433946,0.0017381632321884684,59665583,60163928,ENSG00000139734,0,0.0014710700681649196
179,0.0,3.4037562331918384e-06,0.0,77697687,77764242,ENSG00000139737,0,1.1345854110639461e-06
