,HGPS_917_NT_1,HGPS_478_NT_1,HGPS_297_NT_1,StartPos,EndPos,Gene_ID,labels,mean_value
0,0.0012182771797980155,0.0012289236028635699,0.00109170312584785,100627108,100639991,ENSG00000000003,1,0.0011796346361698119
2,0.0040262312885822864,0.002303943720830607,0.002916597369859734,2691187,2741309,ENSG00000002586,1,0.0030822574597575425
4,0.0013147615296555987,0.0016717236289428843,0.0012316165885111717,11111301,11123086,ENSG00000004961,1,0.0014060339157032182
5,0.0028508228398823918,0.0030606425145172592,0.0027656108797110986,119468422,119471396,ENSG00000005022,1,0.0028923587447035833
7,0.0012908039700290377,0.0011949414147784084,0.0012834672824053853,24149173,24216255,ENSG00000005889,1,0.001256404222404277
8,0.0035439993458315716,0.0032558653340157206,0.0034322457560323717,120426148,120469365,ENSG00000005893,1,0.003410703478626555
20,0.0019212489835598139,0.0022665598681321044,0.0015420866424633978,154401236,154412112,ENSG00000013563,1,0.0019099651647184388
24,0.0016533947985073265,0.0014667018412910554,0.0015242501585022094,119538149,119565409,ENSG00000018610,1,0.0015481155994335305
25,0.007554781727775836,0.015215938229406008,0.005619847780340708,136146702,136211359,ENSG00000022267,1,0.009463522579174183
45,0.0022425300994166285,0.002443617744580436,0.0028776917273744063,46599251,46759118,ENSG00000065923,1,0.0025212798571238237
52,0.001424716597788083,0.001340201474573581,0.001381443244991527,48922024,48958386,ENSG00000068308,1,0.0013821204391177306
53,0.0011823263174094148,0.0008048999200692569,0.0009363392053730012,49028726,49043410,ENSG00000068323,1,0.000974521814283891
55,0.0036449690013177593,0.004335585086457939,0.0031464581722595655,109624244,109733403,ENSG00000068366,1,0.0037090040866784215
58,0.0018914538122644618,0.002678086698100511,0.0019918041592992567,48476021,48486364,ENSG00000068438,1,0.0021871148898880764
59,0.0012165488961998166,0.0009095671264246389,0.0008502541814751515,44523639,44542859,ENSG00000069509,1,0.0009921234013665356
61,0.0016365683248914845,0.001172481817117016,0.0009936356086368257,154428633,154436516,ENSG00000071553,1,0.0012675619168817755
67,0.0035397274212437013,0.003753561172169916,0.002805565721991677,53431258,53434370,ENSG00000072506,1,0.003366284771801764
70,0.0016798875408544725,0.0004809679398530027,0.0013464941973690885,133300103,133415489,ENSG00000076716,1,0.0011691165593588546
74,0.001098672193282697,0.0010983309212584556,0.001416206091854446,119399336,119454478,ENSG00000077713,1,0.0012044030687985328
75,0.002083339530711986,0.0021222060047962135,0.0020222631698865712,119474802,119591083,ENSG00000077721,1,0.0020759362351315904
88,0.0010130125218281388,0.0009565984308709628,0.0010931958292632218,53532096,53686728,ENSG00000086758,1,0.0010209355939874412
90,0.006699336157022422,0.006136657317297148,0.006113261097980583,70133447,70166324,ENSG00000089289,1,0.006316418190766718
91,0.001187472879916199,0.0007644645007475996,0.0013265440637974988,66162671,66268867,ENSG00000089472,1,0.0010928271481537657
100,0.008074784233875289,0.0030270541312164534,0.009704288409737841,3308565,3346652,ENSG00000101825,1,0.0069353755916098615
102,0.003781254041400361,0.004298544571397565,0.0035881183866014236,108084207,108091549,ENSG00000101843,1,0.00388930566646645
107,0.0079083310820168,0.006351319482252266,0.0073436630255618186,119236245,119244466,ENSG00000101856,1,0.007201104529943628
116,0.002267197628350093,0.002405026804451713,0.0017838664369658698,134887632,134915257,ENSG00000101928,1,0.0021520302899225587
121,0.0013641706538131506,0.0014811810797429388,0.002205312016217907,38149336,38220924,ENSG00000101955,1,0.0016835545832579988
123,0.0016323649742548906,0.0016169352826307791,0.0016728871187262175,123859712,123913972,ENSG00000101966,1,0.0016407291252039625
124,0.0023775075720871607,0.002043665707655652,0.0021924241033068623,123960212,124422664,ENSG00000101972,1,0.002204532461016558
125,0.0023939676077599434,0.0039158056255435775,0.002029017822125079,139726346,139945276,ENSG00000101974,1,0.0027795970184762
131,0.0021734919058299636,0.0017465163760761423,0.001257697551432183,49171898,49175235,ENSG00000102007,1,0.0017259019444460964
134,0.015800805009019245,0.02082884841747271,0.012674402722340584,115561174,115650861,ENSG00000102024,1,0.016434685382944177
138,0.003474564656543869,0.004138891661955798,0.004145691393382308,129446501,129523500,ENSG00000102038,1,0.003919715903960658
155,0.011136614496314513,0.015307625414033504,0.011800955677782323,77910739,78129295,ENSG00000102144,1,0.01274839852937678
157,0.005989113974769684,0.004989210140046193,0.00389297056325263,77825747,77899271,ENSG00000102158,1,0.004957098226022835
158,0.00312814967324455,0.0045416148135369126,0.002883813738641487,21940709,21994837,ENSG00000102172,1,0.003517859408474317
160,0.0013227964121887452,0.0015805907994961175,0.0014151437196597658,154483717,154486615,ENSG00000102178,1,0.0014395103104482094
161,0.0011045001148956408,0.0008381771773427276,0.0011206700407412685,150766336,150898816,ENSG00000102181,1,0.001021115777659879
162,0.002097822186246645,0.0016293096048270374,0.001939465898917431,46837043,46882358,ENSG00000102218,1,0.0018888658966637044
164,0.0009999772933675373,0.001137480167971443,0.001069930610744571,47217860,47229997,ENSG00000102225,1,0.0010691293573611837
169,0.012747740194360155,0.013997716018138042,0.018390043696301917,47582408,47586789,ENSG00000102265,1,0.015045166636266705
176,0.008989005061785172,0.007832998014440247,0.007280422667448231,54807599,54816015,ENSG00000102316,1,0.008034141914557882
177,0.00669443135502567,0.004828311194204728,0.004389774643194373,48574449,48581162,ENSG00000102317,1,0.005304172397474924
187,0.0012658665559514815,0.0013163170372857851,0.0014035111074857094,101622797,101627843,ENSG00000102401,1,0.001328564900240992
191,0.003697563192407488,0.0036639899563965734,0.0034343258321645506,70281118,70290514,ENSG00000120509,1,0.003598626326989537
193,0.001098668995125412,0.0011147859188868376,0.0009843929662438798,129539849,129592561,ENSG00000122126,1,0.0010659492934187097
195,0.0013695364677139285,0.001154718870503163,0.0009886957468038078,23701055,23766475,ENSG00000123130,1,0.0011709836950069665
196,0.02258529235725148,0.024052324283202208,0.024420786477672485,23664262,23686397,ENSG00000123131,1,0.023686134372708723
200,0.01762083908352816,0.02197479973157552,0.016834541986996545,103675496,103688158,ENSG00000123562,1,0.018810060267366743
203,0.0011563973989375807,0.0014967703232484583,0.0009726160311494746,104166453,104195902,ENSG00000123575,1,0.0012085945844451712
204,0.0010659718687055578,0.0012271639591458763,0.0009827101131910224,13689128,13710504,ENSG00000123595,1,0.0010919486470141522
205,0.001923758874589654,0.0020364772355335433,0.002031796604528344,132203024,132219480,ENSG00000123728,1,0.0019973442382171806
207,0.0035023518242521135,0.003878482032012001,0.003145099739876442,155881345,155943769,ENSG00000124333,1,0.0035086445320468523
211,0.0034605078368402306,0.0037421927018129815,0.0032689691556182484,41085445,41236579,ENSG00000124486,1,0.003490556564757153
216,0.057474400837838134,0.048779339982493196,0.046638533593013634,119871832,119876662,ENSG00000125356,1,0.05096409147111499
225,0.0034503654393055225,0.0028737219991633576,0.0031365711471916216,47651796,47659180,ENSG00000126756,1,0.0031535528618868336
228,0.0012088399758614613,0.0014861199404207445,0.0012097703231276863,48893447,48898143,ENSG00000126768,1,0.001301576746469964
230,0.0011637469495613577,0.0012532496953459983,0.001363226411039043,101408222,101414133,ENSG00000126945,1,0.001260074351982133
231,0.0027537975451340283,0.002252541836905869,0.0020309614363672275,101550547,101554700,ENSG00000126947,1,0.0023457669394690416
243,0.0033768828759715513,0.005689452290510621,0.00364080046431537,23783173,23786210,ENSG00000130066,1,0.004235711876932514
245,0.0014180783115927546,0.0014350798226458543,0.0013342134175957034,14873421,14922327,ENSG00000130150,1,0.001395790517278104
249,0.007542950331165295,0.009981140854414434,0.008687236297972042,24054946,24078810,ENSG00000130741,1,0.008737109161183925
256,0.001728988466146467,0.0017923252288606813,0.0015480819168414328,47190861,47215128,ENSG00000130985,1,0.0016897985372828605
258,0.0013129709193096643,0.0010438651922496903,0.0011527104740639647,66595637,66639298,ENSG00000131080,1,0.00116984886187444
260,0.010845568268042163,0.013720777647514271,0.012518210488569692,81202102,81298547,ENSG00000131171,1,0.012361518801375376
261,0.008037241331649587,0.008179466086008017,0.007759409623074084,77899440,77907376,ENSG00000131174,1,0.007992039013577229
262,0.0020478164013719895,0.0023947091447399436,0.0021397707342388616,74582976,74614624,ENSG00000131263,1,0.0021940987601169314
264,0.003491621422252929,0.0032540406220597446,0.0026596107532312688,118727133,118794535,ENSG00000131724,1,0.0031350909325146476
265,0.0012073815662697407,0.0012615122619836596,0.001042826029313306,118346073,118449961,ENSG00000131725,1,0.0011705732858555689
269,0.0019132646099357584,0.0021003871338382387,0.002009877543876363,106813871,107000212,ENSG00000133131,1,0.002007843095883453
276,0.0037560353967743434,0.0034695191373974007,0.0034583864654070557,135032355,135033546,ENSG00000134590,1,0.0035613136665262664
284,0.014087056361604327,0.007477196336381275,0.01161738848000859,34627075,34657285,ENSG00000147027,1,0.011060547059331398
290,0.0026888299629476225,0.0030527480662115736,0.002121778685238698,65588377,65741931,ENSG00000147065,1,0.0026211189047992984
299,0.009063733077896825,0.009866363095513739,0.007564570083825131,47142071,47145466,ENSG00000147123,1,0.008831555419078565
305,0.004142524914947338,0.003977763654034303,0.003859349267405908,71254814,71301522,ENSG00000147140,1,0.003993212612129183
310,0.0021865712553629717,0.0023495133974569217,0.0023070185438328786,71533087,71575892,ENSG00000147162,1,0.002281034398884257
311,0.002072080732088604,0.002280938868254327,0.00175725750515506,71056332,71073426,ENSG00000147164,1,0.0020367590351659972
318,0.0027179515829360503,0.0035388542858568557,0.0028209269592951464,107628428,107651993,ENSG00000147224,1,0.0030259109426960177
322,0.0020255559998708906,0.0013690390732145608,0.0015758067054376058,118495815,118686163,ENSG00000147251,1,0.001656800592841019
326,0.0014716553576396886,0.0017540437254226964,0.001773754868285357,136848004,136880764,ENSG00000147274,1,0.0016664846504492474
330,0.005462072941044976,0.004047037843005814,0.003824450903900319,152826994,152830757,ENSG00000147400,1,0.00444452056265037
331,0.06132983332063779,0.05771797576004495,0.05451673348518921,154389955,154409168,ENSG00000147403,1,0.05785484752195732
337,0.007892622379748507,0.008570759801732913,0.007464247773763733,155197007,155239841,ENSG00000155959,1,0.007975876651748384
356,0.008171203351564219,0.0037796881700519896,0.006312744518300538,120505920,120604074,ENSG00000158290,1,0.006087878679972249
366,0.002717610203458793,0.00293064114129774,0.0026647265132688142,151396515,151409364,ENSG00000160131,1,0.002770992619341782
371,0.006210657790417475,0.004437734323164671,0.005056754378864206,37836757,37847571,ENSG00000165169,1,0.00523504883081545
372,0.00104730881299904,0.0010147051447731517,0.0011199318609928617,38801440,38806537,ENSG00000165175,1,0.0010606486062550177
391,0.0011369938718252892,0.0017782384504565762,0.001057656222976928,134460165,134520513,ENSG00000165704,1,0.0013242961817529313
395,0.00771988238608328,0.008274560801263924,0.008013940584411268,103376395,103378164,ENSG00000166681,1,0.008002794590586157
403,0.007372628895115649,0.007288074144001812,0.007874936752841072,1386152,1392113,ENSG00000169100,1,0.007511879930652843
410,0.0033274150178607634,0.002707423402455094,0.002605957903854543,135960588,135974029,ENSG00000169446,1,0.002880265441390134
413,0.0016642309060961697,0.0017815930527462092,0.0016661750186499668,16719612,16765340,ENSG00000169895,1,0.001703999659164115
429,0.0016551409476680732,0.001681115368089772,0.0013096964295370357,103628704,103630953,ENSG00000172465,1,0.0015486509150982937
435,0.0030629614715663046,0.0028604029874984157,0.002620787848308639,20124525,20141838,ENSG00000173674,1,0.002848050769124453
452,0.0012431313578384893,0.0014004061825240285,0.0014414972957962188,20149911,20267519,ENSG00000177189,1,0.0013616782787195787
463,0.002791048976025391,0.002605586869601953,0.0027321659950616133,51803007,51902354,ENSG00000179222,1,0.002709600613562986
471,0.004237206006452586,0.003769630314408893,0.003803652586580726,153793516,153798499,ENSG00000180879,1,0.003936829635814068
472,0.01207599411830991,0.013258295969866038,0.013171026040848624,103252995,103255192,ENSG00000180964,1,0.012835105376341525
476,0.0013326876174837054,0.0012462325280563652,0.001114484045438413,68498562,68537282,ENSG00000181704,1,0.0012311347303261614
480,0.0034884818338520905,0.003663217789357119,0.0037718264431373565,40579372,40606848,ENSG00000182220,1,0.0036411753554488556
481,0.000910265900735672,0.0013494738874351784,0.0013135997457350084,15825806,15854931,ENSG00000182287,1,0.0011911131779686196
485,0.002225227362016161,0.002862661023834601,0.0032581338052332714,153494980,153509546,ENSG00000182492,1,0.0027820073970280107
494,0.0012932838289007862,0.0014249971209355965,0.0007518400206628014,103330229,103332326,ENSG00000182916,1,0.0011567069901663948
506,0.0025340850888675446,0.0031521126852913067,0.0024335987034052,154010506,154019902,ENSG00000184216,1,0.002706598825854684
517,0.002968792449276943,0.003134566693770061,0.0028473552768661847,101655281,101659850,ENSG00000184867,1,0.0029835714733043965
