,HGPS_917_L1_ASO_1,HGPS_478_L1_ASO_1,HGPS_297_L1_ASO_1,StartPos,EndPos,Gene_ID,labels,mean_value
0,0.014667106844834311,0.01238761378692585,0.01617109352227091,50934867,50959140,ENSG00000000419,1,0.014408604718010358
3,0.001401417983718431,0.0011847890251175462,0.0014492322037281638,56468585,56519449,ENSG00000022277,1,0.001345146404188047
4,0.0016398100304627662,0.001566745263535294,0.001911060284711991,35771974,35950370,ENSG00000025293,1,0.001705871859570017
5,0.0017902323567246367,0.0015818001694457207,0.0021435478692431536,44942130,44960397,ENSG00000025772,1,0.0018385267984711703
10,0.001330493610582279,0.001481504716559372,0.0013956950703575978,51596514,51768390,ENSG00000054793,1,0.001402564465833083
14,0.001139206909360942,0.0010695663389414611,0.001278354307666595,46366050,46432985,ENSG00000062598,1,0.001162375851989666
16,0.0013342278572203306,0.001658400747122458,0.0013649955977291977,45890144,45898949,ENSG00000064601,1,0.0014525414006906622
22,0.004094377326922259,0.0035772233599008873,0.004215606790131749,34363235,34511773,ENSG00000078747,1,0.003962402492318298
27,0.0016447845784101885,0.0015730585419990923,0.0014454766668024813,36996349,37095997,ENSG00000080839,1,0.0015544399290705873
29,0.005137378804523948,0.004536050375148732,0.005422700533768809,58839718,58911192,ENSG00000087460,1,0.00503204323781383
31,0.0011798199241104916,0.001255261276628183,0.0012312791863080812,56629306,56639283,ENSG00000087510,1,0.001222120129015585
32,0.0035259659934401178,0.003630165308741273,0.0039812371600434935,56369389,56392337,ENSG00000087586,1,0.003712456154074962
34,0.0018748027810548953,0.001629087019942468,0.002194776000301366,35115364,35147336,ENSG00000088298,1,0.0018995552670995764
37,0.005125579160288141,0.004902116564398707,0.006439272876304721,31739271,31801805,ENSG00000088325,1,0.005488989533663856
42,0.00101695225213869,0.0011890113261154114,0.00105750505980604,3471018,3651118,ENSG00000088812,1,0.0010878228793533805
45,0.017689458576845493,0.018514365867578066,0.01519457440703374,1368977,1393164,ENSG00000088832,1,0.017132799617152434
54,0.0074997042424230186,0.007034057201428343,0.006997733545092163,21303331,21389825,ENSG00000088930,1,0.007177164996314507
56,0.0017326237258233012,0.0015006087869958325,0.0017920795140429456,17941597,17968980,ENSG00000089006,1,0.0016751040089540263
58,0.003629919217082961,0.0032433469992849827,0.0032720649196995625,18486540,18497225,ENSG00000089050,1,0.0033817770453558357
60,0.010045447876049758,0.009043098046370365,0.009097674598519422,5068232,5113103,ENSG00000089063,1,0.009395406840313182
70,0.0016577837484553165,0.001352864479072937,0.0015430058131832907,34928432,34956027,ENSG00000100983,1,0.0015178846802371814
72,0.006417010890144354,0.006152908577074964,0.006717381937285972,35002404,35092807,ENSG00000100991,1,0.00642910046816843
73,0.003439987952708329,0.003100231258534336,0.0037188627907618964,25248085,25298012,ENSG00000100994,1,0.0034196940006681873
75,0.004087560156218603,0.0020675192385846987,0.0022403647959611727,35172072,35216240,ENSG00000101000,1,0.002798481396921492
82,0.0031979676397486585,0.002493991374416403,0.0027621464499017847,43590937,43647299,ENSG00000101052,1,0.0028180351546889487
85,0.002433249837214808,0.0017580757841228812,0.0018177715424584095,36651766,36746090,ENSG00000101079,1,0.0020030323879320325
87,0.0038028555373243655,0.0035572474163775647,0.0031086391120275433,36605779,36612557,ENSG00000101084,1,0.0034895806885764913
91,0.0011873859782272,0.0010514399610110376,0.0012235199674133714,44966494,45080021,ENSG00000101109,1,0.001154115302217203
93,0.002372125132594846,0.0024361934062026892,0.00250565078296158,50888916,50931437,ENSG00000101126,1,0.002437989773919705
94,0.008970159389729074,0.008789531746616433,0.009402761219963099,54208087,54228052,ENSG00000101132,1,0.0090541507854362
99,0.009093189524269532,0.008413405721698049,0.009288303926725408,63865228,63891545,ENSG00000101150,1,0.00893163305756433
100,0.002035795126960817,0.0020268444137675683,0.0021182330809980986,63895126,63936031,ENSG00000101152,1,0.002060290873908828
102,0.007449859965748842,0.004673114626041656,0.0074979358690243384,58985686,59008238,ENSG00000101160,1,0.006540303486938279
103,0.001547482339515716,0.0013168936944346504,0.0016849802306205847,63981132,64033100,ENSG00000101161,1,0.001516452088190317
105,0.006644438422545298,0.006153784352679449,0.0073828160194153,59033145,59042809,ENSG00000101166,1,0.006727012931546682
108,0.022861578414282126,0.020855954926431976,0.02060635315885551,62136733,62143440,ENSG00000101182,1,0.021441295499856534
111,0.001187602725611322,0.0009391676699152024,0.0012444953556458378,62796473,62801729,ENSG00000101189,1,0.0011237552503907875
114,0.0013746790220367786,0.0011983403310954893,0.001310447799027577,62938147,62948475,ENSG00000101193,1,0.0012944890507199482
133,0.0023651454504113635,0.0026677569103115534,0.0027044575590277446,362835,397559,ENSG00000101255,1,0.002579119973250221
140,0.0013427931114189946,0.001458733309883326,0.0014574079016555523,31514410,31577923,ENSG00000101294,1,0.001419644774319291
144,0.0011825940490465985,0.0012411618197501256,0.0012504653865818406,18507520,18561415,ENSG00000101310,1,0.0012247404184595216
149,0.004116190885428317,0.0023251940397285837,0.002237696967742763,9067825,9504593,ENSG00000101333,1,0.0028930272976332213
150,0.01969871171071866,0.016558676569645197,0.01624071806240234,36541497,36551447,ENSG00000101335,1,0.017499368780922068
152,0.0012422654463772043,0.0013848673907947888,0.0015230599028547979,32109714,32167258,ENSG00000101337,1,0.0013833975800089304
154,0.0032874258055315096,0.0027730431777606597,0.0029845148758640555,20034368,20056046,ENSG00000101343,1,0.0030149946197187416
155,0.0025386234353676094,0.0024166334063389344,0.002474676362086312,32207880,32238658,ENSG00000101346,1,0.0024766444012642853
158,0.0014598102285529207,0.0012868009824065216,0.0014795860324158187,32277651,32335011,ENSG00000101350,1,0.0014087324144584203
160,0.001225949897754295,0.0011852561619213318,0.0014586800298139095,2652593,2658393,ENSG00000101361,1,0.0012899620298298454
161,0.001960270415723707,0.0020032147888402164,0.001687035570431048,37289649,37317260,ENSG00000101363,1,0.0018835069249983237
162,0.0012930851648186848,0.0013793874235113817,0.0013488726150335634,2658395,2664219,ENSG00000101365,1,0.00134044840112121
163,0.004252254360063244,0.0044312291412342076,0.004103571672331356,32819954,32850405,ENSG00000101367,1,0.004262351724542936
166,0.001547482339515716,0.001142666741649209,0.0014068949275620893,33407957,33443763,ENSG00000101400,1,0.0013656813362423381
172,0.0017319824186493927,0.002327259831386907,0.001553380616649525,33811348,33854366,ENSG00000101421,1,0.001870874288895275
174,0.0039859977319339854,0.004266538703212286,0.003499296003219689,23626706,23638473,ENSG00000101439,1,0.00391727747945532
178,0.0026184800039579146,0.0025952092096399957,0.002515911587453906,34280268,34311802,ENSG00000101444,1,0.0025765336003506054
180,0.0014064895040349227,0.0014306616226060676,0.00201599990150691,38926312,38953106,ENSG00000101447,1,0.0016177170093826336
188,0.0031696970915427005,0.0030710867190223575,0.003029142954444897,24962925,24992751,ENSG00000101474,1,0.0030899755883366515
189,0.023862750820624525,0.024496164254012565,0.023174477465120698,37178410,37241619,ENSG00000118705,1,0.023844464179919266
193,0.0025039918194603504,0.002534631473983711,0.002072084020492775,56358974,56368663,ENSG00000124098,1,0.002370235771312279
196,0.0013378246658189577,0.0012897595599482231,0.0016303605335440047,45833799,45843276,ENSG00000124104,1,0.0014193149197703951
204,0.004915166352404081,0.006251284036149348,0.00553859661180384,45325288,45348424,ENSG00000124145,1,0.00556834900011909
205,0.002450103766722034,0.0028910430642286353,0.002245025656439913,47501887,47656877,ENSG00000124151,1,0.0025287241624635274
211,0.00928002103474793,0.007017203535040025,0.006030588698510179,59025475,59032345,ENSG00000124172,1,0.0074426044227660455
215,0.005008606508154528,0.0051794770762671714,0.005205530396507882,43457893,43466046,ENSG00000124193,1,0.00513120466030986
217,0.0018320806916053453,0.0018341973416777606,0.0020001222581953327,48921711,49036693,ENSG00000124198,1,0.0018888000971594796
