,HGPS_917_NT_1,HGPS_478_NT_1,HGPS_297_NT_1,StartPos,EndPos,Gene_ID,labels,mean_value
0,0.013215256643976676,0.014604045449010783,0.015729332920804345,50934867,50959140,ENSG00000000419,1,0.014516211671263934
3,0.001617896553366664,0.0013522690466802063,0.0011712116708386892,56468585,56519449,ENSG00000022277,1,0.0013804590902951866
4,0.002108443990133611,0.002539514158573667,0.002327494237484593,35771974,35950370,ENSG00000025293,1,0.0023251507953972904
5,0.0010138180159980467,0.001297178730880192,0.0009689091470339754,44942130,44960397,ENSG00000025772,1,0.0010933019646374048
10,0.0016602838301057292,0.0014282303670956013,0.001489886681712809,51596514,51768390,ENSG00000054793,1,0.001526133626304713
14,0.0013268587870962525,0.0011969643905978178,0.0013369531853286037,46366050,46432985,ENSG00000062598,1,0.0012869254543408913
16,0.0022435927699395748,0.00198236306290119,0.002185635572426691,45890144,45898949,ENSG00000064601,1,0.002137197135089152
22,0.004154750618697131,0.0048982587634898295,0.004573072690112039,34363235,34511773,ENSG00000078747,1,0.0045420273574329996
29,0.005393572306490854,0.00440605901312015,0.004903582786555882,58839718,58911192,ENSG00000087460,1,0.004901071368722296
34,0.002722335109061168,0.002633459970800158,0.0023646842082728635,35115364,35147336,ENSG00000088298,1,0.0025734930960447295
42,0.0016314643002532012,0.0014042010249857597,0.0015266000192001234,3471018,3651118,ENSG00000088812,1,0.0015207551148130282
45,0.010899946664898469,0.013158318565588705,0.010251694914498686,1368977,1393164,ENSG00000088832,1,0.011436653381661952
54,0.0072513645310146495,0.007584110694795503,0.006367666511942305,21303331,21389825,ENSG00000088930,1,0.007067713912584153
56,0.0012854980718777402,0.0015079913098927386,0.0016547317563173612,17941597,17968980,ENSG00000089006,1,0.0014827403793626133
58,0.0028493774156950714,0.0025979759724664535,0.002367638437735756,18486540,18497225,ENSG00000089050,1,0.002604997275299094
60,0.013005712841315596,0.011514872741286476,0.011670829970368718,5068232,5113103,ENSG00000089063,1,0.012063805184323597
70,0.0014598091556104476,0.001603622682553614,0.001192226331442576,34928432,34956027,ENSG00000100983,1,0.0014185527232022125
72,0.0064394848227189525,0.0070774456660605434,0.0064453120111686414,35002404,35092807,ENSG00000100991,1,0.006654080833316045
73,0.003169101092402883,0.0027718103443865527,0.0027139792422511398,25248085,25298012,ENSG00000100994,1,0.002884963559680192
75,0.0017025743657272468,0.002218475883130542,0.000904094827058053,35172072,35216240,ENSG00000101000,1,0.0016083816919719475
82,0.004154547141221787,0.0030412270760030416,0.00402956321019677,43590937,43647299,ENSG00000101052,1,0.0037417791424738662
85,0.0020137931179369504,0.0025722484674729432,0.002355659246443051,36651766,36746090,ENSG00000101079,1,0.0023139002772843147
87,0.0031032448167836856,0.0032755976578913125,0.0025311877752412044,36605779,36612557,ENSG00000101084,1,0.0029700100833054007
91,0.001075537007060558,0.001049300811789271,0.0012524231628829037,44966494,45080021,ENSG00000101109,1,0.0011257536605775776
93,0.0020085389723594506,0.002232648186825161,0.002396940503298085,50888916,50931437,ENSG00000101126,1,0.0022127092208275656
94,0.009764389731493411,0.009190967456000515,0.010435722596418189,54208087,54228052,ENSG00000101132,1,0.009797026594637373
95,0.0009086080705351325,0.0017161483758912522,0.00127507236107668,54475593,54651169,ENSG00000101134,1,0.0012999429358343548
99,0.008633722831415995,0.010206875813146065,0.00785321619430439,63865228,63891545,ENSG00000101150,1,0.008897938279622151
100,0.0025086040353462717,0.002766141985001268,0.0024922268218467297,63895126,63936031,ENSG00000101152,1,0.00258899094739809
102,0.00825553114076197,0.0036007547841697143,0.006294827760199754,58985686,59008238,ENSG00000101160,1,0.006050371228377146
103,0.001618730654775603,0.001565234719046266,0.001804083226130592,63981132,64033100,ENSG00000101161,1,0.0016626828666508203
105,0.006423726769972132,0.007426357890917663,0.007066683816948186,59033145,59042809,ENSG00000101166,1,0.006972256159279328
108,0.015954561895973052,0.01843209214183133,0.015233657307285169,62136733,62143440,ENSG00000101182,1,0.016540103781696517
112,0.001225904124953497,0.0011170045454058728,0.0014793206092239722,62841005,62861822,ENSG00000101190,1,0.0012740764265277806
114,0.0014271696630524934,0.0014659618595699083,0.0018502183534362313,62938147,62948475,ENSG00000101193,1,0.0015811166253528776
133,0.00629966313605134,0.0029894783448161746,0.004925431581514845,362835,397559,ENSG00000101255,1,0.00473819102079412
140,0.0011652997982858132,0.0010044269338550058,0.001242005950843994,31514410,31577923,ENSG00000101294,1,0.0011372442276616041
144,0.0012427926336584052,0.0013503268923347788,0.0011437660571419017,18507520,18561415,ENSG00000101310,1,0.0012456285277116952
149,0.002705669685562769,0.0006962623039201114,0.0007336523169967191,9067825,9504593,ENSG00000101333,1,0.0013785281021598662
150,0.020447936001002278,0.018474619644223006,0.021598275416192633,36541497,36551447,ENSG00000101335,1,0.020173610353805976
152,0.0021161018751626455,0.0017295390484116787,0.001723788442058454,32109714,32167258,ENSG00000101337,1,0.0018564764552109262
154,0.0035805949174185117,0.002960732894208347,0.0029552151935799986,20034368,20056046,ENSG00000101343,1,0.0031655143350689525
155,0.0028960011677556063,0.002375323011287438,0.0021249719432367893,32207880,32238658,ENSG00000101346,1,0.0024654320407599445
158,0.001857499632603972,0.0016767175274303811,0.0016540545183189464,32277651,32335011,ENSG00000101350,1,0.001729423892784433
161,0.0018308469062065763,0.0014949752956778055,0.0019498319255315112,37289649,37317260,ENSG00000101363,1,0.0017585513758052978
162,0.0014985038996909851,0.0012249995132871535,0.001153813333427953,2658395,2664219,ENSG00000101365,1,0.0012924389154686973
163,0.004203999464935688,0.004108347829549319,0.003621910377916041,32819954,32850405,ENSG00000101367,1,0.003978085890800349
164,0.0010829963200862458,0.001828153162952535,0.001710970364972895,10637684,10673999,ENSG00000101384,1,0.001540706616003892
172,0.002150372843075539,0.0024209161217383906,0.0020024812843687156,33811348,33854366,ENSG00000101421,1,0.0021912567497275486
174,0.004939709061652939,0.0058595292351163375,0.006951730307395262,23626706,23638473,ENSG00000101439,1,0.005916989534721512
178,0.0029042575651556713,0.0030013693981009925,0.002644246869824115,34280268,34311802,ENSG00000101444,1,0.00284995794436026
183,0.001803121645382896,0.001622634024418464,0.0015810831689466057,34546854,34560345,ENSG00000101460,1,0.0016689462795826551
188,0.0035175602585857785,0.003304046992454786,0.0024657848380188053,24962925,24992751,ENSG00000101474,1,0.00309579736301979
189,0.03098223042524214,0.025829502908877665,0.02217352818433549,37178410,37241619,ENSG00000118705,1,0.026328420506151765
193,0.0038002498095709696,0.004052132178234793,0.004706299342695022,56358974,56368663,ENSG00000124098,1,0.004186227110166928
196,0.0014002335309767568,0.0013408691407291796,0.0015129509181374928,45833799,45843276,ENSG00000124104,1,0.0014180178632811431
204,0.009038840181176677,0.010015247434579136,0.008402352928096704,45325288,45348424,ENSG00000124145,1,0.00915214684795084
205,0.004191296397964129,0.00606058859294297,0.004868917159696301,47501887,47656877,ENSG00000124151,1,0.0050402673835344665
211,0.013167925817213003,0.009565269493578391,0.009766001974486528,59025475,59032345,ENSG00000124172,1,0.010833065761759306
215,0.003802469125102584,0.0037927503178359174,0.00438726611349327,43457893,43466046,ENSG00000124193,1,0.0039941618521439235
217,0.0020667667396690667,0.0023148897076437883,0.0022849337290742383,48921711,49036693,ENSG00000124198,1,0.0022221967254623643
218,0.0019018221419848068,0.001652528496704815,0.0018253783157745668,49237946,49278426,ENSG00000124201,1,0.001793242984821396
219,0.0047914530750756985,0.0047398472765872975,0.004840678416289332,49046246,49096960,ENSG00000124207,1,0.004790659589317443
221,0.0023589007286115454,0.002228509349116748,0.0021587165721097656,58309715,58367507,ENSG00000124209,1,0.002248708883279353
222,0.0020687400837974363,0.004607399602000673,0.0015171769978234108,49503874,49568137,ENSG00000124212,1,0.0027311055612071733
223,0.0025431424217525252,0.0026947271386644953,0.002627296416273596,49113339,49188367,ENSG00000124214,1,0.002621721992230206
227,0.0009186853246762504,0.001134050153065504,0.0013757366998691358,58651253,58679526,ENSG00000124222,1,0.0011428240592036302
229,0.0016762213263979422,0.0009509062284210738,0.0014642784542206074,57648392,57711536,ENSG00000124225,1,0.0013638020030132079
230,0.0012062386290129204,0.001158077720638759,0.0011010011753526507,49936336,49953885,ENSG00000124226,1,0.00115510584166811
242,0.0026789018442778733,0.0026213076538974707,0.0019790627545333067,63520765,63522206,ENSG00000125534,1,0.002426424084236217
245,0.0010697795525399052,0.0012583560738190194,0.0010970904871505287,3888839,3929887,ENSG00000125779,1,0.0011417420378364844
253,0.004658584183264843,0.005156327200454079,0.00444010383075152,3783851,3786740,ENSG00000125817,1,0.004751671738156813
258,0.003090990019555065,0.0021061338602087554,0.0025212974639144555,7977346,8019805,ENSG00000125827,1,0.0025728071145594256
260,0.005698754828816172,0.0074773162994205096,0.005938340540357746,2461634,2470853,ENSG00000125835,1,0.006371470556198143
261,0.0015475820737016698,0.0011644584010866723,0.001267185979675176,346782,359660,ENSG00000125841,1,0.001326408818154506
263,0.0033114827492338973,0.0033825942568510834,0.003626218471120677,17613678,17682295,ENSG00000125844,1,0.0034400984924018857
270,0.02067854030150488,0.016166456147016447,0.017910652176872044,17570075,17609919,ENSG00000125868,1,0.01825188287513112
272,0.004713272304268596,0.004528229070922461,0.004331921453648397,16729961,16742564,ENSG00000125870,1,0.004524474276279818
273,0.0011379629209619772,0.0013155246529603596,0.0012908083505141846,17969018,17991122,ENSG00000125871,1,0.0012480986414788403
275,0.0011747991403098903,0.0011179386151519918,0.001336179973173829,423596,462566,ENSG00000125875,1,0.00120963924287857
276,0.001707865762570577,0.0015247890225900487,0.0013012349246992584,3208868,3223870,ENSG00000125877,1,0.0015112965699532945
282,0.0016490491339903933,0.0013583843301238124,0.001453560180662096,3046052,3048250,ENSG00000125901,1,0.0014869978815921006
284,0.0008577373290005277,0.002377121928255109,0.0015249030433385335,35433347,35454746,ENSG00000125965,1,0.00158658743353139
287,0.00596220091687026,0.0019906849236791145,0.0020295090060116782,31605283,31606515,ENSG00000125968,1,0.003327464948853684
288,0.0017123571180628103,0.0015858432774993143,0.0013257435352445062,33993646,34108308,ENSG00000125970,1,0.0015413146436022102
290,0.03153712327129978,0.03347363490527465,0.03611474022450853,34088309,34112243,ENSG00000125977,1,0.03370849946702765
291,0.00593022218660307,0.004164207107364145,0.00455047447237405,35542038,35557634,ENSG00000125991,1,0.004881634588780422
292,0.017485922940550052,0.014856841794167545,0.013218425052136476,35699272,35700984,ENSG00000125995,1,0.01518706326228469
307,0.005219867869903922,0.006186220535261038,0.005266686305973924,62302093,62308862,ENSG00000130706,1,0.005557591570379627
308,0.0015354110481280278,0.0014450234100860855,0.0015345478937074761,36236131,36270918,ENSG00000131043,1,0.0015049941173071962
310,0.003894276047719592,0.0039224739383827804,0.00430508792728962,35701347,35742312,ENSG00000131051,1,0.004040612637797331
320,0.0015207659807754139,0.001911641878236857,0.0010762859545594852,11890723,11926609,ENSG00000132640,1,0.0015028979378572521
321,0.011631065187180063,0.010627598386431385,0.012461777672497537,5114953,5126626,ENSG00000132646,1,0.011573480415369661
322,0.002213499404219643,0.002656668029781767,0.003036143216453347,23350791,23354771,ENSG00000132661,1,0.0026354368834849186
323,0.001659023043493964,0.001580730529238776,0.0014201938312208378,18466878,18484648,ENSG00000132664,1,0.0015533158013178595
324,0.002045848162038481,0.0022837721849077904,0.0017345267633294393,19757606,20002457,ENSG00000132669,1,0.0020213823700919037
325,0.002576490072654981,0.002169561213813807,0.002096572907172501,2873420,3039076,ENSG00000132670,1,0.0022808747312137627
332,0.0026263936776567062,0.0018526279322228982,0.0019517246477548287,44195939,44210771,ENSG00000132823,1,0.0021435820858781447
333,0.009438064704642812,0.008225749791097777,0.0073097877782781154,44496221,44522085,ENSG00000132824,1,0.008324534091339568
340,0.001482724646955169,0.001721733328217532,0.0021562522174324336,30377372,30399257,ENSG00000149531,1,0.0017869033975350449
347,0.0008894551624421119,0.0012022882480011868,0.001171221255003678,36751791,36773818,ENSG00000149636,1,0.0010876548884823257
