,WRN_1_L1_ASO_1,WRN_2_L1_ASO_1,WRN_3_L1_ASO_1,StartPos,EndPos,Gene_ID,labels,mean_value
0,0.00011084025665942482,8.655097601825427e-05,9.707571317305712e-05,911736,990053,ENSG00000002016,0,9.815564861691208e-05
2,0.0005564491598008434,0.0005622666550584478,0.0005086390132687411,2794970,2805423,ENSG00000004478,0,0.0005424516093760108
4,0.0005825078688021161,0.0005431492464515618,0.0005905180792120473,47661249,47706030,ENSG00000005175,0,0.0005720583981552417
5,0.00015657911537622299,0.0001189343581050634,0.00010677102544559714,1688574,1788674,ENSG00000006831,0,0.00012742816630896116
6,9.525433957852286e-07,0.0,1.5547443737820228e-06,6310436,6328506,ENSG00000008323,0,8.357625898557504e-07
7,0.0007858271594224635,0.000695538941038549,0.0006933854984503294,16347142,16609259,ENSG00000008394,0,0.000724917199637114
8,0.00019092698071007327,0.00023431613438609417,0.00022575981158044385,106991364,107093549,ENSG00000008405,0,0.00021700097555887044
9,0.0003031583385818702,0.0003692865040228742,0.0003694688959333223,4562208,4615302,ENSG00000010219,0,0.00034730457951268886
10,0.0006128158621400295,0.0007231405556870427,0.0006368778079246285,6199715,6238271,ENSG00000010278,0,0.0006576114085839001
11,0.0005663407713369812,0.0004300807036699388,0.00046782187022752686,6493356,6531955,ENSG00000010292,0,0.000488081115078149
12,0.00024332970323743148,0.00022747372222138186,0.0002017641685570607,6538961,6556073,ENSG00000010295,0,0.00022418919800529135
13,0.0,6.754013980019656e-07,0.0,220621,262873,ENSG00000010379,0,2.2513379933398853e-07
14,1.4247390043141153e-05,1.760816146407122e-05,1.816768479923134e-05,6786858,6820799,ENSG00000010610,0,1.6674412102147905e-05
15,3.058001292764352e-05,2.2535215747767877e-05,2.4956398582939152e-05,6873569,6914241,ENSG00000010626,0,2.6023875752783515e-05
16,0.00010460457467913191,9.17199056106619e-05,0.0001007150140388533,3077355,3286564,ENSG00000011105,0,9.90131647762157e-05
18,0.0008427600181900774,0.0009694135871100573,0.0009918441081951982,53708517,53727745,ENSG00000012822,0,0.000934672571165111
19,0.0004399959254009173,0.000377449109665433,0.00034657952695960265,106357748,106510198,ENSG00000013503,0,0.00038800818734198434
