,120_51YR_M,121_52YR_M,122_55YR_M,123_57YR_M,124_60YR_M,28_43YR_F,29_44YR_M,30_41YR_M,31_47YR_M,32_50YR_F,33_46YR_M,34_50YR_M,35_42YR_F,36_47YR_M,37_41YR_F,38_43YR_M,39_44YR_M,40_45YR_M,41_46YR_M,42_46YR_M,43_47YR_M,StartPos,EndPos,Gene_ID,labels,mean_value
4,0.0025671101806535347,0.0023824515005362373,0.0023858372943447365,0.002667396809500859,0.002306429155662115,0.0026657333539114197,0.002656168233494128,0.0023335377757032006,0.0028514496806565036,0.0022918723191401773,0.002438068322049565,0.00254468795208843,0.0028722017221326215,0.002749375667550903,0.0015902289489861735,0.002829287963731443,0.002365339231648427,0.003117386991945243,0.0021654115798006297,0.002700717863324521,0.0025346989958273374,42846289,42897403,AKAP11|AKAP-11|AKAP220|PPP1R44|PRKA11|-|13q14.11|protein-coding,1,0.0025245424544137235
5,0.002168696165388834,0.0025370758191068654,0.002703114542405794,0.002530807589234644,0.002448161537452938,0.002746256301008903,0.001972306152334699,0.002591533191128287,0.0025724705555727765,0.0023513547610299816,0.0028897416912264063,0.002649889805782889,0.0021097422492929734,0.002257144907398347,0.0020504309576943013,0.002481578428158124,0.002159701458379049,0.0026033750909832793,0.002512236323472084,0.002485310459810095,0.0025072950598297255,52586523,52603780,ALG11|CDG1P|GT8|-|13q14.3|protein-coding,1,0.002444201097461476
6,0.004378842236092474,0.005021888618536858,0.004260088493443094,0.005522017744721312,0.004930351333970193,0.004623712383334434,0.0034432655412506012,0.005686030796619645,0.004829910335839654,0.004061959124772584,0.004422204908076404,0.004844009904093076,0.004930654654958941,0.004703769004999997,0.0030777648587647904,0.005918997384603898,0.00625327303984459,0.006444820822431733,0.004019578117555335,0.00603417336458066,0.005861470792356744,37523908,37573504,ALG5|bA421P11.2|-|13q13.3|protein-coding,1,0.004917561117183192
8,0.0016032452182584975,0.0018245669591334113,0.0017509699015282815,0.0014174647915498472,0.0022870736321576415,0.0019389078051104524,0.003074242383193762,0.0019829100652587286,0.001336269577393796,0.0017205642144776392,0.0023335381994686382,0.002162307561713959,0.0027236503482200567,0.002465008619968794,0.0016124219437068635,0.002018085945573358,0.0017770334580397974,0.0025221485189794134,0.0021487045894721213,0.0025433978495218506,0.0019796867498997938,111530887,111567454,ANKRD10|-|-|13q34|protein-coding,1,0.0020581999206012716
11,0.008668288780871673,0.00692283999104416,0.0070479980400151064,0.009715025501863803,0.008047527175779372,0.011665585375337587,0.01103789902054866,0.010131657267745326,0.010906466520483401,0.007180499054920831,0.010664330870100353,0.010658459662176059,0.010362943844140523,0.010030536098602716,0.005983634885692963,0.010016126652837637,0.0098372937395919,0.008918106481690072,0.009827732366390486,0.009508352482578968,0.009795751531483819,107195662,107220514,ARGLU1|-|-|13q33.3|protein-coding,1,0.00937747882589978
14,0.002684345360611083,0.0022268994360541854,0.0022481627488350076,0.0022663808607558855,0.002383226877954059,0.0030199636869762255,0.0030916383744159157,0.00304528669876231,0.002710949324183177,0.0022844024310888994,0.0030242758304740796,0.0025692560496577946,0.002762742815039153,0.0027303980960751415,0.002266711778972299,0.003002060647901173,0.003312080731168493,0.003028545428816015,0.0030286060801069247,0.003183396411167439,0.0028539713585946994,111805994,111958081,ARHGEF7|BETA-PIX|COOL-1|COOL1|Nbla10314|P50|P50BP|P85|P85COOL1|P85SPR|PAK3|PIXB|-|13q34|protein-coding,1,0.0027487286203623793
19,0.006893676043625097,0.006707912188230986,0.010363764309939195,0.00524790162075456,0.007231473329961727,0.006849394894774519,0.0049786756517436635,0.007246306015852425,0.007179669295180131,0.004848510670320087,0.005144237051089098,0.006951826685300624,0.006351431269032167,0.006522650621129984,0.0036299669183150513,0.007767556896858314,0.0068035476049762315,0.005467880919307113,0.007892505986671535,0.006203249159634518,0.007641736128490781,28519343,28519710,ATP5EP2|-|-|13q12.2|pseudo,1,0.00656780348862799
23,0.0013740334284206533,0.002221023711948502,0.0027929158936814582,0.0027714796707105833,0.0022789567997202817,0.002541064054238562,0.0013720018650784033,0.0031766363983405793,0.002904684827713544,0.0016043659559022078,0.0024819451636267434,0.002259005073942099,0.00235336650250958,0.0026607148258125813,0.0012139568112217467,0.0023776984009329003,0.0027756051000860245,0.002425374673427933,0.0016490418231657892,0.002070746291569652,0.00233230607092931,31774112,31906411,B3GLCT|B3GALTL|B3GTL|B3Glc-T|Gal-T|beta3Glc-T|-|13q12.3|protein-coding,1,0.002268424921094244
25,0.004752819366880536,0.004435553202517037,0.004123352638016386,0.004845947988575265,0.004638145366225236,0.004712711430126389,0.004786179027564092,0.004557798390875719,0.005485241734738023,0.003844779046244694,0.005541064368294465,0.0050090571236616295,0.004950669997970319,0.004740834574288593,0.002852203330603595,0.005305095279265943,0.0061442278049194205,0.005313360057721633,0.004792740503313553,0.0067440150971891915,0.005125526535264242,103459496,103528351,BIVM-ERCC5|ERCC5-202|-|13q33.1|protein-coding,1,0.004890539184012188
26,0.003627485370348717,0.0028859082818022026,0.0031133221086859183,0.003793554614121388,0.0029401664575021383,0.003502748198740522,0.0038100072578356827,0.003035155041494564,0.004493989819283522,0.0029110430398349768,0.00384115938101391,0.003511033123150109,0.003146787209069952,0.004062682918584439,0.002017141465613266,0.0034605034069402677,0.003125290282454083,0.0037434027207094126,0.0030982185398090454,0.0037251996235383926,0.0031062196369341655,103451399,103493888,BIVM|-|-|13q33.1|protein-coding,1,0.0033786199284507944
