,WRN_1_NT_1,WRN_2_NT_1,WRN_3_NT_1,StartPos,EndPos,Gene_ID,labels,mean_value
0,0.0,2.5621109255760703e-09,0.0,70722526,70809534,ENSG00000006432,0,8.540369751920234e-10
1,8.144504518872636e-07,9.196510438951224e-07,9.268353090509542e-07,77274956,77320883,ENSG00000009830,0,8.869789349444467e-07
2,5.478141837698712e-07,6.412384622425992e-07,5.686019402876407e-07,93237550,93333092,ENSG00000011114,0,5.85884862100037e-07
3,9.664749933274329e-07,1.040024193736486e-06,1.3481166602123278e-06,93207241,93229215,ENSG00000012963,0,1.1182052824254156e-06
4,1.2454514651859808e-05,1.2931103956317215e-05,1.6986619570919752e-05,50418501,50561126,ENSG00000012983,0,1.4124079393032258e-05
5,1.379010860585418e-06,1.4298674651827972e-06,1.501351407763236e-06,76786009,76826246,ENSG00000013523,0,1.4367432445104838e-06
6,0.0,5.107726335752194e-09,0.0,91271323,91417844,ENSG00000015133,0,1.7025754452507315e-09
7,9.861969955482883e-06,9.339396498198316e-06,1.0645132770725504e-05,60734742,60969965,ENSG00000020426,0,9.948833074802236e-06
8,5.459735727368458e-06,5.4833212217821675e-06,6.611258722467112e-06,54566117,54793315,ENSG00000020577,0,5.851438557205913e-06
9,5.14138130225663e-07,5.94520202041566e-07,7.937427553005361e-07,78170373,79868291,ENSG00000021645,0,6.341336958559217e-07
10,4.207643615835113e-07,5.790516909771301e-07,4.4644721458541833e-07,102317377,102342702,ENSG00000022976,0,4.820877557153533e-07
11,6.412883746641446e-06,6.094748596867949e-06,7.225577960508362e-06,61762420,61796428,ENSG00000023608,0,6.577736768005919e-06
12,1.9513364238303508e-07,1.4016283495078735e-07,1.5186193203044324e-07,61187559,61550976,ENSG00000027075,0,1.623861364547552e-07
13,1.3805114819275933e-05,1.4128833894872571e-05,1.7637916391157545e-05,69398015,69462390,ENSG00000029364,0,1.5190621701768683e-05
14,2.291072961144397e-06,2.4837023631383165e-06,2.810253285307269e-06,58298504,58373887,ENSG00000032219,0,2.5283428698633273e-06
15,1.2432030718755085e-05,1.1359024608243561e-05,1.35249553721098e-05,65410592,65744121,ENSG00000033170,0,1.243867023303615e-05
16,4.676158755005463e-08,2.0346849351615078e-08,7.164676553541731e-08,99684298,99727301,ENSG00000036530,0,4.625173414569567e-08
17,6.548453859635636e-07,7.037335488805842e-07,8.439688829604857e-07,89954939,90044764,ENSG00000042088,0,7.341826059348779e-07
18,1.5800093632185528e-06,1.3484308208698597e-06,1.582729961349431e-06,88384924,88470350,ENSG00000042317,0,1.5037233818126145e-06
19,1.2983240548671176e-05,1.1810997069492525e-05,1.1140255789602984e-05,59484443,59505410,ENSG00000050130,0,1.1978164469255561e-05
20,8.539804186307656e-06,8.421829100935825e-06,1.0486123205573259e-05,89124871,89619149,ENSG00000053254,0,9.149252164272248e-06
21,3.1301197007188546e-06,3.073735051919977e-06,3.645011677059576e-06,57268924,57298742,ENSG00000053770,0,3.282955476566136e-06
