,120_51YR_M,121_52YR_M,122_55YR_M,123_57YR_M,124_60YR_M,28_43YR_F,29_44YR_M,30_41YR_M,31_47YR_M,32_50YR_F,33_46YR_M,34_50YR_M,35_42YR_F,36_47YR_M,37_41YR_F,38_43YR_M,39_44YR_M,40_45YR_M,41_46YR_M,42_46YR_M,43_47YR_M,StartPos,EndPos,Gene_ID,labels,mean_value
3,0.0023849645938653925,0.002558825843586922,0.002209654652723458,0.0024887599935970845,0.0026801978026422426,0.0030997188422263876,0.002279996221000739,0.0026815545267407544,0.0030736378601242506,0.0017581347933626355,0.0028968148931921376,0.0031295334186943005,0.0031259826758793354,0.0032023014179612874,0.0020912553662016924,0.0026295704867934588,0.003166953521603355,0.003305590107722163,0.002569534933658106,0.0032197166334424526,0.0034195389967612766,23721777,23761407,ACOT9|ACATE2|CGI-16|MT-ACT48|MTACT48|-|Xp22.11|protein-coding,1,0.0027605827419894973
4,0.0016451543185300862,0.0016908863023581313,0.0017994242699107847,0.0021445870525386487,0.0017999836001494206,0.0019696982088905583,0.0017655219355990018,0.0018733216676124287,0.0025711329803228063,0.0016539620288724775,0.001786724048628837,0.0022490993698933656,0.002626227180452008,0.002740293885926822,0.00168731353154855,0.0020037654723195006,0.002335409823508206,0.002976262437660578,0.0014769517816558538,0.0023447137596327742,0.0022866650809810233,108884564,108976621,ACSL4|ACS4|FACL4|LACS4|MRX63|MRX68|-|Xq23|protein-coding,1,0.0020679570827138983
32,0.003876826843337131,0.002574673054311605,0.004766301787378469,0.003113682811732747,0.003173304421004164,0.003570412228423338,0.004102534636682923,0.003537165437031763,0.0032540503626087448,0.003535679378325023,0.004340403653505526,0.0027315233033470697,0.002805500403791594,0.003521480123057653,0.0032124620183655466,0.003064232655899579,0.002369958766330298,0.0024632411215857156,0.0037007519484928524,0.0023272871877008717,0.0022800880077096237,100910268,100914876,ARMCX2|ALEX2|GASP9|-|Xq22.1|protein-coding,1,0.003253407626220106
33,0.004570486997528369,0.0026472599286099783,0.0029063935251733256,0.0038404505158860162,0.004071296239300931,0.0030909110354897995,0.003929275255344881,0.002734220788625468,0.0024126349908519655,0.00299323764925536,0.003652003889912517,0.002539466311782955,0.0028211679796128685,0.0030803972223749066,0.0029130876964649915,0.002191569578030258,0.002375980153507863,0.003231373844890473,0.0036128681188767244,0.002560761259848769,0.0023690402281834706,100878351,100882831,ARMCX3|ALEX3|GASP6|dJ545K15.2|-|Xq22.1|protein-coding,1,0.0030735182480739007
52,0.0053620807421286155,0.00624091971448424,0.005350232404385569,0.0034682458793137017,0.007690374376589013,0.004352314785979734,0.004326291171893085,0.0046428331686073675,0.004449257709576643,0.004746416751145718,0.004369203708729912,0.004563323896753396,0.004531545006768695,0.0033809415542774526,0.00385438508893837,0.004850041029980317,0.0033867835092170656,0.0035463731866828933,0.005822440517531785,0.003992679580036414,0.0037148603687344483,153656978,153664863,ATP6AP1|16A|ATP6IP1|ATP6S1|Ac45|CF2|VATPS1|XAP-3|XAP3|-|Xq28|protein-coding,1,0.004601978292940688
53,0.010126484915356237,0.009080119286277092,0.008556291982443936,0.011483579108529308,0.009661800859147727,0.008192518523132132,0.010294016087266154,0.007517029657364954,0.007654586503717824,0.010304637711593827,0.008586786893262961,0.0077833895798297015,0.006803343500853531,0.00867216661753022,0.008744007531897361,0.007011561951096854,0.006294916093450349,0.008344348235690253,0.008120006190173603,0.0073842474077711814,0.006596265386847277,40440216,40465888,ATP6AP2|APT6M8-9|ATP6IP2|ATP6M8-9|ELDF10|HT028|M8-9|MRXE|MRXSH|MSTP009|PRR|RENR|XMRE|XPDS|-|Xp11.4|protein-coding,1,0.008438671620153928
59,0.009602908540968255,0.009362044489658864,0.006619682266266853,0.006830209422740804,0.010337683589993958,0.007053165808849205,0.005978553626706696,0.006517126140229965,0.0077235917377189555,0.006065250144205458,0.007173679125249311,0.0076955535799081,0.0074141780915265645,0.006188173440001067,0.006346830513141821,0.008419153723398983,0.008105280697327966,0.007902184980508997,0.009316452049904006,0.00854080489556497,0.009869167995918334,152965947,152989582,BCAP31|6C6-AG|BAP31|CDM|DDCH|DXS1357E|-|Xq28|protein-coding,1,0.0077648416599899565
66,0.009561850099856514,0.009797898194415355,0.010625191307399742,0.008080487980950568,0.010870567623717206,0.007933736772823807,0.010181751079970587,0.008918621344038685,0.00898413491185779,0.008359941783014427,0.00934668251379433,0.00901516762831704,0.007694587525456046,0.009663015578752402,0.007604677109374392,0.008240844158588046,0.007549931119279139,0.008371549671388746,0.011201412445269607,0.007714722398383403,0.005753753082868319,102631251,102633092,BEX3|Bex|DXS6984E|HGR74|NADE|NGFRAP1|-|Xq22.2|protein-coding,1,0.008831929729976961
69,0.03252911872226998,0.05000271508155773,0.030331957161014,0.04058437534938153,0.036077226851933125,0.027082223182692582,0.031993317138148396,0.03899666885893578,0.022137429478587486,0.04485055647769272,0.03683908075602722,0.025190472936193625,0.0263837959503133,0.028302489802105042,0.03249952603019401,0.03277494651495573,0.023920997031159987,0.03169526959197398,0.03218507218184576,0.024204038702526635,0.0270382403978504,152760347,152775012,BGN|DSPG1|MRLS|PG-S1|PGI|SEMDX|SLRR1A|-|Xq28|protein-coding,1,0.03217235800939805
84,0.0036370845473469374,0.0023767491497361935,0.0029439282792446987,0.002037763564229002,0.003643189028722183,0.0027038918132904354,0.002932370830324591,0.002318286826937584,0.002135085135334859,0.00242973423142852,0.002439263821280977,0.0022005666096061053,0.0022522140243082444,0.0019751394559012875,0.0020525407153822225,0.002397319409397822,0.0020612886400312087,0.0019255929912982272,0.0034960909754141976,0.0026117812234566283,0.002280303649456227,149934809,150067289,CD99L2|CD99B|MIC2L1|-|Xq28|protein-coding,1,0.002516675472482293
