,125_71YR_F,126_75YR_M,127_78YR_M,128_80YR_F,163_67YR_F,164_67YR_F,165_68YR_M,167_66YR_M,168_68YR_M,169_70YR_M,170_69YR_M,44_61YR_M,45_62YR_F,46_62YR_F,47_63YR_M,48_64YR_M,49_66YR_M,50_67YR_M,51_67YR_M,52_68YR_M,53_68YR_M,54_69YR_M,55_69YR_F,StartPos,EndPos,Gene_ID,labels,mean_value
11,0.008320079261139516,0.007049185774577193,0.005211396906164291,0.010532410581230433,0.01750274373575059,0.011135553617679463,0.00884282744543699,0.009920808766221404,0.011488702190657993,0.006821573476168218,0.01200734151041471,0.008091295390934958,0.010290664288959764,0.008369499012299622,0.008199578468135994,0.00694392914878244,0.006519097809994778,0.008094581223606111,0.009100407470376623,0.008072917350307242,0.006769286495961052,0.0070265057395834446,0.009280042256841372,39138256,39221172,ACTN4|ACTININ-4|FSGS|FSGS1|-|19q13.2|protein-coding,1,0.008938714257444531
21,0.004625338015409505,0.003940769084598929,0.004881814823321498,0.0048305578094902015,0.005473756170894087,0.005691262919556034,0.005850578994214673,0.005563754149821575,0.005433119084335431,0.005656688902649207,0.005197231668829868,0.004442973607842414,0.00427020924894429,0.004407044593174142,0.0037950758904194723,0.003913821243918892,0.004743919845266024,0.004103449489657317,0.003642710583938384,0.003938615109084453,0.0045168336469901555,0.0040748639597141135,0.004123512374886872,3052908,3062371,AES|AES-1|AES-2|ESP1|GRG|GRG5|Grg-5|TLE5|-|19p13.3|protein-coding,1,0.004657300052911198
37,0.0011619538729032805,0.001307405876786272,0.0013073701079517686,0.0014736312123371266,0.000883888746169686,0.001303685255503665,0.0010544535503289527,0.0013211536423701313,0.001011285678378061,0.0014416242210412737,0.0014333715676700604,0.0015865476829989538,0.0016424103519055919,0.001582761359232335,0.0016839163260615898,0.000886099842371456,0.0012878596797519484,0.0015009288606743023,0.001541163679383665,0.0020089744663888223,0.00124138375610677,0.0010652206819752224,0.0014452505449239453,16308665,16346156,AP1M1|AP47|CLAPM2|CLTNM|MU-1A|-|19p13.11|protein-coding,1,0.0013553191723136902
39,0.0020111246441878905,0.0016063253541467376,0.0018615712008846778,0.001946635318868692,0.0016052829737836286,0.001923510135489328,0.0018149983627128246,0.0018451653804532565,0.001762532013613853,0.001923484964088832,0.0018096743658650644,0.0020090106769253815,0.0018523970092265206,0.001850015479297615,0.0017191748848419612,0.001499961528682654,0.001731179450118606,0.0016486705975492695,0.0018264944076099674,0.002155495095340969,0.0017356919975521393,0.0015413819313589848,0.001839091719983369,50270180,50310369,AP2A1|ADTAA|AP2-ALPHA|CLAPA1|-|19q13.33|protein-coding,1,0.0018051682388079229
40,0.005177815852422936,0.005107309681731461,0.004604173736686373,0.0059087302568436575,0.005783851216525688,0.005201444869004365,0.005280112701472156,0.005365305863123895,0.006433729514441184,0.004810049575121202,0.005123820262990351,0.005788685379531037,0.006333952185733322,0.005769417704672289,0.005753547967177612,0.005215968164399319,0.005955731566081276,0.005000110615971531,0.0057239645703218356,0.005686717893861846,0.005455194873963897,0.005641399372305901,0.005248536475791912,47341415,47354026,AP2S1|AP17|CLAPS2|FBH3|FBHOk|HHC3|-|19q13.32|protein-coding,1,0.00549432914348587
41,0.0012098830683656583,0.0012932040572973718,0.0012566084721121076,0.001489005419183144,0.0011576060212442965,0.0014097997640111143,0.001367282461387157,0.0013038593742043833,0.0013423639463869621,0.0014186249847763775,0.001466979937975683,0.0012974823579249262,0.0017016415824327583,0.001278556931144711,0.0015202585604878077,0.0011885670404358072,0.0012904069621767463,0.001428558249340581,0.0016001097750240124,0.0015596682680411812,0.0012747557017898721,0.0011382062751051094,0.0015822202789151998,2100987,2151556,AP3D1|ADTD|HPS10|hBLVR|-|19p13.3|protein-coding,1,0.001372854325641868
61,0.001918679319064118,0.0016289644169482315,0.0019831435988201286,0.0018174380367767212,0.0012984024586872554,0.0014771465620172823,0.001564236848818403,0.0019542523027295125,0.001657671961266317,0.0019411355407572407,0.0019603804005230143,0.0019261538776115283,0.0019014131179381534,0.001956544234306988,0.002083584468749989,0.0015600660566440097,0.001757532244658789,0.0019218069580222686,0.0019281786187928325,0.0020215664305532487,0.0019461852160526515,0.0017512492595697072,0.0016406581771593112,12848273,12859138,ASNA1|ARSA-I|ARSA1|ASNA-I|GET3|TRC40|-|19p13.13|protein-coding,1,0.0018085387002812047
68,0.0012895050176943083,0.0011797991223380369,0.0012311539441692766,0.001241264910620565,0.0011711070494922517,0.0011807595190521647,0.0012773885657179755,0.0011911484540896816,0.0011570998650066331,0.0011936068755521486,0.0012333855842558605,0.0013441559841478586,0.0013602588017587968,0.0012801671509897214,0.0012995724238116328,0.001215216327465732,0.0012850345119717178,0.0011629007824893215,0.0012020259711577896,0.0013559276181863737,0.0013904831192112993,0.000988905289898596,0.0014441158284531858,1241749,1244824,ATP5D|-|-|19p13.3|protein-coding,1,0.0012467383790230842
72,0.003229637893221749,0.00300612166546781,0.003371889572164422,0.0034771780688287956,0.0057835833389810855,0.0061992167190412836,0.0028147218513047906,0.00528745871968285,0.004502237434990164,0.0034707452121607338,0.006035591772670948,0.003998774039417878,0.004188570654434662,0.0041644946354678376,0.003448893188592823,0.0019209141969414134,0.0031622427163701065,0.004274568367074488,0.0037220813699459163,0.004530926865115726,0.0027224228120271443,0.002130486361233509,0.004315326738298166,41732660,41767672,AXL|ARK|JTK11|Tyro7|UFO|-|19q13.2|protein-coding,1,0.0039025253997145336
77,0.0014143744679274207,0.0014793474625540994,0.001472038299334831,0.0014519634705249032,0.001311957062444131,0.0015949270438556033,0.0016260735121637333,0.0017563086233257932,0.0014240295956701192,0.001565552663891889,0.0015367392650612187,0.0016801616418803782,0.0016152249470739299,0.0018352268812473881,0.0016455416961057134,0.0012296679308799697,0.0017108938191720334,0.0016640762227341705,0.0015462588709591345,0.0016597810573343275,0.001697452396191213,0.0013730470954163789,0.0013035528256378597,17378185,17390162,BABAM1|C19orf62|HSPC142|MERIT40|NBA1|-|19p13.11|protein-coding,1,0.001547573776147228
