,120_51YR_M,121_52YR_M,122_55YR_M,123_57YR_M,124_60YR_M,28_43YR_F,29_44YR_M,30_41YR_M,31_47YR_M,32_50YR_F,33_46YR_M,34_50YR_M,35_42YR_F,36_47YR_M,37_41YR_F,38_43YR_M,39_44YR_M,40_45YR_M,41_46YR_M,42_46YR_M,43_47YR_M,StartPos,EndPos,Gene_ID,labels,mean_value
1,0.00036525735151216987,7.993883127716462e-05,0.00017197697896767476,0.0002282494807664645,0.00012582223887491113,0.0004145595465219427,0.00035778443193833063,0.00035018461061029027,0.0001537159052985618,0.0002656739781776792,0.0005793265424174668,0.00019859010720665852,0.00021577950833375457,0.0002942104093483722,0.0001939053951170598,8.669258726253616e-05,0.00014323477782115162,8.010059181626175e-05,0.0005573265143112152,0.0001300659769684523,0.00010510355433177684,8768444,8878432,ABAT|GABA-AT|GABAT|NPD009|-|16p13.2|protein-coding,0,0.0002427380628038046
2,3.1095183467135167e-06,1.4981842541905015e-06,1.5309523350238108e-06,0.0,0.0,1.1383312560512655e-06,0.0,2.2253210379625607e-06,0.0,0.0,1.6325189059293632e-06,8.727104320605109e-07,0.0,0.0,0.0,0.0,2.654251342814193e-06,3.1273530809875493e-06,0.0,0.0,1.3425636502234267e-06,2390923,2476700,ABCA17P|ABCA17|-|16p13.3|pseudo,0,9.110335543788904e-07
3,2.4654038320371454e-05,8.347026559061365e-06,6.736190274104768e-06,8.054529390864304e-06,8.51052278862131e-05,6.623018217025545e-06,2.8986421840145768e-05,4.855245901009223e-06,1.687010855208005e-05,9.438417645785973e-06,9.57744424811893e-06,2.8217637303289854e-05,1.778722974102571e-05,1.4083950994060787e-05,2.9401247755625394e-05,1.1613880361120352e-05,2.7490460336289852e-05,6.960882664133578e-06,9.095083642431435e-06,1.0651533801323292e-05,9.206150744389212e-06,2325879,2390747,ABCA3|ABC-C|ABC3|EST111653|LBM180|SMDP3|-|16p13.3|protein-coding,0,1.7797891722784283e-05
4,1.4437049466884184e-06,0.0,2.857777692044447e-06,2.9495459741193224e-06,1.1124866390354653e-06,0.0,2.353141256395597e-06,0.0,4.8065672410954334e-06,1.3982840956719962e-06,4.788722124059465e-06,8.727104320605109e-07,0.0,3.216020305730416e-06,3.690035143418572e-06,0.0,1.2323309805923039e-06,4.438823727853296e-06,8.488744732936006e-06,3.8110992500147556e-06,0.0,48200822,48269088,ABCC11|EWWD|MRP8|WW|-|16q12.1|protein-coding,0,2.2599997400817144e-06
5,0.0,0.0,0.0,0.0,0.0,9.313619367692172e-07,0.0,0.0,0.0,0.0,0.0,1.4545173867675183e-06,1.7495635810844963e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48116884,48180681,ABCC12|MRP9|-|16q12.1|protein-coding,0,1.9692585260101103e-07
7,2.4431929867034773e-06,0.0,0.0,2.3823255944809914e-06,0.0,0.0,1.9252973915963976e-06,0.0,0.0,0.0,0.0,1.357549560983017e-06,0.0,0.0,0.0,0.0,0.0,0.0,2.7285250927294307e-06,1.0749254294913413e-06,0.0,18582570,18609607,ABCC6P1|-|-|16p12.3|pseudo,0,5.672293359992693e-07
8,1.843500162694442e-05,0.0,0.0,0.0,6.786168498116338e-06,0.0,7.273345701586392e-06,6.4736612013456315e-06,7.539713319365386e-06,0.0,0.0,5.430198243932068e-06,0.0,1.020254717679994e-05,0.0,0.0,7.773164646812993e-06,1.8461471413571663e-05,2.132291831725592e-05,8.013080474389999e-06,7.863587094165784e-06,14916289,14918559,ABCC6P2|-|-|16p13.11|pseudo,0,5.97975512925174e-06
9,0.0,0.0,0.0,9.188970150140967e-06,6.674919834212792e-06,0.0,0.0,0.0,7.445466902873319e-06,0.0,9.795113435576179e-06,5.333230418147567e-06,6.3178684872495705e-06,2.0072402597834665e-05,0.0,0.0,0.0,0.0,1.0509874431254102e-05,0.0,0.0,16315044,16317328,ABCC6|ABC34|ARA|EST349056|GACI2|MLP1|MOAT-E|MOATE|MRP6|PXE|PXE1|URG7|-|16p13.11|protein-coding,0,3.5875164884423414e-06
10,0.0004732020598337962,0.000687987612156481,0.0005486933168725338,0.0005842369910274812,0.0005560208221899256,0.00047602943434871096,0.0004514822383293553,0.0004223052424315314,0.00048273014527236885,0.00040049186973538755,0.00043849457813262694,0.0005646436495431507,0.0005836738502451334,0.00044869028127535394,0.00040911776735256877,0.0007429225516042657,0.0006669754445728807,0.0005576776719902959,0.000470417937283537,0.0005872024459830428,0.0006807756680668647,67691415,67694718,ACD|PIP1|PTOP|TINT1|TPP1|-|16q22.1|protein-coding,0,0.0005349415037260614
11,0.0002528704741238099,0.0002712783631694944,0.00026669189676114787,0.0002441316513963378,0.000255871926978157,0.00028892916971773937,0.0003309372294221808,0.000289494036847675,0.00029442580512121835,0.0003258001942915751,0.0002826434399132371,0.0003564537275838265,0.00033436103994059264,0.00026715147987946795,0.00029805961287484206,0.00034832496295675135,0.0003065660300950393,0.00029578707204695146,0.0002779053335187383,0.0003167121197255852,0.00026726606379804925,89160217,89222254,ACSF3|-|-|16q24.3|protein-coding,0,0.0002938886490553532
