,WRN_1_SCR_1,WRN_2_SCR_1,WRN_3_SCR_1,StartPos,EndPos,Gene_ID,labels,mean_value
0,0.0014340958507737173,0.001337811289914975,0.0014228255832579478,100627108,100639991,ENSG00000000003,1,0.0013982442413155466
2,0.004730849329432788,0.004476297617154877,0.005854440631117905,2691187,2741309,ENSG00000002586,1,0.005020529192568524
4,0.0014639095533724878,0.0012429690946987736,0.0015618645867628202,11111301,11123086,ENSG00000004961,1,0.0014229144116113604
5,0.0026661143379937487,0.002466877346175983,0.0034230447013093687,119468422,119471396,ENSG00000005022,1,0.002852012128493033
7,0.001674540328670993,0.0015339360379517096,0.0018085118307224549,24149173,24216255,ENSG00000005889,1,0.0016723293991150526
8,0.0050102664137468365,0.004733949450859646,0.005236954124526116,120426148,120469365,ENSG00000005893,1,0.004993723329710866
24,0.0014905117542916221,0.001829222673778663,0.0015397054851743971,119538149,119565409,ENSG00000018610,1,0.001619813304414894
25,0.015015456151338473,0.015286084973075324,0.016901621635934897,136146702,136211359,ENSG00000022267,1,0.0157343875867829
35,0.001159728016268164,0.0011060136367155526,0.0015207306497343803,10015254,10144474,ENSG00000047644,1,0.0012621574342393657
45,0.002459411336292092,0.002313279300079099,0.003172827320975742,46599251,46759118,ENSG00000065923,1,0.002648505985782311
52,0.0012980171315564112,0.0012697260767445726,0.0018169601754585382,48922024,48958386,ENSG00000068308,1,0.0014615677945865075
53,0.0012251598599455065,0.0012518359265747954,0.0017914546647460226,49028726,49043410,ENSG00000068323,1,0.0014228168170887748
55,0.0031875935818864772,0.0030201839802830766,0.0034558580324934277,109624244,109733403,ENSG00000068366,1,0.00322121186488766
58,0.0017404680065523568,0.001748856166371637,0.0018470363808334655,48476021,48486364,ENSG00000068438,1,0.0017787868512524863
61,0.0012127827680301058,0.0014183203686110102,0.001625480668535762,154428633,154436516,ENSG00000071553,1,0.0014188612683922925
67,0.0028325700858722546,0.002867004454446811,0.0024967105140680404,53431258,53434370,ENSG00000072506,1,0.0027320950181290355
70,0.0016142908867232593,0.0015121579916756605,0.0020406199338945117,133300103,133415489,ENSG00000076716,1,0.0017223562707644772
74,0.00139452613511153,0.0012969500972630646,0.001529746061048925,119399336,119454478,ENSG00000077713,1,0.0014070740978078396
75,0.0021961222572518656,0.002073353262268514,0.002528897011387364,119474802,119591083,ENSG00000077721,1,0.002266124176969248
88,0.0011222007288253016,0.0010892340080869407,0.0018930172333542182,53532096,53686728,ENSG00000086758,1,0.0013681506567554869
90,0.0072034272061612505,0.007092655235901525,0.006954029919707679,70133447,70166324,ENSG00000089289,1,0.007083370787256818
91,0.0016811617135057493,0.0016124693636611473,0.0020255792533644006,66162671,66268867,ENSG00000089472,1,0.001773070110177099
94,0.0010252393360628432,0.0011963242457177787,0.001302030983523937,68829021,68842160,ENSG00000090776,1,0.0011745315217681863
100,0.01303084195032926,0.013054489694004004,0.02141468067664423,3308565,3346652,ENSG00000101825,1,0.01583333744032583
102,0.0032713474519634367,0.003201985115964901,0.00305976936273561,108084207,108091549,ENSG00000101843,1,0.003177700643554649
104,0.0010258889246195725,0.0009474971073675735,0.0012732506207149205,7147237,7804358,ENSG00000101846,1,0.0010822122175673556
107,0.01136642936694764,0.011054420643555034,0.011993335376281677,119236245,119244466,ENSG00000101856,1,0.011471395128928119
116,0.002252120737053237,0.002209804748770165,0.0022884421342559283,134887632,134915257,ENSG00000101928,1,0.0022501225400264435
121,0.002772556073649793,0.002815110093282368,0.0038264646224829622,38149336,38220924,ENSG00000101955,1,0.0031380435964717076
123,0.0016316585790009741,0.0015894152947765713,0.0018853364077732965,123859712,123913972,ENSG00000101966,1,0.0017021367605169473
124,0.0026679384466953885,0.0024605745598999464,0.003172991056693133,123960212,124422664,ENSG00000101972,1,0.002767168021096156
125,0.002550652447776073,0.0023582077529064687,0.002819775452782884,139726346,139945276,ENSG00000101974,1,0.002576211884488475
131,0.0019396195487782234,0.0016885987774193218,0.0021446570361502815,49171898,49175235,ENSG00000102007,1,0.0019242917874492758
134,0.01592453903695209,0.014934262191403924,0.017051096936401732,115561174,115650861,ENSG00000102024,1,0.01596996605491925
138,0.004337338381000935,0.004003494115055843,0.005681290977650277,129446501,129523500,ENSG00000102038,1,0.004674041157902352
155,0.01677538560265023,0.017975807024001617,0.018406352315890648,77910739,78129295,ENSG00000102144,1,0.017719181647514164
157,0.005612554656258587,0.005371540751815539,0.006012244427767583,77825747,77899271,ENSG00000102158,1,0.005665446611947236
