,WRN_1_L1_ASO_1,WRN_2_L1_ASO_1,WRN_3_L1_ASO_1,StartPos,EndPos,Gene_ID,labels,mean_value
0,0.00131829873243039,0.001338296402824544,0.0013949792094411493,100627108,100639991,ENSG00000000003,1,0.0013505247815653613
2,0.004426518852464458,0.004422529894336861,0.003978210769606893,2691187,2741309,ENSG00000002586,1,0.004275753172136071
5,0.004377923164492385,0.0036677724056958932,0.0030243153798496024,119468422,119471396,ENSG00000005022,1,0.0036900036500126265
7,0.0015452336966846657,0.0017068141345115766,0.001577645451397651,24149173,24216255,ENSG00000005889,1,0.001609897760864631
8,0.0031750280706072183,0.0033150487777758634,0.0029913914069704703,120426148,120469365,ENSG00000005893,1,0.003160489418451184
20,0.0018015405016756421,0.0024915419667203525,0.002252749458644301,154401236,154412112,ENSG00000013563,1,0.0021819439756800983
24,0.001643535664679182,0.0018952233198052627,0.0018243051523692882,119538149,119565409,ENSG00000018610,1,0.001787688045617911
25,0.011729937427583976,0.012002558471342158,0.01131255609295578,136146702,136211359,ENSG00000022267,1,0.011681683997293973
45,0.0027196129902172486,0.0026517159445444065,0.0023136958643691216,46599251,46759118,ENSG00000065923,1,0.0025616749330435924
52,0.0015466610510419514,0.0018958619341886594,0.0016086838420861908,48922024,48958386,ENSG00000068308,1,0.0016837356091056004
53,0.0016507031422004865,0.0012426130298025368,0.0012565654464763674,49028726,49043410,ENSG00000068323,1,0.0013832938728264635
55,0.004005206821638348,0.0044732978920702555,0.004130507073401606,109624244,109733403,ENSG00000068366,1,0.004203003929036737
58,0.0021202204481669197,0.0024629688620686568,0.0021554029812486074,48476021,48486364,ENSG00000068438,1,0.002246197430494728
61,0.0019650564583173252,0.0015806431289892256,0.0014740467249713407,154428633,154436516,ENSG00000071553,1,0.001673248770759297
67,0.0026703020557872085,0.0036548959558410704,0.0033082006276116517,53431258,53434370,ENSG00000072506,1,0.0032111328797466434
70,0.0015259365177487656,0.0015400812966551078,0.0012171497249827056,133300103,133415489,ENSG00000076716,1,0.0014277225131288597
74,0.0012242603027029294,0.001664707985590834,0.001338099291528737,119399336,119454478,ENSG00000077713,1,0.0014090225266075
75,0.002846074881387612,0.002777551680000301,0.002586452665981392,119474802,119591083,ENSG00000077721,1,0.0027366930757897687
88,0.0015404957781597027,0.0011582888617548918,0.0010478461193867107,53532096,53686728,ENSG00000086758,1,0.0012488769197671016
90,0.004801061661500193,0.006377497878975244,0.005800982429602125,70133447,70166324,ENSG00000089289,1,0.005659847323359187
100,0.006407807162635632,0.005051070665190547,0.004476456144677488,3308565,3346652,ENSG00000101825,1,0.005311777990834556
102,0.003312156932956977,0.0031024765676520246,0.003193328393521229,108084207,108091549,ENSG00000101843,1,0.0032026539647100768
107,0.0114482941244079,0.011551430470546697,0.011326089072208697,119236245,119244466,ENSG00000101856,1,0.011441937889054432
116,0.002336377196688962,0.0027088816959190878,0.0027949656045419416,134887632,134915257,ENSG00000101928,1,0.0026134081657166637
121,0.003188515756387096,0.0033934150678681333,0.003276649961417288,38149336,38220924,ENSG00000101955,1,0.003286193595224173
123,0.0017880457639701847,0.00184104647304507,0.0017896178400706262,123859712,123913972,ENSG00000101966,1,0.0018062366923619604
124,0.0037726721701882293,0.004379944660735989,0.003904833075934306,123960212,124422664,ENSG00000101972,1,0.004019149968952841
125,0.0037483932388907176,0.004057331760367382,0.003599392653718569,139726346,139945276,ENSG00000101974,1,0.003801705884325556
131,0.004857052130116068,0.005389054973120976,0.004829853117325996,49171898,49175235,ENSG00000102007,1,0.005025320073521014
134,0.01733420906756645,0.019774913665639972,0.017860021083426787,115561174,115650861,ENSG00000102024,1,0.018323047938877735
138,0.004036442566433737,0.005029761842089534,0.004384970839835479,129446501,129523500,ENSG00000102038,1,0.00448372508278625
155,0.01198870516737434,0.01442344418474248,0.013756298215782255,77910739,78129295,ENSG00000102144,1,0.013389482522633027
157,0.008724989048974756,0.009204372440851597,0.009070979281424954,77825747,77899271,ENSG00000102158,1,0.009000113590417101
158,0.006490667921235849,0.005760356706088211,0.005085807590672442,21940709,21994837,ENSG00000102172,1,0.005778944072665501
160,0.001328520372811749,0.0016546541693562885,0.0016952468991992767,154483717,154486615,ENSG00000102178,1,0.001559473813789105
162,0.0022226863962635725,0.0024428509195745184,0.001954478978937405,46837043,46882358,ENSG00000102218,1,0.002206672098258499
164,0.00132626243739972,0.0012358918802527893,0.0011212848125590692,47217860,47229997,ENSG00000102225,1,0.0012278130434038596
169,0.021580784442805076,0.01821936158248374,0.01726641212579205,47582408,47586789,ENSG00000102265,1,0.019022186050360292
176,0.008213510621183057,0.010464577209052065,0.00989494020688585,54807599,54816015,ENSG00000102316,1,0.009524342679040324
177,0.01106184155285246,0.01133102319415159,0.011118353974999225,48574449,48581162,ENSG00000102317,1,0.011170406240667757
187,0.001673750761367359,0.0015150097887084329,0.0014238842853874659,101622797,101627843,ENSG00000102401,1,0.0015375482784877525
191,0.004258370345661636,0.0050074669648170885,0.0054747549742793925,70281118,70290514,ENSG00000120509,1,0.004913530761586039
196,0.017375793154903587,0.021360537224806204,0.023800727943230376,23664262,23686397,ENSG00000123131,1,0.020845686107646724
200,0.020933878818888182,0.02556887472535842,0.024911333759224063,103675496,103688158,ENSG00000123562,1,0.023804695767823555
