,HGPS_917_SCR_1,HGPS_478_SCR_1,HGPS_297_SCR_1,StartPos,EndPos,Gene_ID,labels,mean_value
0,0.0022254180662952118,0.0017105375152163004,0.0019820177095990553,9475009,9538114,ENSG00000017797,1,0.001972657763703523
1,0.00042177690533813184,0.0011171394948739917,0.0002481417298028092,54717860,54895516,ENSG00000041353,1,0.0005956860433383109
2,0.0002611141061228435,0.0005600237484232871,0.00013028078181064338,31498177,31549008,ENSG00000046604,1,0.000317139545452258
3,0.00019433282218456484,0.0003897332360631629,0.00013789717343595115,58044226,58401540,ENSG00000049759,1,0.0002406544105612263
4,5.716452297953043e-05,5.027702046029529e-05,6.181547055551966e-05,23689453,23956222,ENSG00000053747,1,5.6419004665115126e-05
5,0.0,0.0,0.0,63655197,63661893,ENSG00000057149,1,0.0
6,0.0004779846040481024,0.0004206791948857075,0.00036843896803232884,79679803,79754503,ENSG00000060069,1,0.00042236758898871293
9,4.701569100290798e-06,4.5750019475725915e-06,0.0,66501083,66604138,ENSG00000071991,1,3.0921903492877962e-06
12,0.0012233018438091727,0.0010634779901852111,0.0011765630604403529,74148523,74160531,ENSG00000075336,1,0.0011544476314782456
13,0.0005862438509511215,0.0006999992460733635,0.0005038309020282694,36187497,36272157,ENSG00000075643,1,0.0005966913330175849
14,0.000588010678862671,0.0005112918823442272,0.0005894293382555394,46803218,46920160,ENSG00000078043,1,0.0005629106331541458
15,0.0020401079458395107,0.0019624170642912444,0.001881434841845728,41955234,42087830,ENSG00000078142,1,0.0019613199506588277
16,0.0,8.165058194893756e-06,0.0,596988,650334,ENSG00000079101,1,2.7216860649645854e-06
17,0.0010874030059978164,0.0010116186414340712,0.0011758749101966988,214520,268050,ENSG00000079134,1,0.0010916321858761954
18,0.0004585577900498242,0.0008084854819737976,0.0008213921043968514,2571557,2616635,ENSG00000080986,1,0.0006961451254734911
19,0.0,0.0,0.0,65750252,65890337,ENSG00000081138,1,0.0
20,0.00035120426924963147,0.0005100224871906546,0.00037919178086410777,62715541,62980433,ENSG00000081913,1,0.0004134728457681313
22,0.0012890764431463043,0.0015447568651037065,0.001042246256568661,50879080,50954257,ENSG00000082212,1,0.0012920265216062239
23,2.115648403819571e-05,5.5327417868589375e-05,0.0001745674936386841,5392381,5630700,ENSG00000082397,1,8.368379851515639e-05
25,5.5537880027962544e-05,3.8225385555950184e-05,8.776016205243366e-05,6729716,6915716,ENSG00000088756,1,6.050780921211546e-05
26,0.0009181379442916997,0.0010805096914552421,0.000963979831599926,56651343,57029811,ENSG00000091157,1,0.0009875424891156225
27,0.001278350754062746,0.0015121829114541738,0.0015993318161228209,56597209,56651600,ENSG00000091164,1,0.0014632884938799136
28,0.0,0.0,0.0,37243040,37565827,ENSG00000101489,1,0.0
29,0.001321821821929814,0.0012522484450169606,0.0015146769981052867,76357682,76495242,ENSG00000101493,1,0.0013629157550173541
30,0.0,0.0,2.305881491331873e-05,61333430,61555779,ENSG00000101542,1,7.686271637772909e-06
31,0.0015802060177255294,0.0019734311604206007,0.0019804705510801067,80109262,80147523,ENSG00000101544,1,0.0018447025764087455
32,0.0004325893538566904,0.0003715373740399828,0.00031777688251260203,80034389,80050651,ENSG00000101546,1,0.0003739678701364251
35,0.0010176482781684558,0.00061719365450838,0.0008201316342571329,2537525,2571509,ENSG00000101574,1,0.0008183245223113228
38,0.00013542624251647485,0.00010981711149399314,0.00011036406203286298,3066807,3219968,ENSG00000101605,1,0.00011853580534777698
40,0.0005260815873523492,0.0005908720721400892,0.0006782800010347042,12661833,12702777,ENSG00000101624,1,0.0005984112201757142
41,1.3383858903843973e-05,0.0,0.0,46667821,46759257,ENSG00000101638,1,4.461286301281324e-06
44,0.0018113886523855064,0.001116849503914076,0.0017282950697254573,48919853,48950965,ENSG00000101665,1,0.0015521777420083465
45,4.6845432405033955e-05,8.157198023415995e-05,2.8632110782776144e-05,49560699,49599185,ENSG00000101670,1,5.2349841140656675e-05
46,4.3755993974545626e-05,0.00014951834468728505,0.00021146287240211332,6941742,7117797,ENSG00000101680,1,0.00013491240368798134
47,2.662231807173956e-06,0.0,9.762997911406856e-06,32018825,32073219,ENSG00000101695,1,4.141743239526938e-06
49,0.0,5.521859267850424e-06,6.936701489604483e-06,33851100,34224952,ENSG00000101746,1,4.152853585818303e-06
50,0.002044445485617727,0.0015898689583248675,0.0020180604561604214,54269517,54321266,ENSG00000101751,1,0.001884124966701005
54,7.4153429731867e-06,0.0,0.0,31557009,31598833,ENSG00000118271,1,2.4717809910622336e-06
55,6.38619500893097e-05,0.0001686732329200484,7.434794746628892e-05,31622246,31685836,ENSG00000118276,1,0.00010229437682521568
59,9.752076512770192e-06,0.0,2.3842029122110725e-06,57435374,57491298,ENSG00000119547,1,4.045426474993755e-06
63,0.0008387860969966818,0.0010818244503128123,0.001354596110050461,76822557,76972901,ENSG00000130856,1,0.0010917355524533185
64,0.00012455944178193932,8.830742576998648e-05,0.0001261603003490285,79395856,79529325,ENSG00000131196,1,0.00011300905596698476
65,0.000495831878689224,0.00044112819194852256,0.00031171307018837814,670318,712662,ENSG00000132199,1,0.0004162243802753749
66,0.0,0.0,0.0,1254383,1408344,ENSG00000132204,1,0.0
67,0.0011473893274322273,0.0006965997351208008,0.0005884727944468133,2847006,2916003,ENSG00000132205,1,0.0008108206189999471
68,0.0,0.0,0.0,43267892,43277535,ENSG00000132872,1,0.0
69,8.517623503215627e-05,4.3099300293651296e-05,0.00016242734498853902,45212995,45683688,ENSG00000132874,1,9.69009601047822e-05
70,0.0005746206992348077,0.0004276647705832876,0.0003220123926898564,74495816,74523454,ENSG00000133313,1,0.00044143262083598387
71,0.0006561687466279788,0.0006075467237409955,0.0006902970983991657,48539031,48863217,ENSG00000134030,1,0.0006513375229227134
72,2.9205042695494097e-06,0.0,0.0,50795120,50825402,ENSG00000134042,1,9.735014231831366e-07
77,0.0,0.0,0.0,59267035,59274086,ENSG00000134438,1,0.0
79,0.0004497780068566429,5.4708733632901524e-05,0.00020617955113409145,59220158,59230774,ENSG00000134443,1,0.00023688876387454528
80,0.0017743043917553432,0.0015420239809891634,0.0015967986409292322,62187255,62310249,ENSG00000134444,1,0.001637709004557913
81,0.0,0.0,0.0,24460637,24479961,ENSG00000134489,1,0.0
82,0.001292602921910992,0.0012850178692342994,0.0012724265328653362,23197144,23437961,ENSG00000134490,1,0.0012833491080035426
83,0.00027181821528525165,0.0003745615362659445,0.0003300426837154611,26454910,26657401,ENSG00000134504,1,0.00032547414508888575
84,0.0008632912253601936,0.0013237885617400904,0.0006551122329321059,23134564,23260470,ENSG00000134508,1,0.0009473973400107967
85,0.0,1.2560121784868475e-06,0.0,31058840,31102522,ENSG00000134755,1,4.186707261622825e-07
86,5.78447260975704e-06,8.443129332306805e-06,0.0,31447741,31478702,ENSG00000134757,1,4.742533980687948e-06
87,0.001123864331665183,0.0010894514097900935,0.0016454504173877866,32091874,32131561,ENSG00000134758,1,0.001286255386281021
89,0.0,0.0,0.0,31318160,31359246,ENSG00000134760,1,0.0
90,2.095828625130344e-06,0.0,0.0,30989365,31042815,ENSG00000134762,1,6.986095417101146e-07
91,1.915757422316178e-05,4.846880282487742e-05,2.6540816580366988e-05,34493291,34891844,ENSG00000134769,1,3.1389064542802066e-05
92,0.0011567525178352916,0.0002562690339361633,0.0006290051023621039,36297713,36780220,ENSG00000134775,1,0.0006806755513778529
95,0.00027410361003995837,0.0002120943174131262,0.0003148816639738229,26226445,26391685,ENSG00000141384,1,0.0002670265304756358
97,0.00040904186962757564,0.0004693193791070501,0.0006418115379034141,12407896,12432238,ENSG00000141391,1,0.00050672426221268
98,0.00018168075358038465,0.00014801011698698766,0.00011879123848474024,11981025,12030877,ENSG00000141401,1,0.00014949403635070417
99,3.5694254213873524e-05,3.473335593635667e-05,3.636077880193957e-05,11689264,11885685,ENSG00000141404,1,3.559612965072325e-05
104,0.0,1.1514670773330532e-06,1.4465029235401075e-06,33578219,33751195,ENSG00000141431,1,8.659900002910535e-07
105,0.0,0.0,0.0,904871,912172,ENSG00000141433,1,0.0
106,0.0,0.0,0.0,32185069,32220404,ENSG00000141434,1,0.0
107,0.0,0.0,0.0,31759584,31760880,ENSG00000141437,1,0.0
108,0.00017014888585359687,9.263948143279321e-05,0.00011885218438985581,32124877,32470882,ENSG00000141441,1,0.0001272135172254153
110,0.0023312382308645465,0.00044782938160831446,0.0016041979439551633,24162045,24397880,ENSG00000141447,1,0.0014610885188093413
111,0.0014993241527763912,0.0015374896669988762,0.0011422459300463098,22169589,22202528,ENSG00000141448,1,0.0013930199166071924
112,0.00031593905637241466,9.653721422115653e-05,6.530059228454457e-05,21242232,21526112,ENSG00000141449,1,0.00015925895429270525
114,0.0014198826627772425,0.0012894406017564886,0.0014206525266708457,23506184,23586506,ENSG00000141458,1,0.0013766585970681922
115,0.000476300004275571,0.0014035509636620743,0.0017851478363733262,45687025,45752520,ENSG00000141469,1,0.0012216662681036573
116,0.0,0.0,0.0,46326809,46463140,ENSG00000141622,1,0.0
118,0.0,0.0,0.0,50560087,50731826,ENSG00000141639,1,0.0
119,0.0006868886231430357,0.0004310965531490543,0.0006657643307883321,50967991,50988121,ENSG00000141642,1,0.0005945831690268074
120,0.0015503198011422449,0.0017324242775104107,0.0019478466611318143,50266882,50281774,ENSG00000141644,1,0.0017435302465948234
122,1.7938616710889063e-06,5.236711324602867e-06,4.385661206587429e-06,62325287,62391288,ENSG00000141655,1,3.8054114007597346e-06
123,0.0003823421337053891,0.0004104842413293598,0.00041909514887383055,62523025,62587709,ENSG00000141664,1,0.0004039738413028598
124,1.5557563279896542e-05,3.027749936753359e-05,1.901768615984639e-05,74073353,74147843,ENSG00000141665,1,2.1617582935758837e-05
125,5.885751067979307e-06,0.0,0.0,72536680,72638521,ENSG00000141668,1,1.961917022659769e-06
126,0.001033398920395391,0.0010271276944035519,0.0009293799501469337,59899996,59904305,ENSG00000141682,1,0.0009966355216486254
128,0.0003288877993686317,0.000298886432243521,0.0003648423402886909,36829106,37232172,ENSG00000150477,1,0.0003308721906336145
129,0.00016677814977500262,0.00020015574275357865,0.00018688166621975077,68715209,69055189,ENSG00000150636,1,0.00018460518624944402
130,2.244526955793103e-05,8.046697698245891e-06,3.8989807612411905e-05,69831158,69961803,ENSG00000150637,1,2.3160591622862942e-05
131,0.0,0.0,0.0,74534500,74587212,ENSG00000150656,1,0.0
132,0.0005718401055998136,0.000255271014066899,0.000759500542874107,44680173,45068510,ENSG00000152217,1,0.0005288705541802733
134,0.0014060065950884,0.0018750223383055304,0.00158466333540701,45983536,46072272,ENSG00000152229,1,0.0016218974229336468
137,0.0015534295380985558,0.0014509496523475477,0.0013943294914582072,46173553,46266992,ENSG00000152242,1,0.0014662362273014367
139,0.0002735418086799046,0.0005045001523063083,0.00015941354742653557,35452230,35497979,ENSG00000153391,1,0.00031248516947091613
140,0.0001697055375903142,8.03369296464615e-05,0.0001569887128691572,24138987,24161600,ENSG00000154040,1,0.00013567706003531096
142,0.00042747134475784897,3.425583467668775e-05,0.0002028701399404422,23598926,23662911,ENSG00000154065,1,0.00022153243979165964
143,0.0,0.0,0.0,5954706,6415237,ENSG00000154655,1,0.0
144,0.0004707360581941125,0.00034536550701351514,0.0004292901081670207,50282343,50287839,ENSG00000154832,1,0.00041513055779154943
145,7.233283403677049e-05,0.00013535695312717638,0.00013603110603798083,50375040,50394168,ENSG00000154839,1,0.00011457363106730924
147,0.0002853726677855053,0.00015074619761201038,0.000401998611967365,10454635,10489949,ENSG00000154856,1,0.00027937249245496023
148,0.00024663027900858437,0.00011899550257119161,0.00025751653522856595,10666483,11149569,ENSG00000154864,1,0.00020771410560278065
149,0.0013603327630187447,0.0012634381488663704,0.0012551696414413805,11882622,11908366,ENSG00000154889,1,0.0012929801844421653
150,0.00020462721465494693,0.000195498260174472,0.00020465828183725092,21650901,21704780,ENSG00000158201,1,0.00020159458555555663
151,0.0025006842524530294,0.000566644796933266,0.0019259803839103114,316737,500722,ENSG00000158270,1,0.0016644364777655355
152,0.0,0.0,0.0,72742314,72868146,ENSG00000166342,1,0.0
153,0.002149465614047942,0.0018358671909702539,0.0015892793946993894,74250846,74291973,ENSG00000166347,1,0.0018582040665725283
