,129_94YR_M,130_89YR_M,131_87YR_M,132_90YR_M,133_89YR_M,134_86YR_M,135_92YR_M,136_87YR_M,166_82YR_F,56_83YR_M,57_83YR_M,58_83YR_M,59_84YR_F,60_84YR_M,61_84YR_F,62_84YR_M,63_84YR_M,64_84YR_M,65_84YR_M,66_86YR_M,67_86YR_M,68_86YR_M,69_87YR_F,70_87YR_M,71_87YR_M,72_87YR_M,73_88YR_M,74_89YR_M,75_90YR_M,76_91YR_M,77_92YR_F,78_96YR_M,StartPos,EndPos,Gene_ID,labels,mean_value
3,0.002274554794003583,0.002687860117767384,0.002646776069584058,0.002725015106285529,0.00278453358376464,0.0025686776920313533,0.002722644499643615,0.002837597119212155,0.002669038864791132,0.002989699465082984,0.0031766471697403246,0.0028950696922285723,0.0034318049240074137,0.0028477792133015365,0.0034337311113214917,0.0029510204234129162,0.0035579554215727518,0.0024432831689637983,0.0031809488034340227,0.002900419297787913,0.0033486716545482217,0.0032183630687559386,0.0025139499219184493,0.002463266614728852,0.0030238039320837147,0.0037708583031842735,0.00290181985410786,0.0030765917215032712,0.0034211627133802613,0.003026939970351266,0.002705098984386557,0.0025552552097798417,23721777,23761407,ACOT9|ACATE2|CGI-16|MT-ACT48|MTACT48|-|Xp22.11|protein-coding,1,0.0029297137027083026
4,0.0023914874806548496,0.002122307424193447,0.0019721626103169003,0.00204456105744113,0.0025027764112500028,0.0016253467969165913,0.0023496547416125306,0.0022520535967664,0.0015301604762118922,0.002068386182219108,0.0020391290350902868,0.001859329686686157,0.0018090173970076485,0.0020043515598894583,0.002567139622670486,0.0018990703763702111,0.0020009986257186405,0.0011013096825389145,0.0016734137182746955,0.0029985533337465297,0.0036589506714906268,0.002779031335593991,0.0021086091528502372,0.0013061830581182715,0.0017554503731176609,0.003490371362558232,0.0013527953296203082,0.002842833478247926,0.004214735912569645,0.0027701479697119576,0.0029561992558386706,0.00215163789948151,108884564,108976621,ACSL4|ACS4|FACL4|LACS4|MRX63|MRX68|-|Xq23|protein-coding,1,0.0022561923629617164
19,0.0035066287765709247,0.0015909606597718806,0.0023656310785833885,0.0011369843341335563,0.001437543314540009,0.0008218167181000938,0.0011925054135475935,0.0014289850515029029,0.0004197198167472736,0.0011064846319896126,0.0013770836556109757,0.0008970301645076793,0.0011127947867046542,0.0006805978986689538,0.002125912500023996,0.0010595322629881711,0.0010695100332531748,0.0004227571610605965,0.0011769967678553416,0.0024622394162982742,0.0016053719250178557,0.006609929802051297,0.0028500558177882948,0.003447412605818237,0.0030513305950976765,0.0018459315231827175,0.00029319929540609353,0.0018415199970498437,0.006048250204354825,0.0013621684566891702,0.00935042291315888,0.0010753591325518075,15843929,15873137,AP1S2|DC22|MRX59|MRXS21|MRXS5|MRXSF|PGS|SIGMA1B|-|Xp22.2|protein-coding,1,0.0020866458347070546
31,0.0019543980546366285,0.0024350002106249334,0.0023189977786406937,0.001552500011710299,0.0022210192387353655,0.0021495998580350843,0.0016428719081780997,0.001649133117555472,0.0012493642324356736,0.0013375954379595207,0.001441051412516776,0.00134434947226984,0.0013996784376577173,0.0020046780901462964,0.0017132787539996628,0.0016199569198269677,0.001335039969489559,0.0012927701937570078,0.0012144794473529354,0.0030665384798329158,0.002936059105225567,0.002317541598462165,0.003152449308081158,0.0025869209917277454,0.0026500669210714227,0.002749417365165195,0.0012534321901196625,0.002579426652776755,0.0025446301776948822,0.0027447984273735043,0.0022013673422661586,0.0019679153870976115,100805514,100809675,ARMCX1|ALEX1|GASP7|-|Xq22.1|protein-coding,1,0.0020195727028882275
32,0.0029609429055316816,0.0035944822206709177,0.0031561551920350327,0.0035470209628059206,0.0034073190130003437,0.003874819838731318,0.002562581965685394,0.003115388745292642,0.002954890704854394,0.002276274845168886,0.002762320064553083,0.0023744095489767808,0.0023078037446874057,0.0029613028992621503,0.0026091708759383905,0.002375431334683188,0.0022532052252877345,0.0026105537768828313,0.0022340286455029366,0.0045599295068506455,0.00477419883616097,0.004152363539758536,0.003818212753787668,0.0042278190385599875,0.003711344901455172,0.004089707539481793,0.0031877359874563143,0.004625178825668665,0.004086845498213487,0.003965214062107288,0.0036005564721212748,0.0034479136459231894,100910268,100914876,ARMCX2|ALEX2|GASP9|-|Xq22.1|protein-coding,1,0.00331828509740925
33,0.003476325411725847,0.003933021931059984,0.005057471058208224,0.004064330555345786,0.004151280881058081,0.004795752305847828,0.004080408549169245,0.004547249982742884,0.002475872956657004,0.002293640969514374,0.002118357073872307,0.002068191631232713,0.0024849666243065022,0.0029420376141087194,0.002601593125950186,0.0024148808350371344,0.0020165078223079082,0.002184296800025775,0.0019302056255102442,0.005457789872567491,0.005791796925310571,0.00542697081524053,0.004602535263402491,0.004102379038788548,0.005486814665855714,0.006607995060944063,0.002239468287551724,0.0058299893938935435,0.006002064068453877,0.004740932792679507,0.005344007371889396,0.005208502571604266,100878351,100882831,ARMCX3|ALEX3|GASP6|dJ545K15.2|-|Xq22.1|protein-coding,1,0.0039524261838082015
52,0.004902385990067254,0.006744837296913294,0.006391564574116906,0.005329728313069186,0.004840252354324297,0.006800032894309717,0.005843920391198706,0.0057545290341384095,0.005424022866462006,0.004151614342803256,0.004716054234623698,0.004591973343795032,0.0056123651743623,0.006027748541226077,0.004979996255581139,0.004806026037549331,0.004039156870110895,0.006740542288222801,0.005129641820999991,0.004228531948454288,0.0030485791562752463,0.0036973703901780875,0.005142273139267532,0.004141573458645958,0.004653132140119223,0.004254629558256373,0.006462453738915288,0.004204217964124971,0.0059098173024560606,0.004340682843918548,0.0034085801857859344,0.004774843871628033,153656978,153664863,ATP6AP1|16A|ATP6IP1|ATP6S1|Ac45|CF2|VATPS1|XAP-3|XAP3|-|Xq28|protein-coding,1,0.005034158697559371
53,0.01361296993027522,0.010796975051999062,0.01541443551735611,0.014694425749222067,0.01664090569729028,0.015972243262076753,0.01613638186379661,0.014790546552028288,0.007860398977126482,0.0067522924293794435,0.0074645773320010204,0.007202847298501286,0.007955010612453805,0.010195254209247119,0.008302688070408815,0.009089428610799581,0.007167642861298965,0.0066881479870346235,0.006644795336951513,0.017741961056763036,0.019167866802486912,0.017764570627767574,0.014009993352547143,0.013093257541979543,0.014257184865690529,0.017779549693573694,0.006231265366171378,0.01739416160609065,0.019642411373135153,0.012925765740900621,0.019208464104909978,0.016893990066722542,40440216,40465888,ATP6AP2|APT6M8-9|ATP6IP2|ATP6M8-9|ELDF10|HT028|M8-9|MRXE|MRXSH|MSTP009|PRR|RENR|XMRE|XPDS|-|Xp11.4|protein-coding,1,0.012796637798374557
59,0.009241174454781632,0.010162130604836719,0.00977259091924099,0.009271814773004712,0.009508179519381755,0.011529888375756891,0.011620517373618936,0.011174821292979805,0.00900191048877189,0.010003796315554595,0.009884586279125189,0.009354344552654286,0.010420620740424697,0.013821808085106847,0.010028091224389604,0.010043139512114075,0.00914376431933415,0.011137649093439625,0.01034491480410424,0.007058563798173964,0.00642207313217886,0.005870826957590045,0.0074929780905565,0.006967857183033654,0.008262503267227219,0.006589471211009237,0.01174992534758891,0.0071532717761791775,0.009445943332372376,0.007004885641166656,0.005528092608418313,0.0072992402389496225,152965947,152989582,BCAP31|6C6-AG|BAP31|CDM|DDCH|DXS1357E|-|Xq28|protein-coding,1,0.009134730478533285
66,0.01249140747526558,0.01294105988446315,0.010829687117461214,0.008158936517498787,0.009755471654043023,0.009858987288080573,0.010179841609255386,0.009513584226229282,0.008325513835534502,0.006665663739330435,0.007374478955444158,0.007217495536024352,0.0068943764895588,0.008513623386532368,0.007520967381625694,0.006092035794212946,0.005746729823446013,0.008262756288165363,0.008211246286903805,0.009584464216991292,0.009478965424379733,0.008563778508128275,0.009489702783287155,0.0136090346798298,0.0094184979926181,0.010035863368560915,0.006883836686535827,0.009009616064336935,0.012622495233603323,0.009481183534892508,0.0090649317977743,0.00672896474305722,102631251,102633092,BEX3|Bex|DXS6984E|HGR74|NADE|NGFRAP1|-|Xq22.2|protein-coding,1,0.009016412447595963
69,0.020021174053740817,0.013279489607941758,0.0248707943713607,0.026443454279965715,0.018136512722099176,0.023142337140705408,0.022650147580593236,0.021420275001725712,0.03757298095546346,0.023029500198902705,0.024494947383384272,0.03502592887513394,0.032793062957717466,0.02722228329547396,0.012249281300931952,0.028340235347587468,0.023899151501222574,0.04007700829981316,0.03713121589038074,0.030972759336907,0.01903989134380086,0.016961081960252485,0.033493614327365105,0.024443122289982636,0.02700640908299802,0.016370542011434352,0.04049053136909921,0.02095064380916163,0.010925029233439415,0.02458246291379007,0.017030416581474736,0.018921783869980866,152760347,152775012,BGN|DSPG1|MRLS|PG-S1|PGI|SEMDX|SLRR1A|-|Xq28|protein-coding,1,0.02478087715293221
74,0.0030712291292615368,0.0024528180901190948,0.0024210081222653386,0.002257517126454891,0.0029443459885879013,0.003995251966084235,0.0036082410178034266,0.003039049976607021,0.001500248198180217,0.0011995751357485708,0.0014637327903738978,0.0012447015979632772,0.0009794387145819414,0.001359018928958989,0.0018215900604977246,0.001891707934799976,0.0013195307729002917,0.0009806689733197719,0.0010954287688402524,0.002205553449537485,0.003695247462151814,0.0037387861358181237,0.002286560877590482,0.0020481986012502573,0.00240895837730822,0.002706155212414182,0.0011777913498924695,0.002439514748270673,0.00408471189954415,0.0021513008464359965,0.0030006011331076415,0.0021934301728769577,119759529,119764005,C1GALT1C1|C1GALT2|C38H2-L1|COSMC|HSPC067|MST143|TNPS|-|Xq24|protein-coding,1,0.0022744347987358375
84,0.002964773070605037,0.0035713849694747825,0.0031066073108459197,0.0026175088504153845,0.0027493002170419292,0.002854230597767515,0.0030921325367483017,0.003196041792899272,0.002601630914297216,0.002228215105701137,0.002524740470685626,0.002056134238441619,0.0022653213290455636,0.0025926502392922563,0.002886617562173165,0.002935306555583907,0.002389353071856606,0.0030606918497627896,0.0025613164323355863,0.0030296631444115016,0.002074771388762045,0.002781467555925758,0.00343730782231888,0.002610491212325368,0.003461602995201227,0.002863787199924088,0.002665845403440358,0.0029641231327672086,0.003374725565871156,0.0030134126360989075,0.002333630759170813,0.0023427174868885683,149934809,150067289,CD99L2|CD99B|MIC2L1|-|Xq28|protein-coding,1,0.002787734481814984
86,0.0034138035994990133,0.0034607381375542498,0.002362492298779553,0.002608711845418571,0.0025237408132563507,0.002748514345814415,0.00280499142078373,0.0029984238501008583,0.004051639124374937,0.003690806252612491,0.004530526835101157,0.0037896086598785874,0.0037348869061044885,0.003088540856009953,0.004971812285593878,0.004682512838669566,0.0038470093741123203,0.0038751195727507225,0.004069968887344435,0.0030652172137428974,0.0020984228459025606,0.002132388853247888,0.003539915714460903,0.002548619383256608,0.0035150297456874166,0.0025599960609929426,0.0036204598588523195,0.0025969462695406517,0.0021677362480466587,0.0032480379965767886,0.0022277493595294203,0.002040668684548855,47082417,47089394,CDK16|PCTAIRE|PCTAIRE1|PCTGAIRE|PCTK1|-|Xp11.3|protein-coding,1,0.0032067198793170374
