,WRN_1_SCR_1,WRN_2_SCR_1,WRN_3_SCR_1,StartPos,EndPos,Gene_ID,labels,mean_value
0,0.0017762238258850682,0.001828463458466597,0.0019660516462573926,143494812,143511720,ENSG00000001036,1,0.0018569129768696857
5,0.0011008912020786395,0.001007485912863507,0.0010544691828063661,82169986,82247754,ENSG00000005700,1,0.0010542820992495044
8,0.00473738144516561,0.005550435871048349,0.004269167306998508,170535120,170553307,ENSG00000008018,1,0.004852328207737489
11,0.0013852578681343053,0.0013210842133663991,0.0016094147752979536,111299028,111483715,ENSG00000009413,1,0.0014385856189328859
14,0.002095828079129919,0.001855881003370692,0.0022400197817235025,13621498,13711835,ENSG00000010017,1,0.0020639096214080375
19,0.0013872600608283053,0.0013582479376530725,0.0014521434904363542,53267398,53349179,ENSG00000012660,1,0.0013992171629725774
20,0.0015462510453351692,0.0015505118069427384,0.001653478819753814,83147324,83193936,ENSG00000013375,1,0.0015834138906772406
24,0.0009604523058645976,0.00098705978315788,0.0010452136785318753,2832332,2841959,ENSG00000021355,1,0.000997575255851451
34,0.0016471937824652616,0.0015964186188622876,0.0016441287503895956,137197483,137219449,ENSG00000027697,1,0.0016292470505723817
36,0.0011174165050055812,0.0010588608997312422,0.001180995222208731,136256627,136289851,ENSG00000029363,1,0.001119090875648518
43,0.0014120862924149897,0.0014920770337795834,0.001560414166880725,117560269,117602542,ENSG00000047932,1,0.0014881924976917662
45,0.003354140170791414,0.0033790893118449423,0.003073019899790093,42206807,42217861,ENSG00000048544,1,0.0032687497941421497
51,0.0014197859483386093,0.0013093874450402128,0.0017879011110085211,149218641,149411613,ENSG00000055208,1,0.001505691501462448
52,0.0048236973041981095,0.004393017962740822,0.005213580023438773,149566294,149591748,ENSG00000055211,1,0.0048100984301259015
61,0.002702147346560769,0.0025097448028951626,0.0035758142717840467,52497408,52577060,ENSG00000065308,1,0.002929235473746659
79,0.0012192484250677887,0.0011754376990667573,0.001243032048965156,71886550,72403150,ENSG00000079841,1,0.0012125727243665672
80,0.00437869586515184,0.004578047959107735,0.004596184706980915,132296055,132401475,ENSG00000079931,1,0.004517642843746831
84,0.0017814076327172532,0.0016824654387321365,0.001632648387201888,108029245,108165854,ENSG00000081087,1,0.0016988404862170927
104,0.0010814954303637637,0.001153840205697592,0.001135738025737674,43671202,43687791,ENSG00000096080,1,0.0011236912205996766
106,0.0017538005089474367,0.0019178475863901522,0.0014448961801647381,52671113,52686588,ENSG00000096092,1,0.0017055147585007758
108,0.006322498308902523,0.005873078887440224,0.007155692767687062,44246166,44253888,ENSG00000096384,1,0.006450423321343269
113,0.0014159505209984042,0.0012627776204316545,0.0020118315715545797,7541617,7586714,ENSG00000096696,1,0.001563519904328213
114,0.06944239903749506,0.06746516167813384,0.08976016457037352,75084326,75206267,ENSG00000111799,1,0.07555590842866748
118,0.001364767958552808,0.0013408374691929149,0.0014601407458808928,116254173,116444861,ENSG00000111817,1,0.0013885820578755385
122,0.0027985994153992577,0.0035210020959956048,0.003013593941432218,10722915,10731129,ENSG00000111843,1,0.0031110651509423603
133,0.0017981497810817702,0.001813908876715854,0.002024814916433101,119177205,119349761,ENSG00000111885,1,0.0018789578580769085
135,0.006122684881263714,0.006003442675402464,0.006377577879859729,122443351,122471807,ENSG00000111897,1,0.006167901812175303
