,WRN_1_NT_1,WRN_2_NT_1,WRN_3_NT_1,StartPos,EndPos,Gene_ID,labels,mean_value
0,0.0012554972632196474,0.0013263124395135664,0.0013220829980978698,100627108,100639991,ENSG00000000003,1,0.0013012975669436943
2,0.0043796133015456306,0.004774233353862939,0.004990195524065924,2691187,2741309,ENSG00000002586,1,0.004714680726491498
4,0.0012436202498060515,0.0011794161194237406,0.0013090065633274306,11111301,11123086,ENSG00000004961,1,0.0012440143108524077
5,0.002145580241693542,0.0024027152041190716,0.00284521804952065,119468422,119471396,ENSG00000005022,1,0.002464504498444421
7,0.0014702384802500919,0.001460895653743585,0.0016709187295159632,24149173,24216255,ENSG00000005889,1,0.0015340176211698798
8,0.004366597502273607,0.0043696804712128065,0.005049588744730191,120426148,120469365,ENSG00000005893,1,0.004595288906072202
24,0.0017000779500582434,0.0016418319429328462,0.0016863747237044822,119538149,119565409,ENSG00000018610,1,0.0016760948722318574
25,0.014639564454431873,0.01497599514296359,0.015310855602912501,136146702,136211359,ENSG00000022267,1,0.014975471733435988
35,0.000979023204303627,0.0010507870324870737,0.001160310497253295,10015254,10144474,ENSG00000047644,1,0.0010633735780146653
45,0.0021235099344702963,0.002245627699416338,0.0026429078609788562,46599251,46759118,ENSG00000065923,1,0.0023373484982884968
52,0.0014103526456574831,0.0014854551626525812,0.0014533489919110636,48922024,48958386,ENSG00000068308,1,0.0014497189334070426
53,0.0010488399107905322,0.0011108300168792091,0.0013432648014775133,49028726,49043410,ENSG00000068323,1,0.0011676449097157515
55,0.0027893633131066435,0.0025985268918685815,0.0031491248556856687,109624244,109733403,ENSG00000068366,1,0.002845671686886965
58,0.0019093482147325952,0.0017913530478539347,0.0019108553602281712,48476021,48486364,ENSG00000068438,1,0.001870518874271567
59,0.0011218944493212961,0.001054086020082205,0.0010694197428267411,44523639,44542859,ENSG00000069509,1,0.0010818000707434143
61,0.0012498519066748803,0.0014446213607125385,0.0014722983235920188,154428633,154436516,ENSG00000071553,1,0.0013889238636598125
67,0.003115227084767955,0.0033491774557170813,0.003157139290640204,53431258,53434370,ENSG00000072506,1,0.003207181277041747
70,0.0013445938471686055,0.0013961183575414648,0.0017567235047867555,133300103,133415489,ENSG00000076716,1,0.001499145236498942
74,0.0014001949575776316,0.0014379674846224596,0.001441180585590432,119399336,119454478,ENSG00000077713,1,0.0014264476759301744
75,0.002083612103655805,0.0019027374543135612,0.002181862851968288,119474802,119591083,ENSG00000077721,1,0.0020560708033125516
88,0.0009740243706115064,0.0010883180013261883,0.0013070599118019807,53532096,53686728,ENSG00000086758,1,0.001123134094579892
90,0.0077000053903000945,0.00739006491357933,0.007155685393873268,70133447,70166324,ENSG00000089289,1,0.007415251899250898
91,0.001437555603158654,0.0015372022708540463,0.0016926213577255582,66162671,66268867,ENSG00000089472,1,0.0015557930772460862
94,0.0010859745976258297,0.001234157215614025,0.0010866016759250303,68829021,68842160,ENSG00000090776,1,0.0011355778297216282
100,0.0109379625132373,0.012584545938246568,0.014962009958901066,3308565,3346652,ENSG00000101825,1,0.012828172803461645
102,0.003293593455855024,0.0031590098586311214,0.0035057696550507152,108084207,108091549,ENSG00000101843,1,0.003319457656512287
107,0.011048700611524298,0.010758059551299798,0.011690878644102256,119236245,119244466,ENSG00000101856,1,0.011165879602308785
116,0.002284049509948675,0.002343368124614837,0.0023927786954212726,134887632,134915257,ENSG00000101928,1,0.0023400654433282614
121,0.0025644029594009163,0.002357925864203436,0.0028637484852393064,38149336,38220924,ENSG00000101955,1,0.002595359102947886
123,0.0014452593022208388,0.0014662269020769981,0.0016437157384738862,123859712,123913972,ENSG00000101966,1,0.0015184006475905745
124,0.002381619385899183,0.002429146327903629,0.0027681202099186816,123960212,124422664,ENSG00000101972,1,0.0025262953079071646
125,0.0023556659682175355,0.0023843004303782775,0.002732849424934588,139726346,139945276,ENSG00000101974,1,0.002490938607843467
131,0.0018176405487964288,0.0018688485334595036,0.0019381295547529517,49171898,49175235,ENSG00000102007,1,0.0018748728790029614
134,0.014865659104541344,0.014439785822537706,0.01551227915977118,115561174,115650861,ENSG00000102024,1,0.01493924136228341
138,0.0038707907924479656,0.0037728314671102497,0.004095099756143134,129446501,129523500,ENSG00000102038,1,0.003912907338567116
155,0.01722267399696289,0.018075367450837716,0.018972905728218057,77910739,78129295,ENSG00000102144,1,0.01809031572533955
157,0.005023971698945771,0.005055552499787251,0.005738280185523949,77825747,77899271,ENSG00000102158,1,0.005272601461418991
