,WT_1_1,WT_2_1,WT_3_1,StartPos,EndPos,Gene_ID,labels,mean_value
1,0.0,0.0,3.211737835822421e-06,54153446,54173986,ENSG00000019186,0,1.0705792786074736e-06
2,0.00042935280657741264,0.0005266805416496674,0.0004310341364991552,52051663,52204308,ENSG00000020256,0,0.0004623558282420784
6,1.1274193314319653e-05,1.894668461467636e-05,1.1973109985469343e-05,63659300,63698684,ENSG00000026036,0,1.406466263815512e-05
7,0.0004212347785226717,0.0005109799799131359,0.0004884463079310558,51003656,51023107,ENSG00000026559,0,0.0004735536887889545
8,0.0001085075586250124,0.00010141436473035696,8.400003529730659e-05,50586108,50691542,ENSG00000042062,0,9.797398621755865e-05
9,0.0,0.0,9.637630140267873e-06,37521206,37523690,ENSG00000053438,0,3.212543380089291e-06
11,0.0,0.0,0.0,55997357,56005519,ENSG00000054803,0,0.0
12,0.0005219018458997321,0.0005818019044070955,0.00048351613236873156,62804835,62814000,ENSG00000060491,0,0.0005290732942251864
13,8.732218001077948e-05,7.782093210937788e-05,8.455296498756258e-05,35615829,35621094,ENSG00000061656,0,8.323202570257331e-05
15,9.904826384199207e-05,7.546445346564765e-05,8.3572242399105e-05,44714844,44728509,ENSG00000064205,0,8.602831990224823e-05
17,7.969235018409149e-05,0.00010822290251770588,7.788419847407989e-05,46894624,47188844,ENSG00000064655,0,8.859981705862575e-05
18,2.3481302731291687e-06,6.377562290742569e-07,1.5646726998573943e-06,53936777,54070594,ENSG00000064787,0,1.5168530673536065e-06
19,0.0,0.0,0.0,63400208,63472677,ENSG00000075043,0,0.0
20,0.0,0.0,0.0,24949269,24959928,ENSG00000077984,0,0.0
21,0.0002913317047933716,0.0003682128335121746,0.00033995040947341784,33490075,33650036,ENSG00000078699,0,0.000333164982592988
23,0.0006086825052848557,0.0009944138695366673,0.000734054630750957,34704339,34713439,ENSG00000078804,0,0.0007790503351908267
24,1.5538413102418192e-06,1.2660779669014535e-06,0.0,34955810,35002437,ENSG00000078814,0,9.399730923810908e-07
25,0.0,0.0,0.0,33007704,33023703,ENSG00000078898,0,0.0
26,0.0006467114865889742,0.0006224439954783157,0.0006430792478118048,46345980,46364458,ENSG00000080189,0,0.0006374115766263649
28,0.0005081196582936962,0.0008084350552435851,0.0006302921285644067,36306336,36528637,ENSG00000080845,0,0.0006489489473672294
30,6.2991299507088175e-06,0.0,0.0,59577509,59847711,ENSG00000087495,0,2.099709983569606e-06
33,1.896014492519335e-05,1.2359059740364934e-05,1.768768461978115e-05,56412112,56460387,ENSG00000087589,0,1.6335629761779812e-05
35,0.00012177955007561483,0.0001319262892071208,0.00011618860448542304,32762385,32809359,ENSG00000088305,0,0.00012329814792271955
36,0.0,3.1449835750670856e-06,3.85795496394651e-06,31475288,31484895,ENSG00000088320,0,2.334312846337865e-06
38,1.8793308326154533e-06,1.5312885599220347e-06,3.1307222272671353e-06,35558737,35607562,ENSG00000088340,0,2.180447206601541e-06
39,0.0004583633595053082,0.0006589198698965301,0.0005432284450097858,31944337,31952046,ENSG00000088356,0,0.0005535038914705414
40,0.00010594898659186492,0.0002044889413213421,0.0001482577479726225,36091504,36232799,ENSG00000088367,0,0.0001528985586286098
41,0.00021966401202747933,0.0001799561153246513,0.00024700400253405656,6006093,6040053,ENSG00000088766,0,0.00021554137662872907
43,0.0005154520690124554,0.0006787229084151161,0.0006999844134143889,4120980,4187747,ENSG00000088826,0,0.0006313864636139868
44,0.0,0.0,0.0,3686970,3712600,ENSG00000088827,0,0.0
46,0.00038163008260355685,0.0005571595393912317,0.0004402829804339742,1442162,1473842,ENSG00000088833,0,0.00045969086747625425
47,3.560415819302031e-05,5.318583102521313e-05,6.376032056584421e-05,3227417,3239559,ENSG00000088836,0,5.085010326135922e-05
48,0.0005146216792415512,0.0006827644929514906,0.0005728618183905587,3249306,3407669,ENSG00000088854,0,0.0005900826635278669
49,0.00017663793134296165,0.00026536265009634324,0.00022620927346330224,2481817,2524702,ENSG00000088876,0,0.00022273661830086904
50,2.5332309836409558e-05,4.1281795715452025e-05,3.255455917505902e-05,2692780,2760108,ENSG00000088881,0,3.30562215756402e-05
51,2.1573282623802533e-05,5.4931321649045506e-05,4.582133375346028e-05,2794074,2800627,ENSG00000088882,0,4.077531267543611e-05
52,0.0007783866189898535,0.0011287581609409746,0.0009118552334372071,3846799,3876123,ENSG00000088888,0,0.0009396666711226784
53,0.00011401249982865472,0.00010934866136654058,0.0001424475674258546,3162617,3173549,ENSG00000088899,0,0.0001219362428736833
55,0.0008281331511733078,0.0007629982738879316,0.0007773108702064448,21125983,21246622,ENSG00000088970,0,0.000789480765089228
57,0.0006176157145276342,0.0005551834896614093,0.0005535973420773033,13714322,13784919,ENSG00000089048,0,0.0005754655154221155
59,0.00048526986814619846,0.00053829950893631,0.0004875909636113201,4852356,5010293,ENSG00000089057,0,0.0005037201135646095
61,2.9040330709296004e-05,4.653568446662465e-05,4.4507242735067214e-05,18383367,18467281,ENSG00000089091,0,4.0027752636995954e-05
62,0.0,1.9787767895482294e-06,0.0,20052514,20360703,ENSG00000089101,0,6.595922631827431e-07
63,0.00038041062247364015,0.00034960667099567306,0.000333805657032241,13389392,13638932,ENSG00000089123,0,0.00035460765016718474
64,0.00014330405144676012,0.00022543047439754475,0.0001879450012846435,16272104,16573448,ENSG00000089177,0,0.00018555984237631612
65,0.0002879289037761382,0.0003077478292143735,0.0002962558588887499,5937228,5950558,ENSG00000089195,0,0.00029731086395975385
66,0.0,1.1739763330399055e-06,2.880236278051975e-06,5911510,5925353,ENSG00000089199,0,1.3514042036972934e-06
67,1.588249931596404e-05,1.6176428817097895e-05,1.587491479823605e-05,62816244,62841159,ENSG00000092758,0,1.5977947643766e-05
68,0.00038831908852274586,0.0005054252311409583,0.0004057760885604777,45898621,45912155,ENSG00000100979,0,0.00043317346940806057
69,0.0004617118871840408,0.0006121585379933475,0.00046149140046412883,45934683,45948023,ENSG00000100982,0,0.0005117872752138391
71,0.0,0.0,0.0,25070885,25082141,ENSG00000100987,0,0.0
74,0.000708103629299485,0.000798428416689153,0.000763528820995685,25294742,25390835,ENSG00000100997,0,0.0007566869556614409
76,0.000735361644377366,0.0007546590000536317,0.0007551689935663861,25391008,25452700,ENSG00000101003,0,0.000748396545999128
77,8.819286763567461e-05,8.657832193821789e-05,9.239898082706326e-05,25452697,25585531,ENSG00000101004,0,8.905672346698526e-05
78,0.0005057698243516122,0.00037275728155842635,0.0005233107004123934,46118271,46129863,ENSG00000101017,0,0.00046727926877414397
79,0.00048016074337947325,0.00045931279116642,0.00044249679373450045,35302566,35412031,ENSG00000101019,0,0.00046065677609346455
80,0.0006260212978279501,0.0007743712726527034,0.0006870347372622665,47209214,47356889,ENSG00000101040,0,0.0006958091025809733
81,1.2465496496573554e-06,3.0470853016850556e-06,0.0,43558968,43588237,ENSG00000101049,0,1.4312116504474702e-06
83,0.0007847514720290471,0.0010005035797844653,0.0006851761352065545,43667019,43716495,ENSG00000101057,0,0.0008234770623400223
84,0.0,0.0,0.0,44355699,44432845,ENSG00000101076,0,0.0
86,6.554746765483512e-05,4.005631321189398e-05,5.3816850522347234e-05,36612318,36646196,ENSG00000101082,0,5.314021046302544e-05
88,0.0003448757147071392,0.0004378913354505235,0.0003864473342934279,51386957,51562831,ENSG00000101096,0,0.0003897381281503635
89,1.1834623112212702e-06,9.642912050677313e-07,5.914485777468499e-06,44751808,44810546,ENSG00000101098,0,2.6874130979191666e-06
90,4.186925618224297e-05,3.825047412147047e-05,5.326269684023493e-05,44910060,44959035,ENSG00000101104,0,4.446080904798279e-05
92,3.107628944002461e-05,2.260814478381139e-05,2.9952111758329666e-05,51782331,51802521,ENSG00000101115,0,2.787884866072189e-05
95,0.00044255859272022974,0.0004347221799076427,0.0004914969472394,54475593,54651169,ENSG00000101134,0,0.00045625923995575745
97,0.0,0.0,1.1804986241125235e-06,57168753,57266641,ENSG00000101144,0,3.934995413708412e-07
98,0.00048378143799807663,0.0006042359709607112,0.0005141979733667218,57351223,57379211,ENSG00000101146,0,0.0005340717941085031
101,0.0003448813626637152,0.0004318784592513554,0.0003955598334851497,58981208,58995133,ENSG00000101158,0,0.00039077321846674016
104,0.0,0.0,0.0,59019429,59026654,ENSG00000101162,0,0.0
106,0.0,0.0,0.0,62214960,62220278,ENSG00000101180,0,0.0
107,0.00018819572637023303,0.00021047058762669273,0.00020285925546553103,62183028,62203568,ENSG00000101181,0,0.00020050852315415225
109,6.421713868833318e-06,9.156780190471239e-06,2.2465265216284114e-05,62642503,62685785,ENSG00000101187,0,1.2681253091862891e-05
110,7.5593026654027765e-06,1.2318719078535986e-06,3.022277183280934e-06,62708836,62762771,ENSG00000101188,0,3.937817252179103e-06
