,HGPS_917_NT_1,HGPS_478_NT_1,HGPS_297_NT_1,StartPos,EndPos,Gene_ID,labels,mean_value
1,0.0001744587559341066,0.00014943406322198558,0.00012085116120093406,65438549,65534810,ENSG00000001497,0,0.00014824799345234207
3,6.640829377847434e-05,0.00015432913835707838,3.352590805870596e-05,117897813,118117340,ENSG00000003096,0,8.475444673141957e-05
6,0.00023538689375124865,0.0002517082245741997,0.0002445815891465644,11758159,11775772,ENSG00000005302,0,0.00024389223582400423
9,0.00018071939675542143,8.798204356622871e-05,9.778908502601416e-05,2903972,2929349,ENSG00000006756,0,0.00012216350844922142
10,0.000385194710974624,0.00042339522403192503,0.00038047245475127025,7898247,7927739,ENSG00000006757,0,0.00039635412991927306
11,0.0,0.0,0.0,154295795,154330350,ENSG00000007350,0,0.0
12,0.0,1.290709892352846e-05,2.001328545157707e-06,100843324,100874359,ENSG00000007952,0,4.969475822895389e-06
13,1.4788600779013827e-06,2.930864642889014e-06,5.453392601319206e-06,47571901,47619857,ENSG00000008056,0,3.2877057740365337e-06
14,0.00014137517495322338,0.000141526876738262,0.00010122137335898403,18425583,18653629,ENSG00000008086,0,0.0001280411416834898
15,0.0,0.0,0.0,124375903,125204312,ENSG00000009694,0,0.0
16,0.00017819834417494342,0.00019600417066193795,0.00016592228496448743,149476988,149521096,ENSG00000010404,0,0.0001800415999337896
17,5.144854429143314e-05,0.0001065974735202538,2.587088818035496e-05,8528874,8732137,ENSG00000011201,0,6.130563533068064e-05
18,0.0009930263595782742,0.0008537462727929504,0.0008614107547781532,21839617,21885423,ENSG00000012174,0,0.0009027277957164593
19,6.644029729408119e-05,3.740740392320142e-05,6.681897513924962e-05,49174802,49186528,ENSG00000012211,0,5.688889211884408e-05
21,0.00013620777962428698,9.82442238771493e-05,0.00025199172321112653,150361422,150514178,ENSG00000013619,0,0.0001621479089041876
22,2.3382399655928836e-06,0.0,0.0,48676596,48691431,ENSG00000015285,0,7.794133218642946e-07
23,0.00032837723840657587,0.0006589601874565727,0.0002127963178143305,48458537,48470260,ENSG00000017483,0,0.0004000445812258264
26,0.00021580211029770892,0.0001914800327260527,0.0001300301124886017,150980509,150990771,ENSG00000029993,0,0.00017910408517078777
27,0.00011690953919441564,0.0001676916100507157,0.00015303267815734784,18892298,18984114,ENSG00000044446,0,0.00014587794246749306
28,0.000617194081920229,0.0006770369736162731,0.000690761369520617,14006726,14029893,ENSG00000046647,0,0.0006616641416857064
29,0.00046289292136873067,0.0004861690539196363,0.0005112976955913758,13734743,13777955,ENSG00000046651,0,0.0004867865569599143
30,2.4889058883615342e-05,2.845738970248101e-06,9.707502103570564e-06,13770939,13938638,ENSG00000046653,0,1.2480766652478003e-05
31,0.0,2.7434597909304938e-06,0.0,142202342,142205290,ENSG00000046774,0,9.144865969768313e-07
32,0.00034035787088698764,0.00040749032781037367,0.00029076905397808645,16587999,16712936,ENSG00000047230,0,0.00034620575089181594
33,0.0,0.0,0.0,37685791,37732130,ENSG00000047597,0,0.0
34,0.00014662640824904743,0.00032940182729423404,0.00038330048037396564,17737449,17754988,ENSG00000047634,0,0.000286442905305749
35,0.0007628200755183003,0.0008790491811441229,0.0007594961055839695,10015254,10144474,ENSG00000047644,0,0.0008004551207487976
36,2.4210368150070156e-05,3.3217673781069936e-05,3.0331391700576195e-05,11117651,11665920,ENSG00000047648,0,2.9253144543905426e-05
37,5.3667381564306965e-06,5.318009216070107e-06,2.3088561318092366e-05,49250438,49270477,ENSG00000049768,0,1.1257769563531056e-05
