,WT_1_1,WT_2_1,WT_3_1,StartPos,EndPos,Gene_ID,labels,mean_value
0,0.0011190532659470323,0.001046145982967252,0.001070176550328331,34851782,34969742,ENSG00000021776,1,0.0010784585997475383
5,0.003984577235369404,0.003767111420053852,0.0037226000514497,78540405,78552417,ENSG00000041357,1,0.003824762902290985
10,0.007442646473012648,0.006557978010627508,0.006766869531679152,83016423,83067252,ENSG00000064726,1,0.006922498005106435
14,0.006313729346045606,0.008072794907373476,0.0073613015024340455,72199029,72231819,ENSG00000067225,1,0.007249275251951043
15,0.0010521157529104711,0.001377306898997416,0.001153375028325213,43403061,43510728,ENSG00000067369,1,0.0011942658934110334
16,0.002805440053331892,0.00266723689393273,0.002650080935115517,99565417,99716488,ENSG00000068305,1,0.0027075859607933795
18,0.0025683748325758225,0.0023575607003590146,0.0023650445169637354,55826922,55993660,ENSG00000069869,1,0.002430326683299524
20,0.0060029700148866655,0.0055620792430054284,0.005672656594160233,51952106,52067375,ENSG00000069956,1,0.005745901950684109
25,0.001410611520059352,0.0016217845142741769,0.0014430107535427753,65442463,65517704,ENSG00000074603,1,0.0014918022626254346
27,0.0036498401371661193,0.0035210064113011686,0.003412774267488467,65530418,65578349,ENSG00000074696,1,0.0035278736053185847
31,0.001099481331104802,0.0010951268940391987,0.001109722819961607,50908672,51005895,ENSG00000081014,1,0.0011014436817018691
32,0.0019444989215742785,0.0016649255621783783,0.0015427375057864552,80059568,80138393,ENSG00000086666,1,0.0017173873298463706
33,0.0012561569893348992,0.0011152101305657812,0.0012550276643194978,65117379,65133808,ENSG00000090470,1,0.001208798261406726
34,0.002611777903067189,0.0025042804012030116,0.0023978335444177173,64963022,64990310,ENSG00000090487,1,0.002504630616229306
35,0.0024421621341494484,0.002331311645348696,0.002235118733892834,50552473,50686797,ENSG00000092439,1,0.0023361975044636596
37,0.0016940989189350093,0.0015910554601588987,0.0015946441806305625,43826980,43868412,ENSG00000092470,1,0.0016265995199081567
39,0.002337677264081971,0.0020033730403957064,0.0024096133041329785,42491233,42545356,ENSG00000092531,1,0.0022502212028702186
41,0.0028569869025897375,0.002584090439719799,0.00277719209641839,67200667,67255195,ENSG00000103591,1,0.002739423146242642
43,0.0015492409560601175,0.0014234016955780018,0.0014405898312912953,63121833,63142061,ENSG00000103642,1,0.001471077494309805
48,0.00112931025800544,0.0012377719480096286,0.001214745970867675,65001512,65029639,ENSG00000103707,1,0.0011939427256275812
53,0.0028654131064201464,0.0029429963673491383,0.002879553478445056,65726054,65891989,ENSG00000103769,1,0.0028959876507381136
59,0.019959219440038027,0.024625157485720035,0.02268794717642721,80779343,80951776,ENSG00000103888,1,0.022424108034061755
62,0.0011352421528196622,0.0012716910544895868,0.001282033976033829,41895933,41972557,ENSG00000103966,1,0.0012296557277810258
63,0.004224259373900448,0.004163621803470658,0.0042304705519877845,42210447,42273584,ENSG00000103978,1,0.004206117243119631
64,0.0017193792880527811,0.0019025081651106333,0.0018359140765873696,42412823,42491141,ENSG00000103994,1,0.0018192671765835946
72,0.001005607633820634,0.0012080144895921198,0.001067925182024233,29699367,29968915,ENSG00000104067,1,0.0010938491018123288
73,0.0015725556910701902,0.001677326088403301,0.0015632698861137698,40087890,40108892,ENSG00000104081,1,0.0016043838885290871
