,WRN_1_L1_ASO_1,WRN_2_L1_ASO_1,WRN_3_L1_ASO_1,StartPos,EndPos,Gene_ID,labels,mean_value
1,0.00017712419004512297,0.0001707903840826549,0.0001726262298741463,65438549,65534810,ENSG00000001497,0,0.00017351360133397472
3,5.290870903750842e-05,3.7024160655110495e-05,3.441065213696737e-05,117897813,118117340,ENSG00000003096,0,4.144784060986209e-05
4,0.0012206170749140316,0.0011520079443110946,0.0011476546569125807,11111301,11123086,ENSG00000004961,0,0.001173426558712569
6,0.00036727882999601616,0.0003595235286865362,0.000372637220205219,11758159,11775772,ENSG00000005302,0,0.0003664798596292571
9,0.00022105134387161502,0.00023624038758022017,0.00021822891964016485,2903972,2929349,ENSG00000006756,0,0.000225173550364
10,0.00020258864612100297,0.00019555334561894146,0.00018953192692662248,7898247,7927739,ENSG00000006757,0,0.00019589130622218898
11,0.0,0.0,1.622569674001146e-06,154295795,154330350,ENSG00000007350,0,5.408565580003821e-07
12,0.0,0.0,0.0,100843324,100874359,ENSG00000007952,0,0.0
13,0.0,6.925789230854293e-06,3.0651918916589584e-06,47571901,47619857,ENSG00000008056,0,3.3303270408377503e-06
14,0.00016408160812636597,0.00015900952182218756,0.0001495144791719383,18425583,18653629,ENSG00000008086,0,0.00015753520304016393
15,0.0,2.0048055220539087e-06,0.0,124375903,125204312,ENSG00000009694,0,6.682685073513029e-07
16,0.00015532996168799622,0.00010848987352615921,0.00011141959127222847,149476988,149521096,ENSG00000010404,0,0.00012507980882879463
17,1.9321886668624295e-06,2.920527766707714e-06,0.0,8528874,8732137,ENSG00000011201,0,1.6175721445233812e-06
18,0.0010670120166014205,0.0010983241061529954,0.0010425404477079068,21839617,21885423,ENSG00000012174,0,0.0010692921901541074
19,0.00018901254702320097,6.788788988183179e-05,9.702220855467781e-05,49174802,49186528,ENSG00000012211,0,0.00011797421515323687
21,0.00028938464910163286,0.0002161006671939826,0.00022373868232694008,150361422,150514178,ENSG00000013619,0,0.0002430746662075185
22,2.8978737273352585e-06,0.0,0.0,48676596,48691431,ENSG00000015285,0,9.65957909111753e-07
23,0.000526167470221169,0.0006936431349052199,0.000589489484777418,48458537,48470260,ENSG00000017483,0,0.0006031000299679357
