,107_31YR_F,108_31YR_F,109_32YR_M,110_32YR_F,111_33YR_M,112_33YR_M,114_37YR_F,115_37YR_F,117_37YR_M,118_39YR_M,155_22YR_M,156_25YR_F,157_29YR_M,158_24YR_M,159_23YR_M,160_26YR_F,162_21YR_M,16_24YR_F,17_25YR_M,18_25YR_F,19_26YR_M,20_26YR_F,21_28YR_M,22_29YR_M,23_29YR_M,24_30YR_M,25_30YR_F,26_30YR_M,27_30YR_M,StartPos,EndPos,Gene_ID,labels,mean_value
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0064177247565944e-07,0.0,3.5517979112231666e-07,4.196865914834511e-07,2.9400404476064577e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52559169,52645435,A1CF|ACF|ACF64|ACF65|APOBEC1CF|ASP|-|10q11.23|protein-coding,0,4.722455861524389e-08
1,7.46583319657388e-06,1.2428710537493097e-05,1.1859697545621643e-05,4.333354930215163e-06,5.02703123886401e-06,2.2235503922273677e-05,5.675509493938594e-06,4.298440398462241e-06,1.4281146359043156e-06,6.915748889157835e-06,6.726236710170721e-06,1.0175688499429376e-05,3.983503485302488e-06,7.923308710330965e-06,1.0921778577011237e-05,4.028991278241131e-06,1.4847204260412612e-05,4.446067019870836e-06,1.288958312408881e-05,1.2735469486853327e-05,9.016238865633263e-06,5.234716303502988e-06,9.22814504217585e-06,1.0080920992941914e-05,3.352810734125607e-06,9.061708981430178e-06,6.1584346715898825e-06,7.18128115608534e-06,1.3797727716780499e-05,101542355,101611949,ABCC2|ABC30|CMOAT|DJS|MRP2|cMRP|-|10q24.2|protein-coding,0,8.395095186361431e-06
3,0.00031651023120521013,0.00020770807012386564,4.1857756043370495e-06,2.2295810044171567e-05,0.00032205432388335243,0.00020885800182244614,4.118579186817602e-05,8.103356158582521e-05,2.0350633561636497e-05,2.0037939089098342e-05,0.00022024688427636795,0.0004976360603654763,0.0005183064157480369,0.00013520045862992018,0.0002773066219187487,0.0001665316395006334,7.283950208944998e-05,0.0001785597883786836,8.276850286985119e-05,6.852236299991736e-05,4.673302434935104e-05,2.219519712685267e-05,9.195878800769641e-05,8.156381530653003e-05,0.00016778631108602495,3.6114548203364065e-05,2.4898617596965547e-05,9.251560408290123e-06,9.031815344883382e-05,116190869,116286685,ABLIM1|ABLIM|LIMAB1|LIMATIN|abLIM-1|-|10q25.3|protein-coding,0,0.00013906753072755564
4,0.00011561767372308908,0.00014259243448178224,0.0001257127939835894,0.00012126404522456949,0.00015535148151070072,0.000168972525915177,0.00014825351151058518,0.00012067473414942143,0.00012124693258827639,0.0001175677311156832,0.0001191291257334681,0.00019603164609194827,0.0001602420647295265,0.00014989459478362488,0.0001788330248300864,0.00023015612676952456,0.0001246577149785138,0.0001761216225935931,0.00010217529094432198,0.0001499878390109302,0.00013090752917888906,0.0001364516049779779,0.0001340339668013933,0.00011468684142619632,0.0001254388537702211,0.00011998496417747695,0.00011873197167914688,0.00016329327601765224,0.00014266090951203323,124768429,124817806,ACADSB|2-MEBCAD|ACAD7|SBCAD|-|10q26.13|protein-coding,0,0.00014174733904170341
5,0.0006478836349210306,0.0008200922534549114,0.0009181498788113319,0.0006393795306711018,0.0006083518610515593,0.0007918261941503838,0.0007516215275756517,0.0006896608817088307,0.000646293278478498,0.0008657985628541828,0.0006596196133774087,0.0007856978303860873,0.0006318738453007173,0.0006683671047560093,0.000735310962570976,0.000783051242389823,0.0007273660067378377,0.0006251026808421626,0.0008218919576315056,0.0006074957374245198,0.0006793839224630988,0.000793582991611053,0.000692756202991313,0.0006302539436366543,0.0007427204647986943,0.000624794912690434,0.000652198097639664,0.0007529993817628583,0.0006646960389065542,27484143,27531068,ACBD5|-|-|10p12.1|protein-coding,0,0.0007123524324687882
6,1.0890527323442633e-05,7.565302066300147e-06,9.278469256280462e-06,7.967781645879493e-06,4.540544344780397e-06,1.3497037400290636e-05,0.00013191724769695112,9.472489026240863e-06,1.185335147800582e-05,1.2590209516159135e-05,1.4648248835482904e-05,1.4664962837412923e-05,8.117327856842805e-06,4.826015305383406e-06,1.260888258484224e-05,1.855014734356854e-05,1.6831731562546972e-05,2.0796119931653908e-05,3.91032297022919e-06,9.343958590897822e-06,4.1295750529618e-06,1.78678316492902e-05,5.033533659368646e-06,3.0766447186251295e-06,7.288718987229581e-06,1.1773607289741399e-05,0.0,4.399343410935164e-06,4.7469246732043e-06,15057071,15130775,ACBD7-DCLRE1CP1|-|-|-|ncRNA,0,1.3868512310846469e-05
7,4.7123791185714033e-05,2.5600441813640674e-05,8.162262428457248e-06,2.9215199368224807e-05,2.010812495545604e-05,2.647495797749317e-05,4.67846052878722e-05,2.4994634909576734e-05,1.3924117700067079e-05,0.0,4.095530796859506e-05,5.5292895596164035e-05,4.9305250686008156e-05,4.2569776798232724e-05,4.17336254568722e-05,2.1823702757139456e-05,5.20387159226343e-05,1.627834215339806e-05,4.634456853604966e-06,2.602465503835245e-05,2.0510222763043606e-05,3.147809403839797e-05,5.201318114680934e-05,5.4790460201898584e-05,2.9009101569173736e-05,4.7822011631927135e-05,3.714926721249381e-05,1.4103777405645084e-05,3.196262613290896e-05,15117474,15130775,ACBD7|bA455B2.2|-|10p13|protein-coding,0,3.144426230895868e-05
8,3.280856973540265e-05,7.382924248630411e-05,4.4438984332711684e-05,1.2301136576094656e-05,2.8297321005863543e-05,3.348303508918254e-05,3.244243940454088e-05,3.223830298846681e-05,2.0779067952407792e-05,3.901191681063394e-05,4.618682540983895e-05,1.0923900889093299e-05,6.283413044741283e-05,2.391398628936255e-05,3.418605489552298e-05,2.761537771961108e-05,2.087428717800585e-05,3.434945326642146e-05,2.071022906454719e-05,9.669266778877228e-05,3.3105426674577094e-05,1.326128130220757e-05,6.420982039835644e-05,5.583782861674969e-05,5.3134761416903645e-05,5.91987557545986e-05,2.6090572694692622e-05,4.4705092602297026e-05,1.4620527993469245e-05,114133916,114188138,ACSL5|ACS2|ACS5|FACL5|-|10q25.2|protein-coding,0,3.7657965406346515e-05
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96953957,96988686,ACSM6|C10orf129|bA310E22.3|-|10q23.33|protein-coding,0,0.0
10,3.972645187167754e-06,1.8237781766973568e-06,4.464827311292854e-06,5.801104180771913e-06,2.189191023376263e-06,2.621539956594912e-05,1.1274322913634775e-05,1.838777281564403e-05,1.3424277577500567e-05,3.360344652552333e-05,5.904141112260966e-06,2.843207080722914e-06,5.261231018324041e-06,0.0,6.126851396859962e-06,3.609304686757679e-06,6.835594040685014e-06,0.0,3.837909581891612e-06,0.0,1.9959612755982033e-06,5.164920086122948e-06,0.0,1.5055920963484676e-06,7.070057417612694e-06,2.3150351412412864e-06,0.0,0.0,0.0,90692441,90699731,ACTA2-AS1|ZXF1|uc001kfo.1|-|10q23.31|ncRNA,0,5.98712311075806e-06
