,120_51YR_M,121_52YR_M,122_55YR_M,123_57YR_M,124_60YR_M,28_43YR_F,29_44YR_M,30_41YR_M,31_47YR_M,32_50YR_F,33_46YR_M,34_50YR_M,35_42YR_F,36_47YR_M,37_41YR_F,38_43YR_M,39_44YR_M,40_45YR_M,41_46YR_M,42_46YR_M,43_47YR_M,StartPos,EndPos,Gene_ID,labels,mean_value
0,0.0005630098112340879,0.0005805841747315671,0.0004870338333989342,0.00048433141862783,0.000505550949424683,0.00044364083693457294,0.0005987835379278377,0.0005449015497047559,0.0005489840329838903,0.00042154350586056966,0.0005748804797708187,0.0005244234375484484,0.0005471599556045179,0.0005792271086615066,0.00038012473329116474,0.0005057147224333569,0.00047243211527580513,0.0006771254507826402,0.0005092446565427705,0.0005935532391745558,0.0005317725471236518,74273007,74376175,ABCB7|ABC7|ASAT|Atm1p|EST140535|-|Xq13.3|protein-coding,0,0.0005273343855732364
1,0.00038815935225163304,0.00037445961565527107,0.0004446032418399904,0.0003015301301222647,0.0004678846259400748,0.00020698345830981967,0.0003017674556340514,0.0002895565176981303,0.0002920236269028678,0.0003470016466317352,0.0004045455228016872,0.00033340347077679685,0.0003081289911517366,0.00023017094486890564,0.00031892142501038556,0.00039657966989255,0.00025062790235797524,0.00026507407297954896,0.0004319769308777811,0.0002570944256700543,0.00022006240240863206,152990323,153010216,ABCD1|ABC42|ALD|ALDP|AMN|-|Xq28|protein-coding,0,0.0003252645442753281
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4029946813550853e-06,0.0,0.0,0.0,1.1407272717091026e-06,0.0,0.0,0.0,0.0,0.0,2.1268612274541515e-06,0.0,0.0,1.8329548461277537e-06,15579156,15620192,ACE2|ACEH|-|Xp22.2|protein-coding,0,3.096922869831473e-07
5,8.016687710471907e-06,5.319343460033446e-06,1.1933603875952943e-05,9.307821676423102e-06,2.0999808668409908e-05,1.1324322947041805e-05,3.3149116327431504e-06,0.0,1.2231356100643677e-06,4.645960755259768e-06,4.594561339298941e-06,0.0,6.829456127222324e-06,1.4574370095724466e-06,1.394866095701478e-05,4.382095799917679e-06,0.0,0.0,8.536660909163142e-06,6.298760939241838e-07,0.0,19007425,19140755,ADGRG2|CBAVDX|EDDM6|GPR64|HE6|TM7LN2|-|Xp22.13|protein-coding,0,5.545921170119709e-06
6,1.300003412508958e-06,0.0,6.119796859463047e-07,0.0,0.0,9.436935789201504e-07,5.524852721238584e-07,5.396133389827252e-07,0.0,1.1356792957301656e-06,0.0,0.0,0.0,2.082052870817781e-06,0.0,0.0,0.0,0.0,4.924996678363351e-06,0.0,0.0,135383122,135499047,ADGRG4|GPR112|PGR17|RP1-299I16|-|Xq26.3|protein-coding,0,5.757382920663473e-07
7,0.00019955052382012505,5.5520647364099084e-05,3.794274052867089e-05,0.0001918926492127693,0.00015733189986491232,0.00014952300483779272,0.00010088381068981655,0.00010079977172197306,0.00017072934557148467,7.485158994585182e-05,0.00023835687728509383,0.00011842823129925411,9.460805399769748e-05,0.00016750115345729046,9.175751799614485e-05,0.0001113261004407658,3.533863294373971e-05,0.0001895145293726252,0.00015420711821808805,0.00013668311238154788,0.00012550349652310029,147582139,148082193,AFF2|FMR2|FMR2P|FRAXE|MRX2|OX19|-|Xq28|protein-coding,0,0.00012867860987965922
8,0.0,0.0,0.0,0.0,0.0,1.6776774736358231e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115301958,115306225,AGTR2|AT2|ATGR2|MRX88|-|Xq23|protein-coding,0,7.988940350646777e-08
9,0.0009342691191231046,0.0011459860566709554,0.0009626440459935375,0.001088257522749236,0.001072101343076652,0.0009391848207097542,0.0008497223485264943,0.0009949390744163485,0.0010989873456428343,0.0006987524975910691,0.0009003098975592121,0.0012034672716531034,0.0011267598278133417,0.0011001567369401152,0.0007631910209338087,0.001177844749649302,0.0012770276379697224,0.0012880943233849957,0.0009076221656370505,0.0011528832105792309,0.0013186492804789663,129263338,129299861,AIFM1|AIF|CMT2D|CMTX4|COWCK|COXPD6|DFNX5|NADMR|NAMSD|PDCD8|-|Xq26.1|protein-coding,0,0.0010476595379570873
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1976254391336293e-05,1.5576683564940313e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119029936,119037620,AKAP14|AKAP28|PRKA14|-|Xq24|protein-coding,0,1.3120446645846002e-06
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49955420,49965004,AKAP4|AKAP 82|AKAP-4|AKAP82|CT99|FSC1|HI|PRKA4|hAKAP82|p82|-|Xp11.22|protein-coding,0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55035488,55057497,ALAS2|ALAS-E|ALASE|ANH1|ASB|SIDBA1|XLDPP|XLEPP|XLSA|-|Xp11.21|protein-coding,0,0.0
13,0.0004063594000267584,0.0005896713864757909,0.0006534923079763291,0.0006317413386660657,0.0005835502387644912,0.00047310504756530204,0.0003927065314256385,0.0004982789572166484,0.0005757910884378011,0.00047244258702374884,0.0005168321194352858,0.0006097705779681386,0.000568451789412917,0.0006016091770227977,0.0005304286717667526,0.0004681539012912054,0.0004611790310423238,0.0006415285102389337,0.00031662256423344834,0.0004906734771669392,0.0005617467499015056,110924398,110932027,ALG13|CDG1S|CXorf45|EIEE36|GLT28D1|MDS031|TDRD13|YGL047W|-|Xq23|protein-coding,0,0.0005259112120504201
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11311533,11318881,AMELX|AI1E|AIH1|ALGN|AMG|AMGL|AMGX|-|Xp22.2|protein-coding,0,0.0
15,7.420852813071969e-05,7.834949638007595e-05,7.455952507112479e-05,8.42033170262462e-05,8.544366595771016e-05,9.940239031292251e-05,0.0001154694218738864,0.00012648536665755078,6.187027627575594e-05,0.00010231438018805401,0.0001332422788396693,7.881388422717437e-05,8.928509554559773e-05,0.00011628265283517306,8.52101873428522e-05,7.637366965570812e-05,6.307649846661921e-05,8.988787187608862e-05,6.840273164393543e-05,7.978430523039662e-05,8.118911759612932e-05,63404997,63425624,AMER1|FAM123B|OSCS|WTX|-|Xq11.2|protein-coding,0,8.875498386349478e-05
16,0.00024364230622772056,0.0003614937159714396,0.00027906273679151496,0.00042264004240037456,0.00022666460150029744,0.0003083780906226847,0.0004470710822026262,0.0003751391932607905,0.00044369244255084935,0.00028195819605809837,0.0003916583385573122,0.0004572242309968576,0.00029396791300558445,0.0004974024308383678,0.0003771831789396854,0.0004260023131205687,0.000255859599413892,0.0006162300556386897,0.0001656987771342692,0.000364593279033115,0.0004056221253607417,109437414,109561380,AMMECR1|AMMERC1|-|Xq23|protein-coding,0,0.0003638659356964514
17,0.0002884924239592796,0.00016445636863936735,0.0002695770516593472,0.0001397255556309561,0.00011433229163912061,0.0002518613307295779,0.0006364630334866849,0.0002634392320913664,0.00016125004459348582,0.00025139809864572305,0.00040118364865098074,0.0002516859171307266,0.00016099438488143211,0.0005431034913528181,5.9779975530063344e-05,0.00027429832995198996,9.574992724979754e-05,0.0002991038526188154,0.0005442668551444655,0.000203344998988524,0.0002668566614215406,112018105,112066354,AMOT|-|-|Xq23|protein-coding,0,0.0002686363559045744
18,9.750025593817184e-07,0.0,0.0,9.740743614861387e-07,0.0,7.339838947156725e-07,8.839764353981734e-07,0.0,0.0,0.0,0.0,0.0,5.122092095416742e-06,0.0,2.0306213910211994e-05,0.0,0.0,0.0,2.626664895127121e-06,5.248967449368198e-07,0.0,8496915,8700228,ANOS1|ADMLX|HH1|HHA|KAL|KAL1|KALIG-1|KMS|WFDC19|-|Xp22.31|protein-coding,0,1.5308049950797325e-06
19,0.0011351196463557384,0.0010511244316336922,0.0016509171994544814,0.0013078571760220554,0.0013619875907797284,0.0007420577175575449,0.0024567915080803736,0.0012483414984026363,0.0016157621408950298,0.0012912673592451983,0.0007536201221167166,0.0014590938829951888,0.0012377384898807045,0.001943700457551939,0.0006692510593865663,0.0007482950256430856,0.0006725198498483202,0.0009240652332965275,0.0006817289846561182,0.0008726933281319566,0.0006407794500316022,15843929,15873137,AP1S2|DC22|MRX59|MRXS21|MRXS5|MRXSF|PGS|SIGMA1B|-|Xp22.2|protein-coding,0,0.001164986292950724
20,0.0007581186567281407,0.0008785782281488574,0.0008111790737218269,0.0008531809101772478,0.0007596597453223203,0.0008414601078704675,0.0007295015533123427,0.0007460694024775158,0.0009177594194182972,0.0005223092324635371,0.0006871670764044172,0.0008438270736269973,0.0009468840054037069,0.0006507456247740974,0.0005116406794573041,0.0011359018327072327,0.0010034000108187545,0.0010523485473313936,0.0006039140371379771,0.0009400900701818443,0.0009941084518410523,55026756,55034306,APEX2|APE2|APEXL2|XTH2|ZGRF2|-|Xp11.21|protein-coding,0,0.0008184687494916823
