,WT_1_1,WT_2_1,WT_3_1,StartPos,EndPos,Gene_ID,labels,mean_value
0,0.0014105472741466987,0.0012572374724135929,0.001279611186148449,100627108,100639991,ENSG00000000003,1,0.0013157986442362468
2,0.0026082810081215152,0.0029212327784042848,0.0027839515107327467,2691187,2741309,ENSG00000002586,1,0.0027711550990861824
4,0.0013814587870161774,0.0014996633536612158,0.0014275514715662698,11111301,11123086,ENSG00000004961,1,0.0014362245374145543
5,0.005280435879100746,0.00624890975889964,0.0055908867782932265,119468422,119471396,ENSG00000005022,1,0.005706744138764537
7,0.0018442839730686345,0.0019244889563031155,0.0018302981890670844,24149173,24216255,ENSG00000005889,1,0.0018663570394796113
8,0.0041876387618636594,0.0042207887848762626,0.004028052216399218,120426148,120469365,ENSG00000005893,1,0.004145493254379713
18,0.0011802235907544965,0.001384736062210968,0.001261729531806067,21839617,21885423,ENSG00000012174,1,0.0012755630615905106
20,0.001621330154132761,0.0015955063669357207,0.00152407878647475,154401236,154412112,ENSG00000013563,1,0.0015803051025144105
24,0.0028654070215081485,0.0026639874033710224,0.0025648801094342428,119538149,119565409,ENSG00000018610,1,0.0026980915114378046
25,0.005387833681423414,0.005443803482713632,0.005188091833747694,136146702,136211359,ENSG00000022267,1,0.0053399096659615805
35,0.0010866178095386315,0.0015852732977300918,0.0013228581599645675,10015254,10144474,ENSG00000047644,1,0.0013315830890777635
52,0.0016083620690787725,0.0016270570054799148,0.001781363613722252,48922024,48958386,ENSG00000068308,1,0.0016722608960936464
53,0.001165989826664688,0.0017689540872189592,0.0015645397804113826,49028726,49043410,ENSG00000068323,1,0.0014998278980983433
55,0.004982965298232571,0.005007814902289684,0.004716492150360206,109624244,109733403,ENSG00000068366,1,0.004902424116960821
58,0.002494262678987188,0.002952092015027472,0.0027629160095560433,48476021,48486364,ENSG00000068438,1,0.002736423567856901
59,0.0016667547799478555,0.0019185113120952218,0.0018661520432627894,44523639,44542859,ENSG00000069509,1,0.001817139378435289
61,0.0011808962030144577,0.00139288624381186,0.0012201637453402663,154428633,154436516,ENSG00000071553,1,0.0012646487307221947
67,0.005268689548753804,0.005614918195867879,0.005407345535051306,53431258,53434370,ENSG00000072506,1,0.005430317759890997
74,0.0013897790895921903,0.0015012169010032053,0.0013518599167447792,119399336,119454478,ENSG00000077713,1,0.001414285302446725
75,0.003045439750217946,0.0032186756763131754,0.003001713796178014,119474802,119591083,ENSG00000077721,1,0.003088609740903045
88,0.001516672404658684,0.002431704537032914,0.0017681531483327755,53532096,53686728,ENSG00000086758,1,0.0019055100300081245
90,0.008450089811584734,0.00852742468633637,0.008463169413244409,70133447,70166324,ENSG00000089289,1,0.008480227970388506
95,0.001754405027510444,0.002023164292925615,0.001784980325183227,70290104,70420886,ENSG00000090889,1,0.0018541832152064285
100,0.001517011145316988,0.002174610903927127,0.0018534968574947244,3308565,3346652,ENSG00000101825,1,0.0018483729689129464
102,0.004795138621419494,0.004488784351402086,0.004627008540127079,108084207,108091549,ENSG00000101843,1,0.004636977170982886
107,0.011283824749165308,0.011642072241646834,0.010945435498111073,119236245,119244466,ENSG00000101856,1,0.011290444162974403
115,0.0019559813508076233,0.0019595877073431316,0.001753781828745405,12791355,12824222,ENSG00000101911,1,0.0018897836289653866
116,0.003616465592959287,0.003276032512383403,0.0035596873535335256,134887632,134915257,ENSG00000101928,1,0.0034840618196254054
121,0.005748739095464319,0.005826649288746904,0.0056386383805006185,38149336,38220924,ENSG00000101955,1,0.005738008921570614
123,0.002036773006041061,0.0019849634355189093,0.0019721802831176144,123859712,123913972,ENSG00000101966,1,0.001997972241559195
124,0.0057709025605336625,0.006021949324143435,0.005553161667154825,123960212,124422664,ENSG00000101972,1,0.005782004517277307
125,0.0016928986926713606,0.0017132180442438415,0.0016235907209653938,139726346,139945276,ENSG00000101974,1,0.0016765691526268653
131,0.005468830156354034,0.00586662918639793,0.00593943856791829,49171898,49175235,ENSG00000102007,1,0.0057582993035567515
134,0.007515407535986814,0.007322685693722134,0.007533661965754175,115561174,115650861,ENSG00000102024,1,0.007457251731821042
138,0.004830750244272677,0.005280500384339286,0.004882296951926451,129446501,129523500,ENSG00000102038,1,0.004997849193512805
142,0.0012152455979644312,0.00148571445325919,0.0013308858769442715,16839283,16870362,ENSG00000102054,1,0.0013439486427226307
155,0.012851309741453196,0.011992524928312574,0.012588586391867763,77910739,78129295,ENSG00000102144,1,0.012477473687211178
157,0.009211688592768098,0.00836926365684722,0.008381526768561959,77825747,77899271,ENSG00000102158,1,0.008654159672725759
158,0.004699945810669887,0.005163002230913878,0.004777977962314077,21940709,21994837,ENSG00000102172,1,0.004880308667965947
160,0.0024311616037360076,0.0024934906881203425,0.002632242788485615,154483717,154486615,ENSG00000102178,1,0.002518965026780655
162,0.0021310521310158054,0.0020865008987086334,0.0019634809744814444,46837043,46882358,ENSG00000102218,1,0.0020603446680686277
