,101_19YR_F,102_19YR_M,103_19YR_M,104_19YR_M,105_20YR_M,106_20YR_F,14_1YR_M,15_12YR_M,79_1YR_M,80_2YR_F,81_3YR_M,82_3YR_M,83_5YR_M,84_6YR_M,85_7YR_M,86_7YR_M,87_8YR_M,88_8YR_M,89_9YR_F,90_10YR_M,91_10YR_M,92_11YR_F,93_11YR_F,94_12YR_M,95_13YR_M,97_16YR_F,98_17YR_M,99_17YR_M,StartPos,EndPos,Gene_ID,labels,mean_value
2,0.001377947967923317,0.00129536743057741,0.001352639667998172,0.0012435992769845472,0.0013001996793078389,0.0012478393788855418,0.001357974931861677,0.0010404737796526741,0.001050177687597199,0.0013072480778779953,0.0011644826709789654,0.0013021480277155347,0.0007488234386081487,0.0016089557800004267,0.0012745834586569034,0.0016018491279407687,0.0012323022007065224,0.001414675676746996,0.001384957245656489,0.0011984597719314595,0.001315344289755437,0.0011595048231367148,0.0013657078789414043,0.0012891744907342834,0.0013694169980930297,0.001439038599426386,0.0011841237130625296,0.0012770448089493795,27035525,27150016,ABI1|ABI-1|ABLBP4|E3B1|NAP1BP|SSH3BP|SSH3BP1|-|10p12.1|protein-coding,1,0.0012822878885609909
12,0.005079039766209621,0.005253729288995972,0.005408968181736356,0.005472955476077135,0.005312982654176369,0.004976842886820089,0.005053489942425181,0.003188754364531819,0.005883056009359839,0.005729907475326717,0.00551843274808797,0.00575098395488548,0.003582564747574025,0.006291460671570591,0.006867743259243924,0.006430937597614329,0.006534093772724133,0.006054401720670277,0.005127132511305372,0.006486373958919987,0.00546260548647669,0.006313495877578998,0.00509157812032892,0.005497511381889835,0.0057840039795518244,0.005124955186424474,0.005989102618507542,0.004726603048173221,104238986,104262512,ACTR1A|ARP1|Arp1A|CTRN1|-|10q24.32|protein-coding,1,0.0054997752388280955
13,0.0015189002159303837,0.0015816099402783284,0.002592571412831771,0.0019807793504319606,0.0027278111512615308,0.0018899721360997658,0.0007425657858445428,0.0011374562909194784,0.0017744574999097457,0.002197129463841957,0.0020060154812064314,0.0031998167196256528,0.0012647328170451422,0.005361719580379639,0.003309938281821013,0.003223505238459835,0.0020627237204089914,0.003683223637156414,0.0027176600131433542,0.0025199811239537953,0.0020116762509371873,0.0026434319749286026,0.0024986434833458968,0.0037436211184023013,0.0036675077143392943,0.004760770195984703,0.0016454027082318532,0.0012391398896489524,127700954,128077127,ADAM12|ADAM12-OT1|CAR10|MCMP|MCMPMltna|MLTN|MLTNA|-|10q26.2|protein-coding,1,0.0024893843998703047
18,0.002333719025819037,0.0011355074764995115,0.0012708017148087582,0.0015123793796379876,0.0011819407999289799,0.0014436473028958778,0.0017581277775250038,0.0018789484825839562,0.00173646295303853,0.001284783156026997,0.0014079776851367118,0.0014985700546713834,0.0009654151310131838,0.0016859393101439878,0.0014856645308901166,0.0014416073918360162,0.0016480310908309687,0.002787472058927442,0.0018173025398310475,0.0014742243901041422,0.0018094615101123684,0.0012527897290994711,0.0023954134130031103,0.0014190589026217637,0.0014632585564017446,0.001334921725621415,0.0012392170295992032,0.0017069848658292205,111765562,111895323,ADD3|ADDL|CPSQ3|-|10q25.1-q25.2|protein-coding,1,0.0015846295708727834
20,0.0038225554718100785,0.011355433195385425,0.011589902497886634,0.010710161475164372,0.005275804006481234,0.004166256698187138,0.008182235838925796,0.003209222074010218,0.006578384257359078,0.005718637447642269,0.0022615941126456407,0.007231282193095854,0.004922057351452387,0.002150846514563341,0.002637885185438282,0.0025361867077612846,0.002963328340755628,0.006345316326548198,0.008978942513168449,0.009059694467433295,0.0021724616302271657,0.0060788727199662645,0.008104281402288232,0.005716798881076521,0.005831495571104653,0.0038989304493307836,0.017080777323335853,0.007132933675095316,88728188,88730666,ADIRF|AFRO|APM2|C10orf116|apM-2|-|10q23.2|protein-coding,1,0.006275438511719264
21,0.0015114975791111487,0.0015351573616942575,0.0015204363900411305,0.001191747997338805,0.0015485433260034427,0.0015488085792620847,0.0016833155429463698,0.0007986232436664874,0.0015296660650863415,0.0016457245760008968,0.001541235006441783,0.0013630775079912845,0.0006919458362559006,0.001755151169625437,0.001470308103677383,0.0013492289239093657,0.0008460596334030485,0.001067060297567037,0.001437425297987569,0.0009723769805199232,0.0013277882738061948,0.001302336961181113,0.001753829875258138,0.0017470067993875025,0.001595763141166929,0.00175460086042065,0.0013877266756801203,0.0015844958210528412,75910943,76469061,ADK|AK|-|10q22.2|10q11-q24|protein-coding,1,0.0014093192080886856
34,0.0013228814144414566,0.0019972458208808645,0.002305271036529006,0.0010681665946845938,0.0011360952343615592,0.0009167244111631453,0.00025036731679760154,0.000290501197456648,0.000922033717706826,0.00026462025003082354,0.000733117785903279,0.002299156720532216,4.2560713219507934e-05,0.0024312865172291705,0.005147753609475866,0.002426761246632001,0.00038558312877393135,0.0037253614458869536,0.00032897540002974383,0.0010657209034990712,0.0006871507290467398,0.004850898103751904,0.0011811625017922889,0.00038227809555526525,0.0011993149033485222,0.0009242053059273423,0.0016254441340698407,0.0005416893745210993,5005454,5020158,AKR1C1|2-ALPHA-HSD|20-ALPHA-HSD|C9|DD1|DD1/DD2|DDH|DDH1|H-37|HAKRC|HBAB|MBAB|-|10p15.1|protein-coding,1,0.0014447259861874024
40,0.0027023401245727806,0.0018016861999281706,0.00177599925622892,0.0021405659468912894,0.0024092411700306726,0.0022889848622191893,0.0031392953074045995,0.002133232673860759,0.0024211359037602334,0.0018893825745386482,0.0019109666927578292,0.0021716756626080982,0.0025326409752598027,0.0019435775243577722,0.002054550357180027,0.002383737882834879,0.003313961227463806,0.003031423258346992,0.002434104718116635,0.0023012134481389924,0.0024046481619059445,0.002384906635005128,0.0020664756958424014,0.002492797356225331,0.002132022362450956,0.0019522287284894837,0.002100050100484725,0.0021445761008641474,97365686,97416567,ALDH18A1|ADCL3|ARCL3A|GSAS|P5CS|PYCS|SPG9|SPG9A|SPG9B|-|10q24.1|protein-coding,1,0.002302050746706008
53,0.004426701280792136,0.004927772692048795,0.005358867738661919,0.005863125017667984,0.005118098500898605,0.005077887032923784,0.008027940638223255,0.005427704989530225,0.005981337106617116,0.004512218550781129,0.0038692552610145718,0.003859218465216611,0.0049096902332132104,0.0037295221060406336,0.004125713576526557,0.005052485256786164,0.0068726683548921055,0.0053442633121868754,0.005217759147149964,0.0056501648072684214,0.004202272711579786,0.006006336236148249,0.004695598527875759,0.005200866857578997,0.004648848389791499,0.0036414764579349905,0.0055665292288217365,0.005882983864016242,81914880,81965433,ANXA11|ANX11|CAP50|-|10q22.3|protein-coding,1,0.005114189512220975
55,0.0034888325180613003,0.0030768381564921423,0.004211979673823704,0.004187406548650333,0.004319851065091307,0.00331505746187991,0.004186988710922385,0.0026919182515857698,0.004326401197879737,0.0033663572693444204,0.0030944186176814375,0.004102725557668137,0.0021234676263104757,0.004242159099148994,0.004649856358073911,0.004360052628126824,0.003912260384767309,0.004324252592466209,0.004893339995897953,0.0036562624133130222,0.0035480530134966385,0.004135658495578387,0.003949126894915176,0.003731247272222485,0.005141040893913526,0.003692937380497132,0.0036422803710356322,0.0039464636535344365,75134859,75173843,ANXA7|ANX7|SNX|SYNEXIN|-|10q22.2|protein-coding,1,0.003868472646513525
