,WRN_1_L1_ASO_1,WRN_2_L1_ASO_1,WRN_3_L1_ASO_1,StartPos,EndPos,Gene_ID,labels,mean_value
0,0.0013041774749869657,0.0010858276944769219,0.0010611819587839381,17577198,17607972,ENSG00000002549,1,0.0011503957094159418
3,0.0016353611052903657,0.0016851044906743876,0.001672298289817949,109560209,109688719,ENSG00000005059,1,0.0016642546285942342
7,0.002839218645391944,0.00303349270447012,0.002927878827155955,41990502,42090461,ENSG00000014824,1,0.0029335300590060064
10,0.0027172876077729007,0.002871421017935654,0.002572258591425926,67612652,67701155,ENSG00000033178,1,0.0027203224057114933
12,0.0010935029129634903,0.0012159447407752942,0.001061220356469384,39287456,39366375,ENSG00000035928,1,0.001123556003402723
13,0.0011217326075245782,0.0013058863205371583,0.0011599395817739897,177430774,177442437,ENSG00000038002,1,0.0011958528366119087
14,0.004385173306606601,0.004618787570158229,0.004808242011975361,25160663,25279204,ENSG00000038210,1,0.004604067629580063
17,0.00342429148895677,0.0034882514199931383,0.0034486924921489355,56977722,57031158,ENSG00000047315,1,0.0034537451336996146
22,0.001937087220992737,0.0017363504193501742,0.0015162318648032093,158769026,158908050,ENSG00000052795,1,0.0017298898350487067
23,0.0031994841026875263,0.0033262323850235228,0.0031547583383535562,165327667,165343164,ENSG00000052802,1,0.003226824942021535
25,0.0017812988418569116,0.0018438123928514341,0.0017578135433634692,169729470,169757944,ENSG00000056050,1,0.0017943082593572717
30,0.0018740204466741464,0.001745697537162395,0.0014966565002760542,41359607,41700044,ENSG00000064042,1,0.0017054581613708652
34,0.004554133931347264,0.004024726554261161,0.0037993337416817262,10068089,10116972,ENSG00000071127,1,0.004126064742430051
43,0.0008841566975919161,0.0009697736194404202,0.0008284172090086545,128809700,128875224,ENSG00000077684,1,0.0008941158420136637
44,0.001988393372784713,0.0018174722158400122,0.0014867767812519095,39698109,39782792,ENSG00000078140,1,0.0017642141232922116
47,0.0022704571144536554,0.0023381239389118806,0.0019367431860619288,71062667,71572087,ENSG00000080493,1,0.0021817747464758217
51,0.018495508942708988,0.01817946329321885,0.015299362006059337,186587794,186726722,ENSG00000083857,1,0.01732477808066239
53,0.00155480236015026,0.0014464533649973432,0.0014924686480134773,56963350,56977606,ENSG00000084092,1,0.0014979081243870268
54,0.0013526861264817802,0.0012693848712794801,0.0011345678079947318,56907876,56966808,ENSG00000084093,1,0.0012522129352519975
60,0.001388394980650729,0.001103192808443613,0.00103450317130643,2843844,2930076,ENSG00000087274,1,0.001175363653466924
63,0.0011145069103448988,0.0012728386279575571,0.0011408841756601294,55853648,55905086,ENSG00000090989,1,0.0011760765713208618
64,0.0014029461024319008,0.0012743816245396652,0.001226996830463876,25747433,25863760,ENSG00000091490,1,0.0013014415191451474
65,0.0017311173373520876,0.0017512077761798173,0.0017585648430865264,41935129,41960803,ENSG00000109133,1,0.0017469633188728106
