,125_71YR_F,126_75YR_M,127_78YR_M,128_80YR_F,163_67YR_F,164_67YR_F,165_68YR_M,167_66YR_M,168_68YR_M,169_70YR_M,170_69YR_M,44_61YR_M,45_62YR_F,46_62YR_F,47_63YR_M,48_64YR_M,49_66YR_M,50_67YR_M,51_67YR_M,52_68YR_M,53_68YR_M,54_69YR_M,55_69YR_F,StartPos,EndPos,Gene_ID,labels,mean_value
3,0.0021768014044891387,0.0028313082963919967,0.0026595257901953872,0.0026927025041191825,0.0028856867741167795,0.0018458419645132154,0.00277347335709253,0.002259263775885074,0.0026928689508915592,0.0023452970675629102,0.002711578424451107,0.003005051263094296,0.0031204608819648885,0.0026818280040729107,0.0031173902112293043,0.002332753164488096,0.00290329522931447,0.003276848585900132,0.0032581225176674467,0.0032936539015562018,0.002598593563898222,0.0023342698401044807,0.0024669461146625805,23721777,23761407,ACOT9|ACATE2|CGI-16|MT-ACT48|MTACT48|-|Xp22.11|protein-coding,1,0.002707111373376605
32,0.0032654599360562656,0.0031100163558453733,0.003097419705607063,0.003352247532887761,0.0026351619208912123,0.003085377993274551,0.0032012835511259696,0.0035748177526870057,0.0037378795965313173,0.003758593474363864,0.0023041477023241024,0.002521866335823221,0.0039039407120561686,0.0024319189289354814,0.0024716910496476586,0.0038182117307267957,0.003005156239197142,0.0030339727943570673,0.0023466776185634653,0.0022932814655352487,0.0037096046805453397,0.0035166053301263923,0.002831484436165181,100910268,100914876,ARMCX2|ALEX2|GASP9|-|Xq22.1|protein-coding,1,0.003087252906229289
33,0.003333114350295375,0.004119374454310525,0.0035136252294605376,0.003044666768883214,0.0027161618212874633,0.0029631479091155976,0.0038254597091155872,0.0032038153274927634,0.003603415434536067,0.003716219508022389,0.0030704834587547587,0.0025477586109609322,0.003087582549228755,0.0024481746968135795,0.001991322734594668,0.0037045064712981812,0.0035028698544546702,0.0029062161788055525,0.002012110527343848,0.002253381133404489,0.0033684280384253585,0.003993820502983757,0.0023721096600429793,100878351,100882831,ARMCX3|ALEX3|GASP6|dJ545K15.2|-|Xq22.1|protein-coding,1,0.003099902823027437
52,0.00471219183079136,0.0038941388419969024,0.006027256912540027,0.006704288149688065,0.0029698221545283697,0.003848011734833385,0.008476765470449574,0.006200980410209153,0.004850010269700372,0.005269893840751384,0.006292506883296851,0.0044994791113812434,0.004692027121734104,0.003933428706733149,0.003791989082241221,0.00454342278727389,0.004765002649617205,0.004012880710271494,0.004213441783823582,0.003737693241308419,0.004850982831062257,0.004488924781995907,0.003947610219774925,153656978,153664863,ATP6AP1|16A|ATP6IP1|ATP6S1|Ac45|CF2|VATPS1|XAP-3|XAP3|-|Xq28|protein-coding,1,0.00481403258808708
53,0.00965127346543339,0.011007655174362726,0.009873402213548982,0.007970407688836278,0.007369423196051219,0.008388225851755964,0.011049894915881474,0.009158057028943976,0.009822607033753082,0.010919680486697862,0.008783252304687447,0.007966568224442905,0.0057124296627234054,0.008065850434043016,0.005753084558915888,0.009872445548781842,0.009877235428592764,0.00791034605456175,0.006139907142606719,0.008070335989437868,0.009055308725645413,0.011220398958088823,0.0070063426586612606,40440216,40465888,ATP6AP2|APT6M8-9|ATP6IP2|ATP6M8-9|ELDF10|HT028|M8-9|MRXE|MRXSH|MSTP009|PRR|RENR|XMRE|XPDS|-|Xp11.4|protein-coding,1,0.008723657945498004
59,0.00761555626624776,0.005927667642162383,0.009253643200144391,0.009231043951666885,0.005011437708515953,0.007330078522581124,0.01570180339656462,0.010924579920772148,0.008333416439655678,0.00929689353506967,0.010793984089537296,0.009113668222575774,0.008502571690798068,0.008404979384603339,0.008198224638768951,0.007001958994727993,0.00999140592607455,0.009166191610833208,0.007140903831995232,0.00810282908169287,0.008803222123289151,0.007146129180027485,0.006297551430588232,152965947,152989582,BCAP31|6C6-AG|BAP31|CDM|DDCH|DXS1357E|-|Xq28|protein-coding,1,0.008577814816908383
66,0.008735360579979841,0.008181074304535145,0.008717992827172826,0.009586422331873954,0.008299302052600184,0.008538032235389802,0.010139547610910906,0.010991499246473661,0.009635589795111353,0.007270647508195511,0.009260078872748271,0.008580658718047668,0.00888844047499797,0.007236152304586752,0.008674303951008969,0.010506039544621862,0.009250682509797837,0.007009138645941792,0.006717686478581196,0.006854067201838102,0.008797892809398094,0.010399878395440243,0.006585741270573969,102631251,102633092,BEX3|Bex|DXS6984E|HGR74|NADE|NGFRAP1|-|Xq22.2|protein-coding,1,0.008645923029122865
69,0.03312199235649504,0.04769994414282879,0.04138832790012675,0.026546609814402482,0.037174251061856435,0.014369860595284733,0.010811820772963455,0.022559072876934413,0.034460027222269596,0.029617136485185998,0.029384565767574082,0.041990049320142095,0.027152715610280116,0.033353005303771256,0.028223783010769686,0.042273874513787606,0.05068728998219022,0.028723715359840234,0.032713449296557666,0.019025940055281715,0.03405320967984398,0.023617549523353553,0.015713236472902153,152760347,152775012,BGN|DSPG1|MRLS|PG-S1|PGI|SEMDX|SLRR1A|-|Xq28|protein-coding,1,0.0306374533532453
84,0.0028053892928845193,0.0016911580629779361,0.002621544655710538,0.00294182947341718,0.0020756877701542643,0.0023009440690227325,0.004487607186102256,0.0032998803343567288,0.002856803175057436,0.00268802767767778,0.0033093079774277417,0.002559827918495244,0.002117310433153066,0.0024501365998333504,0.0022457014490498126,0.0023103385391844648,0.0025586295765392653,0.002540026621556273,0.0022323838906947277,0.0019885969986456606,0.0024854713350786,0.0030105400958980177,0.0018766148623959851,149934809,150067289,CD99L2|CD99B|MIC2L1|-|Xq28|protein-coding,1,0.0025849459997962427
86,0.003302793621962603,0.002610484948871831,0.004070963993990305,0.004058555597421578,0.0023581945195362873,0.0027771010508340203,0.0030831505586907007,0.0035882857930797634,0.0027063153670910845,0.003114486526098398,0.003197554963309131,0.0037099194543930266,0.003129222415688529,0.0042751735279865,0.0037518562702055437,0.0027111903819930913,0.0034910732621721854,0.0033164393145215833,0.0032513109720977056,0.003456810705219605,0.0032611378889582147,0.0025530753234774355,0.0026779315484507724,47082417,47089394,CDK16|PCTAIRE|PCTAIRE1|PCTGAIRE|PCTK1|-|Xp11.3|protein-coding,1,0.003237088174176082
90,0.0043974337938130666,0.003712500607999583,0.00404715966179228,0.005062719369849472,0.0022432269189738663,0.003395425036019212,0.006143518325983171,0.005921623791125004,0.004191135875923643,0.004355907780653316,0.005629185404830176,0.004854750010083545,0.0041526960097356,0.004956140723753498,0.0040762886972725825,0.005946186619382688,0.004825319138852866,0.005384635282507,0.004212540255733469,0.004148449383218888,0.005460032911027104,0.006000295738980362,0.0035579933051283334,151995871,151999301,CETN2|CALT|CEN2|-|Xq28|protein-coding,1,0.004638050636636467
109,0.008207841786027032,0.006778499369834039,0.00781162965410401,0.008165115727133136,0.008657687418353406,0.008317328676416814,0.011491567654945583,0.008680467690328927,0.009226818742645792,0.0075856197713754575,0.00858205575580969,0.008721157836524015,0.008750243087398286,0.007950845547503138,0.00947624535792035,0.007500847621024832,0.008963153395295189,0.009218222319021498,0.008046839392770747,0.009764421130623318,0.008944700324132892,0.007322435110628094,0.006914245163019844,77154961,77160881,COX7B|APLCC|LSDMCA2|-|Xq21.1|protein-coding,1,0.008481651675340698
140,0.006695311848175244,0.00594300551501583,0.0070149780032100935,0.006797296930999899,0.008335778136778627,0.006594834754149371,0.005407718544529206,0.005764847383428061,0.0066362546083389515,0.005392710363516514,0.005105889322158854,0.004594486224535953,0.007565810183088054,0.0066302979672909655,0.005792604656263997,0.005718123247361277,0.005310825845574605,0.005433704090798424,0.00492655050310276,0.005766585624878213,0.005549122950790825,0.006942317456148424,0.006747168665350654,41193415,41209540,DDX3X|CAP-Rf|DBX|DDX14|DDX3|HLP2|MRX102|-|Xp11.4|protein-coding,1,0.006115922731542817
164,0.0037811185811714256,0.0032069811273777774,0.0033971426972382005,0.0038419144538542984,0.0035122601971819766,0.002658783819978936,0.0030425272745573475,0.0036991866881888754,0.00398506954766592,0.003537886291387412,0.004188424834583435,0.003717140407618683,0.0041540508860846165,0.004068613167190665,0.005117188832335324,0.0033669813854153474,0.003326536444597355,0.003993825820934984,0.0041588492494778655,0.00443525771120831,0.004148518928365473,0.0030493170601063623,0.0032077489257931278,153607597,153609883,EMD|EDMD|LEMD5|STA|-|Xq28|protein-coding,1,0.003721535840535379
178,0.01598108646595101,0.00945359248175292,0.012906708917769363,0.015278270065635853,0.011367578279610192,0.010757738016770303,0.015614409090936485,0.014148807746985185,0.012958535398418994,0.013999610703346661,0.011653053257867663,0.014642133168613075,0.013447509064348587,0.012583552544854475,0.010154724755286861,0.014978301336999757,0.013524639183273703,0.011668799563692399,0.013127851708646157,0.01177415345371448,0.01310136405297338,0.013881222539446514,0.010211866180284615,134166333,134167575,FAM127A|CXX1|MAR8C|MART8C|Mar8|Mart8|-|Xq26.3|protein-coding,1,0.012922413390312115
179,0.0030265037199099,0.002650825655554868,0.0029512082073951916,0.002703979430885578,0.0031876334995939028,0.0020927243753525644,0.0024815161043596494,0.0033621700211732327,0.0032475336191219693,0.003054551156594013,0.0027302896006880773,0.0033431981870043264,0.002657996421500587,0.0031656706583296375,0.003205621126239037,0.0029326164135119715,0.003283863554253758,0.002975327176399108,0.002566550302763184,0.002628977576704685,0.003447060556591531,0.003208871342168966,0.0022602403042778006,134184963,134186221,FAM127B|CXX1b|MAR8A|-|Xq26.3|protein-coding,1,0.0029202143047988498
191,0.004092576402820983,0.004349232439264912,0.004988224261354217,0.0050749274190094226,0.004851423711733164,0.004116414838844013,0.005278857147678897,0.004940982100027347,0.004715546107705121,0.004472152939654261,0.005169733500417968,0.005324111969751221,0.00543160895811725,0.004752663353417303,0.005596229598898585,0.004227877091251898,0.005290104874782762,0.005411094921585675,0.005301385849014079,0.004814310866450527,0.004676422662857045,0.004234341086313386,0.0043594811761192565,153672473,153679002,FAM50A|9F|DXS9928E|HXC-26|HXC26|XAP5|-|Xq28|protein-coding,1,0.004846508838133447
