,HGPS_917_SCR_1,HGPS_478_SCR_1,HGPS_297_SCR_1,StartPos,EndPos,Gene_ID,labels,mean_value
1,0.007281469554726602,0.008374558364093981,0.00747854145769008,23581014,23596316,ENSG00000004779,1,0.007711523125503554
5,0.0018023512993847464,0.0018849530443525303,0.0017041652743226348,57428187,57447420,ENSG00000005194,1,0.0017971565393533038
9,0.00661966444763727,0.006519476686883744,0.005596528969045229,19501693,19522123,ENSG00000006007,1,0.006245223367855414
10,0.0008736378510556763,0.0010287396840894223,0.0011413382394940756,3263800,3301401,ENSG00000006194,1,0.0010145719248797248
12,0.02074806947018023,0.019910170092334426,0.017261494799989556,3018445,3022383,ENSG00000006327,1,0.01930657812083474
14,0.0008518730563635493,0.0008230179637208526,0.0005712648917272378,58059,76355,ENSG00000007384,1,0.0007487186372705466
17,0.002612029162068481,0.002978380858928111,0.0026075992907827156,1349240,1351878,ENSG00000007520,1,0.002732669770593103
22,0.001236449585498582,0.0010138138394434706,0.001338122467492763,2088708,2135898,ENSG00000008710,1,0.0011961286308116053
24,0.001049676902897392,0.0013501488674251532,0.0011699747426164283,21158377,21180616,ENSG00000011638,1,0.0011899335043129911
25,0.0038956618116859376,0.005152861860739399,0.003847771311701659,29820394,29848039,ENSG00000013364,1,0.004298764994708998
27,0.0011961217614359805,0.001111470489915909,0.000999330061673919,5033702,5087379,ENSG00000033011,1,0.0011023074376752696
28,0.006334181597937428,0.006378891404454819,0.008455269373628699,75566375,75577881,ENSG00000034713,1,0.007056114125340316
36,0.0009769568608052716,0.0007761170050301294,0.0009578532024453546,11976734,12574287,ENSG00000048471,1,0.0009036423560935852
38,0.008496205480231608,0.008044923246592946,0.00929923498863855,56932142,56944864,ENSG00000051108,1,0.008613454571821035
39,0.008062121933581669,0.00890589488768967,0.004888895022895399,88643275,88651083,ENSG00000051523,1,0.007285637281388912
49,0.004961925128675652,0.0053352343522778305,0.004464174811317365,75627474,75648643,ENSG00000065427,1,0.004920444764090283
51,0.002502528076628674,0.0025885147791187215,0.0025034263869959154,20702816,20742084,ENSG00000066654,1,0.002531489747581104
55,0.0034851668099433373,0.0031891254185802587,0.003959753147079727,67028984,67101058,ENSG00000067955,1,0.003544681791867774
56,0.0032453412624569066,0.0028551954306338455,0.003123759702167607,46656132,46689518,ENSG00000069329,1,0.0030747654650861195
57,0.007827999540958452,0.00809386143997366,0.00895712617948028,46955362,46973674,ENSG00000069345,1,0.008292995720137464
59,0.002749971217926745,0.003039729636757009,0.002796694216763035,58113592,58129381,ENSG00000070761,1,0.0028621316904822633
60,0.0017723361682753928,0.001987734021060332,0.002082467531097126,58157907,58198106,ENSG00000070770,1,0.001947512573477617
64,0.003918805784944218,0.004006101052585852,0.0036754522158846657,1771890,1773150,ENSG00000074071,1,0.0038667863511382453
67,0.0012926002950525211,0.0014329404242639308,0.0011497647061779694,27459555,27549913,ENSG00000077235,1,0.0012917684751648072
72,0.0007149009025293221,0.0008878221288924514,0.000967683363689678,23603160,23641321,ENSG00000083093,1,0.0008568021317038171
73,0.0021594746605657716,0.002517352448639096,0.002185296202985269,50742050,50801935,ENSG00000083799,1,0.002287374437396712
75,0.0014753992794350485,0.0012334963002952593,0.001062187299076506,15060033,15094311,ENSG00000085721,1,0.001257027626268938
76,0.0013131228078093213,0.0012787949254741198,0.0009612825028686247,366969,371289,ENSG00000086504,1,0.0011844000787173553
80,0.04435341549082706,0.030708461034463525,0.047819730889477156,55389700,55506691,ENSG00000087245,1,0.040960535804922586
81,0.004051735773217923,0.0031442285999064242,0.0046125727100142224,55509072,55586666,ENSG00000087253,1,0.003936179027712857
83,0.0031168659256129013,0.0036065431471605765,0.003344102826680248,56451521,56479104,ENSG00000087263,1,0.0033558372998179088
84,0.0008030145772999945,0.0008993145566310956,0.0007305383517875524,57447425,57461270,ENSG00000088682,1,0.0008109558285728808
88,0.0011137394956517456,0.0006734621705975567,0.0009809478767151985,30092314,30096915,ENSG00000090238,1,0.0009227165143215003
91,0.0018240988570152408,0.0012617257453041346,0.0013572035772040879,1351931,1365737,ENSG00000090581,1,0.001481009393174488
93,0.0024554294548756136,0.0022662716690860173,0.0029011274612270196,70251983,70289707,ENSG00000090861,1,0.00254094286172955
94,0.003098033674721254,0.002345352681928018,0.0023601125875412506,74447427,74607144,ENSG00000090863,1,0.0026011663147301745
98,0.0017639961453842193,0.00238782886864469,0.002199471042390098,1782932,1789186,ENSG00000095906,1,0.0021170986854730026
101,0.0011682046762814568,0.0019579099599813347,0.001327708799051058,30985207,30989147,ENSG00000099377,1,0.0014846078117712834
103,0.001307957499726586,0.0009833126433871468,0.0010787614131094858,30833626,30894302,ENSG00000099385,1,0.0011233438520744062
109,0.0009052872885993865,0.0009351890501385663,0.0008274262456809429,67154185,67159909,ENSG00000102871,1,0.0008893008614729653
115,0.002477872290696685,0.002467525752733035,0.0022283504851958783,47461123,47701523,ENSG00000102893,1,0.0023912495095418664
