,107_31YR_F,108_31YR_F,109_32YR_M,110_32YR_F,111_33YR_M,112_33YR_M,114_37YR_F,115_37YR_F,117_37YR_M,118_39YR_M,155_22YR_M,156_25YR_F,157_29YR_M,158_24YR_M,159_23YR_M,160_26YR_F,162_21YR_M,16_24YR_F,17_25YR_M,18_25YR_F,19_26YR_M,20_26YR_F,21_28YR_M,22_29YR_M,23_29YR_M,24_30YR_M,25_30YR_F,26_30YR_M,27_30YR_M,StartPos,EndPos,Gene_ID,labels,mean_value
1,0.002484799462710361,0.002621397600981984,0.0022544863457555396,0.002026078979003309,0.0023941311834902407,0.0022860947984788722,0.002059881382558537,0.0021591176042242686,0.0024782132718975474,0.0022270206932981807,0.0024936285526320477,0.0028985075405146697,0.0023047210972256503,0.002557467752309906,0.0023650669918147786,0.0027474097664262503,0.0024906166035804163,0.0024350552157699633,0.0020858790615725323,0.0024387718217167287,0.0025847571178440835,0.002818673146138808,0.002703842290229088,0.0025083987823657783,0.0024732589526215492,0.0026723731335721703,0.0021305829377850864,0.0027644305462327383,0.0028156439427647387,41865129,41924993,ACO2|ACONM|HEL-S-284|ICRD|OCA8|OPA9|-|22q13.2|protein-coding,1,0.0024579416060522695
6,0.0030401074579277567,0.0027041028750870396,0.002532506984712854,0.00257678736566139,0.0027738554544041705,0.0030620841084847564,0.003015422432546811,0.0026856445519024665,0.0025601028505773736,0.0021489119264611915,0.0030180995406045253,0.0024145183972808073,0.0024157971605269983,0.002867365846129965,0.0026868673648380113,0.0024995376463002013,0.0027341430761065443,0.00286735350650305,0.002865862708621154,0.002644516965637952,0.0027445193844511597,0.0033223371176057124,0.0030156285188856144,0.0028900096001171585,0.0029838937898342185,0.003207223827180548,0.0029868190662869286,0.0032049462314500546,0.0029155445029110587,40742504,40762752,ADSL|AMPS|ASASE|ASL|-|22q13.1|protein-coding,1,0.0028063624227254295
11,0.0019158693423547578,0.0020481113531481817,0.0015868492476116326,0.0016827380991658023,0.0021174596291577783,0.0020666744982574285,0.0018586101926072495,0.0017898345033622173,0.002062273436934091,0.001916860638576544,0.0022067671410886994,0.0020201332247160105,0.0019348249404788837,0.002172855112660614,0.0016938412614378178,0.001986947727981285,0.0019063709902984935,0.002302725270240162,0.001864151340872856,0.0023499634161542604,0.002418635599004743,0.0021644821959515602,0.0022231830055362794,0.002270420080520821,0.0019123245273013941,0.002557568267893341,0.0018884262520721333,0.0021212400637338415,0.0021350107574959975,29723669,29784572,AP1B1|ADTB1|AP105A|BAM22|CLAPB2|-|22q12.2|protein-coding,1,0.002040522486779824
16,0.002885104185521786,0.0027079556052472128,0.002066175523468749,0.0013941327219110864,0.003004117586719575,0.002071765456499225,0.0025908970851358354,0.0021282045129765235,0.0033901602211178082,0.0015164584163442105,0.003011586901250579,0.0024720905447059432,0.002311582938973996,0.0032920121006340254,0.00221576929872197,0.002826464127068393,0.002329246265409859,0.0033578851607368766,0.0019704402050662226,0.0039287795150425905,0.004077731036654059,0.0034982049453425915,0.007083435199112975,0.004920808127794093,0.0028711898062008584,0.005443672752856671,0.0033367475739793074,0.004072152764719122,0.004795711841198845,39410265,39414825,APOBEC3C|A3C|APOBEC1L|ARDC2|ARDC4|ARP5|PBI|bK150C2.3|-|22q13.1|protein-coding,1,0.0031576028420831374
26,0.003551040348528263,0.004825287676939844,0.0047832316736067335,0.003972867200312575,0.003698473939205561,0.004505498043990206,0.003471651858726183,0.0037198381136095164,0.004345956249325181,0.003362576995635659,0.003623164440582087,0.0037249498638115427,0.0037504253805802587,0.0038500293951556426,0.004148044869358993,0.004612948286054534,0.004073375234414659,0.0032579980556811253,0.0034651872051188887,0.0033416005679201125,0.0034997084784897732,0.003587306640271701,0.004321517705777907,0.004181407831775813,0.004458682414041765,0.0031393228602185465,0.0035609789464446625,0.004363279675516307,0.003793190321963502,43192532,43253408,ARFGAP3|ARFGAP1|-|22q13.2|protein-coding,1,0.003896191043898536
30,0.001858800893859084,0.0020717414314639117,0.0016006419894377232,0.0017467764737290677,0.0017721259299436683,0.0018210357630907307,0.0017464860115970649,0.0017135003719056915,0.0018512283892376826,0.001715467854179924,0.001869941574501796,0.0016785313887923738,0.0016065286993314637,0.0017517773140767556,0.0016850012664520594,0.0017379926714080833,0.0015904948185520753,0.0019066565237588543,0.0018878774837308347,0.0018300429422100002,0.0019631123206830326,0.00219391027868044,0.0020679589603682237,0.001953232491227469,0.001830999025034152,0.0020476842375217606,0.0018326708298848182,0.002227677887736685,0.002067359650018271,30184597,30234293,ASCC2|ASC1p100|p100|-|22q12.2|protein-coding,1,0.0018492157059453002
32,0.019742587241971664,0.01803296036336896,0.019057807546795577,0.026137933250162768,0.020129432308050036,0.02379399335655404,0.023852845352695724,0.02199695221472211,0.019234142236845164,0.01778518204109366,0.020655649790959543,0.014254161343548755,0.014077711644395344,0.015718267728758097,0.019867274841951325,0.021493280319182278,0.014941520413674657,0.013008043879914005,0.018415104296612958,0.014250630023615323,0.01568370105802338,0.01552588275781774,0.01517355185667361,0.01615098551697763,0.021685468684040553,0.013172787590628203,0.017879455237633568,0.018589574005762673,0.01626233208158578,39916569,39918691,ATF4|CREB-2|CREB2|TAXREB67|TXREB|-|22q13.1|protein-coding,1,0.018157559275310868
34,0.006918388403526149,0.007769800914021703,0.008203033719264126,0.006187816115105516,0.005784279962577346,0.0059713121957595625,0.006255535095807627,0.00616710590412143,0.00664023117690017,0.00732272397445139,0.005311057393143107,0.006494053095141433,0.005663485416763608,0.005188980964964007,0.005643354576741653,0.009102201164589855,0.0069984169144879935,0.005503922769255364,0.007318185130943305,0.005356746087241158,0.005034408017209698,0.005490906547269617,0.006315611430859263,0.00596296239361513,0.0056550604676263395,0.005601725311338991,0.0052626740212504035,0.006199432805855396,0.00511832760642865,18074903,18111588,ATP6V1E1|ATP6E|ATP6E2|ATP6V1E|P31|Vma4|-|22q11.21|protein-coding,1,0.006222128950905517
35,0.003501711743861117,0.0043707939423780545,0.004610309447572192,0.004039826243985989,0.003173690474858826,0.003807018573215679,0.00338725493824167,0.0031697636487714835,0.0037025706721870197,0.0031251090110216775,0.0026239830997008768,0.00429843655969705,0.003616512250210198,0.0033152070641153395,0.0030170166220144603,0.003966675879648218,0.003078022068183707,0.0031017197673408265,0.0035299819181256555,0.0036859458032811017,0.0038348522277129957,0.003317899549575167,0.0038561131979378215,0.004011959485886208,0.0024612716676052793,0.003660384434382333,0.00366765105595491,0.004133894755943975,0.0032146399906306856,46067678,46241187,ATXN10|E46L|HUMEEP|SCA10|-|22q13.31|protein-coding,1,0.003561386761863466
61,0.0016388861312111988,0.0015374961825865329,0.001642020214915995,0.0012816328747053502,0.001727501485696497,0.0014971235449564065,0.0015048943033514747,0.0015225534436569853,0.0018130739958333128,0.0014542747378914619,0.001531894888036027,0.001433557112687635,0.0015076752916443569,0.0017435252597612881,0.0016835279339544329,0.001753996065571561,0.001824214855942923,0.0015389368839378364,0.0012940855407246473,0.001242523732997245,0.001458834775247291,0.002013371326700882,0.0028025968982756614,0.001903594921759808,0.0014345959626824068,0.0016845707588141984,0.0019264763035056855,0.0021774789644364786,0.0022375785656073895,39052658,39069855,CBY1|C22orf2|CBY|HS508I15A|PGEA1|PIGEA-14|PIGEA14|arb1|-|22q13.1|protein-coding,1,0.0016831894123135504
