,HGPS_917_L1_ASO_1,HGPS_478_L1_ASO_1,HGPS_297_L1_ASO_1,StartPos,EndPos,Gene_ID,labels,mean_value
2,0.002769260108266394,0.0023714934622822135,0.0028770716634987713,2691187,2741309,ENSG00000002586,1,0.0026726084113491266
4,0.0015298817685713978,0.0017322047742287883,0.0017211175087713173,11111301,11123086,ENSG00000004961,1,0.001661068017190501
5,0.004303225310586761,0.005592865119213312,0.004567434809806249,119468422,119471396,ENSG00000005022,1,0.004821175079868774
7,0.0014872559464945668,0.0015938451122291255,0.0014838297490244279,24149173,24216255,ENSG00000005889,1,0.0015216436025827066
8,0.0031685093681221876,0.003440632564932289,0.003023468785006258,120426148,120469365,ENSG00000005893,1,0.003210870239353578
20,0.002904509522273118,0.0022515830693209645,0.0021364838248708238,154401236,154412112,ENSG00000013563,1,0.002430858805488302
24,0.0022225858722862966,0.002183991878539078,0.0021769208729963524,119538149,119565409,ENSG00000018610,1,0.002194499541273909
25,0.0027207189353883913,0.011133464460273898,0.0017733539526915384,136146702,136211359,ENSG00000022267,1,0.005209179116117943
45,0.0028529424861445246,0.00209681936147671,0.0026182728802602072,46599251,46759118,ENSG00000065923,1,0.002522678242627147
52,0.0014002723920691477,0.0013839626932520862,0.001511117524164768,48922024,48958386,ENSG00000068308,1,0.0014317842031620006
55,0.004750304149441565,0.00518229437446439,0.004711581857330049,109624244,109733403,ENSG00000068366,1,0.004881393460412001
58,0.0022523248862763474,0.003474918944756162,0.0028891768625692307,48476021,48486364,ENSG00000068438,1,0.0028721402312005804
59,0.0015296547803365056,0.0015545898594902306,0.0012765785159690743,44523639,44542859,ENSG00000069509,1,0.0014536077185986034
61,0.0012299664261732049,0.001180377889386669,0.001215553247400282,154428633,154436516,ENSG00000071553,1,0.0012086325209867187
67,0.004769380559334837,0.005928479249084573,0.004592627972846433,53431258,53434370,ENSG00000072506,1,0.005096829260421948
74,0.0013500593523935907,0.0012593851302274148,0.0016252118990385724,119399336,119454478,ENSG00000077713,1,0.0014115521272198594
75,0.00274016075444251,0.0024775128612118244,0.0027467634273580462,119474802,119591083,ENSG00000077721,1,0.002654812347670793
88,0.0010224846955013982,0.0013440456654820675,0.0012956091702405023,53532096,53686728,ENSG00000086758,1,0.001220713177074656
90,0.006694712424411688,0.006039517541810617,0.005611865597316159,70133447,70166324,ENSG00000089289,1,0.0061153651878461555
95,0.001620591444874567,0.0017996608878609755,0.0017605954707742174,70290104,70420886,ENSG00000090889,1,0.0017269492678365867
100,0.002484639734183248,0.0008958384966413639,0.0009991225892302781,3308565,3346652,ENSG00000101825,1,0.0014598669400182965
102,0.004395495161361305,0.004020729483050423,0.0038240923131794037,108084207,108091549,ENSG00000101843,1,0.0040801056525303775
107,0.012096603692237095,0.010015157337815573,0.012288438447676887,119236245,119244466,ENSG00000101856,1,0.011466733159243186
115,0.0013112208211390084,0.0017129241590629414,0.0011872498165567474,12791355,12824222,ENSG00000101911,1,0.0014037982655862324
116,0.0029212132129279485,0.0029658773204176312,0.0023736966891535214,134887632,134915257,ENSG00000101928,1,0.0027535957408330335
121,0.0034765912595693172,0.0028936188721558074,0.0022635616153217106,38149336,38220924,ENSG00000101955,1,0.002877923915682279
123,0.0017700519305019246,0.0017485091044283697,0.0016017534963372218,123859712,123913972,ENSG00000101966,1,0.0017067715104225054
124,0.00411796360170602,0.0036234977241520363,0.0035132083590802858,123960212,124422664,ENSG00000101972,1,0.0037515565616461134
125,0.0020483466727745448,0.0033296483603273306,0.002464682776941883,139726346,139945276,ENSG00000101974,1,0.002614225936681253
131,0.00563875410220439,0.005916430248065432,0.003972962468608342,49171898,49175235,ENSG00000102007,1,0.005176048939626056
134,0.01839213837669241,0.020739098479368657,0.021088629690574394,115561174,115650861,ENSG00000102024,1,0.020073288848878486
138,0.004183735719719016,0.004409938293195797,0.004324974074834698,129446501,129523500,ENSG00000102038,1,0.004306216029249838
155,0.012498242283470452,0.013983470855720744,0.012231498702247424,77910739,78129295,ENSG00000102144,1,0.012904403947146209
157,0.008013416489209646,0.007969894860773444,0.0075671970506598725,77825747,77899271,ENSG00000102158,1,0.007850169466880988
158,0.005329766342551746,0.007543931750138449,0.009153148501867922,21940709,21994837,ENSG00000102172,1,0.007342282198186039
160,0.0018939708881428685,0.0018367430256905192,0.0018387989975312746,154483717,154486615,ENSG00000102178,1,0.0018565043037882206
162,0.0027773049576866856,0.0024883537744756976,0.0022916519476254994,46837043,46882358,ENSG00000102218,1,0.0025191035599292943
164,0.0012468454468448028,0.0013184826058662803,0.001322500770805932,47217860,47229997,ENSG00000102225,1,0.0012959429411723384
169,0.024344455197822294,0.029704736349916085,0.017881012016354808,47582408,47586789,ENSG00000102265,1,0.023976734521364396
176,0.008227309331407945,0.007303878351582329,0.008744482680522345,54807599,54816015,ENSG00000102316,1,0.008091890121170873
177,0.011799409837830335,0.010419068912750256,0.009838771153060854,48574449,48581162,ENSG00000102317,1,0.01068574996788048
187,0.0013652815760577643,0.0010828104108498292,0.0011992796356370776,101622797,101627843,ENSG00000102401,1,0.0012157905408482236
191,0.00497278338657789,0.00412365559272014,0.004711287541675594,70281118,70290514,ENSG00000120509,1,0.004602575506991208
195,0.0013806307214033378,0.0015768346744586702,0.0012596341520795596,23701055,23766475,ENSG00000123130,1,0.0014056998493138558
196,0.020668958826816006,0.019401701387159073,0.018110790832454902,23664262,23686397,ENSG00000123131,1,0.01939381701547666
200,0.023620665863015818,0.025161615385518234,0.023391180099815324,103675496,103688158,ENSG00000123562,1,0.02405782044944979
203,0.0010889713820817124,0.0015491358972604123,0.0010127188978841714,104166453,104195902,ENSG00000123575,1,0.0012169420590754322
204,0.0012836063740658845,0.0014786766406156276,0.0011314290773019183,13689128,13710504,ENSG00000123595,1,0.0012979040306611434
205,0.0032421555787729072,0.002754627502340012,0.0027807722454497676,132203024,132219480,ENSG00000123728,1,0.0029258517755208955
207,0.0041512076033511725,0.004294768030221406,0.0034986168266462007,155881345,155943769,ENSG00000124333,1,0.003981530820072926
211,0.003176205870095816,0.003976271771661222,0.003636943546095435,41085445,41236579,ENSG00000124486,1,0.003596473729284157
216,0.0533995238686539,0.051797350764354363,0.033265371164448665,119871832,119876662,ENSG00000125356,1,0.04615408193248564
225,0.00289125622825916,0.003321309927746436,0.0025942137492916415,47651796,47659180,ENSG00000126756,1,0.002935593301765746
228,0.0018489091554764934,0.0016071853429179286,0.0016738460412745232,48893447,48898143,ENSG00000126768,1,0.0017099801798896484
230,0.0014031380313656353,0.001328085932536648,0.0010898685131721006,101408222,101414133,ENSG00000126945,1,0.0012736974923581279
