,WRN_1_NT_1,WRN_2_NT_1,WRN_3_NT_1,StartPos,EndPos,Gene_ID,labels,mean_value
0,0.015515626896606368,0.015348918068985157,0.013955343691193486,50934867,50959140,ENSG00000000419,1,0.014939962885595003
3,0.001334456900220521,0.0016439965649369434,0.0015096000603846145,56468585,56519449,ENSG00000022277,1,0.0014960178418473597
4,0.0025383837608123337,0.002573078064381418,0.002858323613981535,35771974,35950370,ENSG00000025293,1,0.0026565951463917623
5,0.001196348412636251,0.0016094138797941048,0.001401259543251571,44942130,44960397,ENSG00000025772,1,0.0014023406118939756
10,0.0018903473720829928,0.0020423035661524583,0.00197485659474501,51596514,51768390,ENSG00000054793,1,0.0019691691776601537
14,0.001327278200742031,0.001354291523460411,0.0013752103818962843,46366050,46432985,ENSG00000062598,1,0.0013522600353662421
15,0.00318735012424238,0.003302537301793564,0.003174041923675729,44714844,44728509,ENSG00000064205,1,0.003221309783237224
16,0.003501280873801106,0.004171098131034737,0.00390104002912308,45890144,45898949,ENSG00000064601,1,0.003857806344652974
22,0.004755766034572244,0.00465447106503457,0.0052271010799308576,34363235,34511773,ENSG00000078747,1,0.004879112726512557
29,0.005591567459937319,0.0056699660308924555,0.006120579800113655,58839718,58911192,ENSG00000087460,1,0.005794037763647809
34,0.0034443417604761288,0.0032312624563590963,0.003402321419536842,35115364,35147336,ENSG00000088298,1,0.003359308545457356
42,0.0015898130383054571,0.0018679940861636996,0.002117727499773301,3471018,3651118,ENSG00000088812,1,0.0018585115414141526
45,0.012726524317512459,0.012300104101665583,0.013160058325534034,1368977,1393164,ENSG00000088832,1,0.012728895581570691
48,0.0009759266783966875,0.0011494383844281185,0.001165304564548249,3249306,3407669,ENSG00000088854,1,0.0010968898757910182
54,0.007479211994160375,0.0073381501251689,0.007394246631847494,21303331,21389825,ENSG00000088930,1,0.00740386958372559
56,0.0011587664075927784,0.0011505516028412753,0.001257898171226782,17941597,17968980,ENSG00000089006,1,0.0011890720605536118
58,0.002649398813707835,0.0025668296187760275,0.0027790465948867578,18486540,18497225,ENSG00000089050,1,0.002665091675790207
60,0.012401323318194098,0.012895630856582428,0.013659478095411084,5068232,5113103,ENSG00000089063,1,0.01298547742339587
70,0.0010953621035655519,0.0013529681489070325,0.0012853439116590336,34928432,34956027,ENSG00000100983,1,0.0012445580547105395
72,0.00660506480043336,0.007160334387057525,0.006819906267240565,35002404,35092807,ENSG00000100991,1,0.006861768484910484
73,0.0024282824326816587,0.002677544307254323,0.0029206685401555552,25248085,25298012,ENSG00000100994,1,0.002675498426697179
74,0.0013740045257952227,0.0013801394137532242,0.0012848048212142809,25294742,25390835,ENSG00000100997,1,0.0013463162535875758
75,0.0016525811428346234,0.0015888327448150782,0.0011645479391720127,35172072,35216240,ENSG00000101000,1,0.0014686539422739048
82,0.003641917911619356,0.003655715340617568,0.003597361299178557,43590937,43647299,ENSG00000101052,1,0.003631664850471827
85,0.0027098021864544017,0.002910595819581814,0.002833158306305217,36651766,36746090,ENSG00000101079,1,0.0028178521041138105
87,0.002734816684679129,0.0031294499979343214,0.0030364695254403223,36605779,36612557,ENSG00000101084,1,0.0029669120693512573
91,0.0011439446444927255,0.0011707239056953434,0.001406091355314356,44966494,45080021,ENSG00000101109,1,0.0012402533018341416
93,0.0019571644381136516,0.0020999946689220475,0.002486857250277486,50888916,50931437,ENSG00000101126,1,0.002181338785771062
94,0.007311863018418468,0.007529690864952944,0.00741385131992576,54208087,54228052,ENSG00000101132,1,0.007418468401099057
96,0.0011685938482528095,0.001097636967866375,0.0009656348034980897,56392371,56406362,ENSG00000101138,1,0.0010772885398724248
99,0.009940903810761908,0.009888943510156923,0.01017849467299657,63865228,63891545,ENSG00000101150,1,0.010002780664638467
100,0.002854760292853138,0.0028853701476833247,0.003307786890110702,63895126,63936031,ENSG00000101152,1,0.003015972443549055
102,0.009367147324875763,0.009867771674073924,0.011381199285380474,58985686,59008238,ENSG00000101160,1,0.010205372761443387
103,0.0014470585756997114,0.0016680264701188993,0.001955835996458929,63981132,64033100,ENSG00000101161,1,0.0016903070140925132
105,0.0061817036895593525,0.006165101846751571,0.006641308921555333,59033145,59042809,ENSG00000101166,1,0.006329371485955419
108,0.01540231197910924,0.01504100623044768,0.014628798310398533,62136733,62143440,ENSG00000101182,1,0.015024038839985149
112,0.001121512770587578,0.0010658501883851373,0.001141833258219269,62841005,62861822,ENSG00000101190,1,0.0011097320723973281
114,0.0016974039990469171,0.0015500879568545588,0.0016649895629823358,62938147,62948475,ENSG00000101193,1,0.0016374938396279371
133,0.005033988201960821,0.004954641933294702,0.005035302247415826,362835,397559,ENSG00000101255,1,0.00500797746089045
134,0.0015819778882906876,0.001572880698275355,0.001642769882592718,4780023,4823608,ENSG00000101265,1,0.0015992094897195868
140,0.0012983473144482652,0.001466097180026911,0.0014951694262154824,31514410,31577923,ENSG00000101294,1,0.0014198713068968862
149,0.0048513029647469985,0.004919228523455005,0.00553975813259183,9067825,9504593,ENSG00000101333,1,0.0051034298735979445
150,0.03374870744944167,0.03249299153953522,0.03607918405221203,36541497,36551447,ENSG00000101335,1,0.03410696101372964
152,0.0020556126870168753,0.002221000225418949,0.0023814335623053074,32109714,32167258,ENSG00000101337,1,0.00221934882491371
154,0.0029986791056376607,0.002849029125192693,0.0031007951273646977,20034368,20056046,ENSG00000101343,1,0.0029828344527316835
155,0.002529925950099979,0.002482972651130436,0.0029695882643868683,32207880,32238658,ENSG00000101346,1,0.002660828955205761
158,0.0017972217730999128,0.0018094889738125752,0.0021262687126364886,32277651,32335011,ENSG00000101350,1,0.001910993153182992
161,0.0024836844471018654,0.002342906682669596,0.0021380431564386633,37289649,37317260,ENSG00000101363,1,0.0023215447620700412
162,0.0011380138128623876,0.0013101930317569587,0.00126050077909107,2658395,2664219,ENSG00000101365,1,0.0012362358745701388
163,0.004244713937722434,0.004202266776915315,0.004256497540450687,32819954,32850405,ENSG00000101367,1,0.004234492751696145
166,0.001948401804594082,0.0021627542152306647,0.001815428834015926,33407957,33443763,ENSG00000101400,1,0.0019755282846135574
172,0.0024313620122038576,0.0024278170483565628,0.0021859765503793897,33811348,33854366,ENSG00000101421,1,0.002348385203646603
174,0.007975408152360709,0.008768289976521152,0.008355945887500061,23626706,23638473,ENSG00000101439,1,0.00836654800546064
178,0.002186584922629288,0.002289540828957661,0.0025270238741756696,34280268,34311802,ENSG00000101444,1,0.00233438320858754
183,0.0015350252103792806,0.001484215751410068,0.0015732679364651126,34546854,34560345,ENSG00000101460,1,0.0015308362994181535
188,0.003366604087515364,0.0036590813474544803,0.003514391200926046,24962925,24992751,ENSG00000101474,1,0.0035133588786319635
189,0.027201818848518564,0.02788455392053364,0.028780788843090682,37178410,37241619,ENSG00000118705,1,0.027955720537380963
193,0.004464129936814482,0.004489004137171637,0.005268228995998395,56358974,56368663,ENSG00000124098,1,0.004740454356661505
196,0.002168157237022124,0.002103302235698309,0.002365296482131239,45833799,45843276,ENSG00000124104,1,0.0022122519849505575
