,HGPS_917_SCR_1,HGPS_478_SCR_1,HGPS_297_SCR_1,StartPos,EndPos,Gene_ID,labels,mean_value
0,0.001159059789396582,0.001256835139381466,0.0011957413435150577,100627108,100639991,ENSG00000000003,1,0.0012038787574310352
2,0.0043340865974588975,0.002613974047382775,0.0030961340776927675,2691187,2741309,ENSG00000002586,1,0.00334806490751148
4,0.001327988350628659,0.0018330782718497312,0.0015562559621432473,11111301,11123086,ENSG00000004961,1,0.0015724408615405458
5,0.0031365368309068387,0.0038280900335492946,0.00287982100843852,119468422,119471396,ENSG00000005022,1,0.003281482624298218
7,0.0012521157762132216,0.0014590709196128724,0.0013888762705795575,24149173,24216255,ENSG00000005889,1,0.0013666876554685504
8,0.003781569295782189,0.0031992983397316145,0.0036138587230748497,120426148,120469365,ENSG00000005893,1,0.0035315754528628843
20,0.0018292805660050401,0.002644243183486237,0.0014905231447592203,154401236,154412112,ENSG00000013563,1,0.0019880156314168325
24,0.0016823172177042745,0.0016661656744865292,0.001443653894658054,119538149,119565409,ENSG00000018610,1,0.0015973789289496193
25,0.007501001117326405,0.0163660395869033,0.006179424814423473,136146702,136211359,ENSG00000022267,1,0.010015488506217725
45,0.002375877089179763,0.0027959105713905668,0.0029748417979178236,46599251,46759118,ENSG00000065923,1,0.002715543152829384
52,0.0013842872716825884,0.0016191257436213103,0.0014655781657587307,48922024,48958386,ENSG00000068308,1,0.0014896637270208765
53,0.0013472046310744827,0.001084618930198408,0.0009073516508133213,49028726,49043410,ENSG00000068323,1,0.0011130584040287374
55,0.0038217037882994523,0.004433972841680509,0.0033630587941901905,109624244,109733403,ENSG00000068366,1,0.003872911808056717
58,0.0020570347629228413,0.0026784560625041547,0.0018488633765449732,48476021,48486364,ENSG00000068438,1,0.0021947847339906564
59,0.001297353989232994,0.0008792244024439695,0.0010651381194971116,44523639,44542859,ENSG00000069509,1,0.0010805721703913585
61,0.0016770431012479315,0.0011861221880028671,0.0010784155326584582,154428633,154436516,ENSG00000071553,1,0.0013138602739697523
67,0.003630320071128165,0.004014847122794618,0.002741083957650371,53431258,53434370,ENSG00000072506,1,0.0034620837171910513
70,0.0017289915808663707,0.0005174428327430823,0.0013016947240587495,133300103,133415489,ENSG00000076716,1,0.0011827097125560674
74,0.0013708513802697087,0.0011389528083005586,0.0015271883669769224,119399336,119454478,ENSG00000077713,1,0.0013456641851823964
75,0.0021990463547584623,0.002214963992025297,0.0020329723648302273,119474802,119591083,ENSG00000077721,1,0.002148994237204662
88,0.0011027156494578243,0.0011525468472978085,0.0010621688725554197,53532096,53686728,ENSG00000086758,1,0.0011058104564370173
90,0.006118783799540364,0.006918266951839438,0.006488994844672427,70133447,70166324,ENSG00000089289,1,0.006508681865350742
91,0.0012110344780266442,0.0008584105120779341,0.0013063949573500567,66162671,66268867,ENSG00000089472,1,0.0011252799824848783
100,0.008483728535632803,0.0036452432545273396,0.009604263518093034,3308565,3346652,ENSG00000101825,1,0.007244411769417726
102,0.003411661012961221,0.0041617847961053275,0.004026290363120504,108084207,108091549,ENSG00000101843,1,0.0038665787240623507
107,0.008266038743868274,0.00639781266452282,0.00773106541899614,119236245,119244466,ENSG00000101856,1,0.007464972275795745
116,0.002283897023888653,0.0023168808214577685,0.002031249834442316,134887632,134915257,ENSG00000101928,1,0.0022106758932629125
121,0.0013670302714826432,0.0017209402477863583,0.002428616192411856,38149336,38220924,ENSG00000101955,1,0.0018388622372269526
123,0.0017099044495554954,0.001797788608460863,0.0017232664701772853,123859712,123913972,ENSG00000101966,1,0.0017436531760645479
124,0.002455733120509615,0.0021994290555283863,0.002375809187757872,123960212,124422664,ENSG00000101972,1,0.002343657121265291
125,0.0024495222012958008,0.004319651007493758,0.0020314184827556216,139726346,139945276,ENSG00000101974,1,0.0029335305638483935
131,0.0028371101131296765,0.001931510428175008,0.0014210595849956955,49171898,49175235,ENSG00000102007,1,0.0020632267087667936
134,0.016621696893163125,0.023139534682205642,0.013436530531721492,115561174,115650861,ENSG00000102024,1,0.01773258736903009
138,0.0035611675525641273,0.004701255655437326,0.004113378596013353,129446501,129523500,ENSG00000102038,1,0.004125267268004935
155,0.011389440737086901,0.016482067614020716,0.01196476157304117,77910739,78129295,ENSG00000102144,1,0.013278756641382929
157,0.006183807253712112,0.005160655230824711,0.004189568638980322,77825747,77899271,ENSG00000102158,1,0.005178010374505715
158,0.003227099201283285,0.004501733694442419,0.003363295929128189,21940709,21994837,ENSG00000102172,1,0.003697376274951298
160,0.0012355378420593705,0.0016041809688208276,0.0013828533527885712,154483717,154486615,ENSG00000102178,1,0.0014075240545562563
161,0.0012482064881088554,0.0009303815672149819,0.0012130236999722528,150766336,150898816,ENSG00000102181,1,0.0011305372517653631
162,0.0019657978310259664,0.0016280556139695215,0.002131119039128948,46837043,46882358,ENSG00000102218,1,0.0019083241613748116
164,0.0009773433444155914,0.0013738768500480656,0.0011174877961388373,47217860,47229997,ENSG00000102225,1,0.0011562359968674983
169,0.014163014982728931,0.01765847315792547,0.0182819716291371,47582408,47586789,ENSG00000102265,1,0.016701153256597167
176,0.008626248277640773,0.008133386989980982,0.007693269453266249,54807599,54816015,ENSG00000102316,1,0.008150968240296002
177,0.006833516050935924,0.00506465148337248,0.00469124990435704,48574449,48581162,ENSG00000102317,1,0.005529805812888482
187,0.0014101998297625805,0.0012816500929379692,0.0014354272254815709,101622797,101627843,ENSG00000102401,1,0.0013757590493940401
