,129_94YR_M,130_89YR_M,131_87YR_M,132_90YR_M,133_89YR_M,134_86YR_M,135_92YR_M,136_87YR_M,166_82YR_F,56_83YR_M,57_83YR_M,58_83YR_M,59_84YR_F,60_84YR_M,61_84YR_F,62_84YR_M,63_84YR_M,64_84YR_M,65_84YR_M,66_86YR_M,67_86YR_M,68_86YR_M,69_87YR_F,70_87YR_M,71_87YR_M,72_87YR_M,73_88YR_M,74_89YR_M,75_90YR_M,76_91YR_M,77_92YR_F,78_96YR_M,StartPos,EndPos,Gene_ID,labels,mean_value
0,0.00046299936622033223,0.0005743516464105607,0.00045276898670323196,0.000554896795708067,0.0006197121137583333,0.0005196002475729625,0.00043477818857106065,0.0005391650240449145,0.00046216576057391126,0.00043072027010381306,0.0005397540795123399,0.0004051682569304848,0.0004835049032042744,0.0003622308982520835,0.0005664115524516192,0.0005403153015051688,0.0005748811594800277,0.00035451075302963094,0.0004539568961375267,0.0006823738779448019,0.0006687976395377427,0.0006650881505723378,0.0005390591025983894,0.0005494361271127712,0.0007951451975169449,0.0006203697097527831,0.0003950595190407868,0.0006565568268372105,0.0006364399324828976,0.0007498008128450109,0.0007549496904352939,0.00046012373374009787,74273007,74376175,ABCB7|ABC7|ASAT|Atm1p|EST140535|-|Xq13.3|protein-coding,0,0.0005470341412683566
1,0.0003059625982127548,0.0003075234016399708,0.00024460062614173117,0.0002649383712676564,0.0001897772307276228,0.00021576070255320434,0.00022173800575863654,0.0002697622736441659,0.00034441249705485186,0.00033389403029379037,0.00040826480142819516,0.00033142882994362824,0.0005903731382361504,0.0005303939805235586,0.00039222433938943744,0.00038504470540453765,0.0003129943231136055,0.000621629046906487,0.0003085972366224672,0.00017981230334155406,6.322666760335803e-05,8.689185849968271e-05,0.00025736819693837057,0.00015026015630984627,0.00022246548563101934,0.00011377229121260825,0.0006297854276412647,0.00019283829920540576,6.639257035761247e-05,0.00019927241129734748,8.903930826350736e-05,0.00012864663130774664,152990323,153010216,ABCD1|ABC42|ALD|ALDP|AMN|-|Xq28|protein-coding,0,0.000279971617077243
2,0.0,0.0,0.0,1.7137022721064451e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0680249599728325e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.149448677727051e-06,0.0,0.0,3.1072264406804773e-06,0.0,0.0,0.0,0.0,0.0,0.0,15579156,15620192,ACE2|ACEH|-|Xp22.2|protein-coding,0,2.824500734527127e-07
5,1.1265191392222195e-06,3.0796334928180196e-06,3.587176918668835e-06,2.513429999089453e-06,1.207373937538375e-06,2.705124154378189e-06,0.0,5.273007570121413e-06,6.4248202814513645e-06,1.2115900706155079e-06,3.449241793940205e-06,0.0,1.2225155580386203e-06,0.0,0.0,1.5384206266163035e-06,1.2802893828724135e-05,0.0,4.571058475316335e-06,1.5614962882032082e-06,4.215111173557202e-06,1.8561678718223277e-06,0.0,3.839088960976464e-06,3.5033934745042417e-06,0.0,1.456632411527789e-06,0.0,1.4935190685360837e-05,3.296577254776428e-06,0.0,0.0,19007425,19140755,ADGRG2|CBAVDX|EDDM6|GPR64|HE6|TM7LN2|-|Xp22.13|protein-coding,0,2.6680144989771084e-06
6,2.140386364522217e-06,0.0,1.120992787084011e-06,0.0,2.3049866080278073e-06,0.0,6.777524373672028e-07,9.587286491129843e-07,0.0,0.0,1.149747264646735e-06,0.0,6.112577790193102e-07,0.0,1.3134766646220212e-06,1.5384206266163035e-06,0.0,0.0,0.0,2.282186882758535e-06,0.0,9.280839359111638e-07,1.4706754110764032e-06,0.0,0.0,1.075578383312473e-06,7.283162057638945e-07,9.801184203578437e-07,0.0,1.0230756997582017e-06,0.0,0.0,135383122,135499047,ADGRG4|GPR112|PGR17|RP1-299I16|-|Xq26.3|protein-coding,0,6.344932537486596e-07
7,2.376955383758883e-05,6.390239497597391e-05,0.00017409017983414688,1.862223135689004e-05,0.00012435951556645264,0.00014596849937024707,0.00019869442288815163,9.275699680168123e-05,9.637230422177047e-05,0.00010581219950042103,0.0001416279585087569,0.0001115059713490439,0.00014079304176744777,5.790469887923932e-05,0.0001182128998159819,0.0001358205638926965,0.00017518105946132294,9.634787016136312e-05,0.00010381381692829543,4.43224715651526e-05,5.901155642980083e-05,7.529080930079316e-05,4.321523131009124e-05,4.5176256145443976e-05,0.00011085737922895565,9.548745869629623e-05,0.00011913172222852275,5.439657232986033e-05,2.0833963477057978e-05,0.00013470496713482988,3.839525726706799e-05,3.208502162877875e-05,147582139,148082193,AFF2|FMR2|FMR2P|FRAXE|MRX2|OX19|-|Xq28|protein-coding,0,9.370202643312886e-05
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115301958,115306225,AGTR2|AT2|ATGR2|MRX88|-|Xq23|protein-coding,0,0.0
9,0.0011139021248629305,0.0010393763038260815,0.0008404082924768829,0.0008362867087879453,0.0009167261023927736,0.0007355773600585171,0.0008253895099736919,0.0009831762296653654,0.0010286031945680987,0.0012752995151620401,0.0010902739743209175,0.001129209711641971,0.0010481033384251105,0.0011830191205234061,0.001324186551272016,0.0011457937052662998,0.0013437834091774683,0.0010179317179761964,0.0012349984209532444,0.0009236851120217439,0.0010579929045628578,0.0009105663516208406,0.000901297769234285,0.000790941607099779,0.0009645592962483284,0.0010183337115783982,0.0010346251928737382,0.001126278579793707,0.0011134874937858937,0.0009569168045071712,0.0010036944246317589,0.0008755941093535197,129263338,129299861,AIFM1|AIF|CMT2D|CMTX4|COWCK|COXPD6|DFNX5|NADMR|NAMSD|PDCD8|-|Xq26.1|protein-coding,0,0.001024688082770093
10,0.0,0.0,1.2443019936632522e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4670369287529874e-05,0.0,0.0,0.0,0.0,0.0,119029936,119037620,AKAP14|AKAP28|PRKA14|-|Xq24|protein-coding,0,8.472934132550749e-07
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49955420,49965004,AKAP4|AKAP 82|AKAP-4|AKAP82|CT99|FSC1|HI|PRKA4|hAKAP82|p82|-|Xp11.22|protein-coding,0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55035488,55057497,ALAS2|ALAS-E|ALASE|ANH1|ASB|SIDBA1|XLDPP|XLEPP|XLSA|-|Xp11.21|protein-coding,0,0.0
13,0.0007190571665655427,0.0005672024972308045,0.0005352740558326153,0.0008096672001612252,0.0006311272855314234,0.0005650463333665162,0.0005913390016028845,0.0006247315559782484,0.0005040850797873152,0.0005235078763451173,0.00043763561791598907,0.0005953960489817133,0.0005188559780908911,0.00047488383686113,0.0006480491789912034,0.00043251597045441216,0.0004651718091103103,0.0004673283445860989,0.0004493858376622104,0.0007407498161037835,0.0010835177444471764,0.000891308609950684,0.0006722117917396914,0.0007622823616003965,0.0005893208308898207,0.0009603719875887815,0.000324412847081689,0.0008182763661962548,0.0009863501142542087,0.0007653742984968857,0.0008618910818417286,0.000579676202866439,110924398,110932027,ALG13|CDG1S|CXorf45|EIEE36|GLT28D1|MDS031|TDRD13|YGL047W|-|Xq23|protein-coding,0,0.0006436251477535373
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11311533,11318881,AMELX|AI1E|AIH1|ALGN|AMG|AMGL|AMGX|-|Xp22.2|protein-coding,0,0.0
15,5.824103949778875e-05,6.08227614831559e-05,0.0001140049664464439,9.025498633093946e-05,7.595479679786869e-05,6.795271875798011e-05,5.975517322787505e-05,7.561972219878664e-05,8.520786242121564e-05,5.845922090719825e-05,7.922803878202046e-05,5.7995062846419606e-05,6.224641716346642e-05,5.126525032353706e-05,7.517127988298337e-05,0.00010648068479937129,6.266131776334902e-05,6.824640803096555e-05,7.354325191397836e-05,0.00011314842334518631,7.727703818188204e-05,0.00018677689210212174,0.00011663587298613629,6.026476857346775e-05,0.00014589131397399805,9.214121483710185e-05,5.223067647049643e-05,0.00010830308544954174,9.927509102622204e-05,9.616911577727096e-05,0.00012142794552867207,4.2916270968430176e-05,63404997,63425624,AMER1|FAM123B|OSCS|WTX|-|Xq11.2|protein-coding,0,8.423652089987094e-05
16,0.00048091102053396547,0.00025538960608298005,0.0001859727033772374,0.0004029485275812955,0.00031281961108948814,0.00017204589621845284,0.0002891743732766732,0.00028546145527339107,0.0002604685337053971,0.0003330863035800467,0.0005367229276328167,0.0002910714408494702,0.00023818678122452454,0.0003480812537891115,0.0003651465127649219,0.00023900463306360427,0.00030872669183736414,0.00016778528671263022,0.00022388028621327116,0.0007120423074206629,0.0007123537883311672,0.0005574304140066427,0.0003991186807905809,0.00034266101005180625,0.0004568174848362495,0.0006713999286054971,0.00019716560141751145,0.0005453133861265953,0.0005050353556125379,0.0007588948190650839,0.0006827524735496721,0.0003467021604663895,109437414,109561380,AMMECR1|AMMERC1|-|Xq23|protein-coding,0,0.00039326785172147
