StartPos,EndPos,Gene_ID,WT_1_1,WT_2_1,WT_3_1,HGPS_917_SCR_1,HGPS_478_SCR_1,HGPS_297_SCR_1,HGPS_917_NT_1,HGPS_478_NT_1,HGPS_297_NT_1,WRN_1_NT_1,WRN_2_NT_1,WRN_3_NT_1,WRN_1_L1_ASO_1,WRN_2_L1_ASO_1,WRN_3_L1_ASO_1,HGPS_917_L1_ASO_1,HGPS_478_L1_ASO_1,HGPS_297_L1_ASO_1,WRN_1_SCR_1,WRN_2_SCR_1,WRN_3_SCR_1
227258,229886,ENSG00000125903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270863,290778,ENSG00000196476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
297570,300321,ENSG00000247315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311731,313237,ENSG00000286158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
316860,348490,ENSG00000225377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325552,330224,ENSG00000177732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
346782,359660,ENSG00000125841,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
362835,397559,ENSG00000101255,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
407498,432139,ENSG00000125826,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
423596,462566,ENSG00000125875,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1
450663,450762,ENSG00000206797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
472498,543835,ENSG00000101266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
646615,653200,ENSG00000271303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
646626,675800,ENSG00000270299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
833715,857463,ENSG00000125898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
839447,839977,ENSG00000101278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
869900,916334,ENSG00000101280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
958452,1002311,ENSG00000101282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1023874,1118493,ENSG00000286787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1113240,1189415,ENSG00000125818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1160584,1161697,ENSG00000215388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1180561,1185415,ENSG00000125895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1186092,1207036,ENSG00000274269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1203454,1209076,ENSG00000215595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1226044,1296421,ENSG00000244588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1266280,1309328,ENSG00000101298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1309909,1329139,ENSG00000125775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1317571,1393096,ENSG00000274322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1320710,1324367,ENSG00000280162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1325400,1378735,ENSG00000234684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1361622,1362585,ENSG00000229728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1368977,1393164,ENSG00000088832,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1442162,1473842,ENSG00000088833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1470741,1491587,ENSG00000196209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1561385,1620061,ENSG00000101307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1591392,1591848,ENSG00000271523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1665283,1708200,ENSG00000223750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722045,1722537,ENSG00000234282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1729038,1817765,ENSG00000286288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756756,1758940,ENSG00000271461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1767957,1779995,ENSG00000232528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1888128,1894374,ENSG00000276649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1894167,1940592,ENSG00000198053,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1978757,1994285,ENSG00000101327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2101827,2177038,ENSG00000125834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2107900,2109991,ENSG00000286108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2194074,2201329,ENSG00000287213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2206683,2207397,ENSG00000287561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2207217,2213151,ENSG00000226644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2461634,2470853,ENSG00000125835,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2481817,2524702,ENSG00000088876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2536573,2643580,ENSG00000149488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2652593,2658393,ENSG00000101361,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
2658395,2664219,ENSG00000101365,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1
2664352,2665874,ENSG00000228293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2692780,2760108,ENSG00000088881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2794074,2800627,ENSG00000088882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2814987,2815833,ENSG00000258713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2816302,2820284,ENSG00000198326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2835314,2841190,ENSG00000132635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2840703,2866732,ENSG00000215305,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2873420,3039076,ENSG00000132670,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3043622,3045747,ENSG00000125787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3046052,3048250,ENSG00000125901,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3071620,3072517,ENSG00000101405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3082556,3084724,ENSG00000101200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3094171,3094509,ENSG00000263905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3106913,3150867,ENSG00000235958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3107573,3160196,ENSG00000185019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3146519,3159865,ENSG00000215251,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3162617,3173549,ENSG00000088899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3190350,3204685,ENSG00000198171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3208868,3223870,ENSG00000125877,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3227417,3239559,ENSG00000088836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3239705,3245382,ENSG00000277287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3249306,3407669,ENSG00000088854,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1
3361880,3362324,ENSG00000226632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3406380,3410036,ENSG00000288577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3471018,3651118,ENSG00000088812,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1
3489529,3491005,ENSG00000230568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3667965,3682246,ENSG00000149451,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1
3686970,3712600,ENSG00000088827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
