,129_94YR_M,130_89YR_M,131_87YR_M,132_90YR_M,133_89YR_M,134_86YR_M,135_92YR_M,136_87YR_M,166_82YR_F,56_83YR_M,57_83YR_M,58_83YR_M,59_84YR_F,60_84YR_M,61_84YR_F,62_84YR_M,63_84YR_M,64_84YR_M,65_84YR_M,66_86YR_M,67_86YR_M,68_86YR_M,69_87YR_F,70_87YR_M,71_87YR_M,72_87YR_M,73_88YR_M,74_89YR_M,75_90YR_M,76_91YR_M,77_92YR_F,78_96YR_M,StartPos,EndPos,Gene_ID,labels,mean_value
36,0.0016581883602737352,0.0017731552808329804,0.0018344779961697582,0.0018304041322794566,0.0020381023576266765,0.0021144194251900153,0.0019011138936421812,0.001872556854830277,0.002126872961511004,0.0018079946997728632,0.0017839533221420288,0.0020232083410562374,0.001624900047944045,0.0027755113702339126,0.001816612643413209,0.0019300032060190018,0.0019080700433770934,0.0018386081104893755,0.001853978560905601,0.0018051638453772604,0.0017749686607095843,0.001738982615520196,0.001852320890101194,0.0016348681469860074,0.0021154862326981053,0.0017733415791519379,0.0021049435844056586,0.002065535711167163,0.0016575889023355008,0.0019268369822601945,0.0019240043317463793,0.002241656817807685,121746048,121792012,ANAPC5|APC5|-|12q24.31|protein-coding,1,0.0019102446846242598
39,0.00257113933383094,0.002843099379546925,0.0018511954447896777,0.002285311569142182,0.0030926007119909393,0.0018197761411262807,0.0027440814916452807,0.002236632384895135,0.002197870533474153,0.0026385951584429836,0.0033210653808979523,0.003029303556066329,0.002537479418809649,0.001998551579773197,0.0034481896940359554,0.002823614325662739,0.003180673729822611,0.0019839290800420695,0.002606568313868648,0.0030293288617253412,0.0033653051646640197,0.0035832556202973244,0.0027047629421787177,0.002170411683141926,0.002061685251389305,0.0026033913535212804,0.0022760819741164903,0.003002494748437036,0.0037375848963949,0.002903668929132844,0.0034703808012564634,0.0014869817317110655,110437235,110477235,ANKRD13A|ANKRD13|NY-REN-25|-|12q24.11|protein-coding,1,0.0026751565995571987
45,0.0015134556620102228,0.0012811681088050343,0.0018107242482799616,0.0012005743094674422,0.0014029928390826105,0.0012766541887161476,0.002143851239857828,0.0018229404796222264,0.0009046933200297166,0.0006868841140243456,0.0010613299001973504,0.0008547766465068512,0.00069804589698669,0.001144228813717194,0.001032952484695678,0.0010074220351543755,0.000852873438323702,0.0006880465352193012,0.0008334545861274268,0.0017690562699488308,0.0017659584031302778,0.002016720113814001,0.0014502737526672386,0.0008004256110750729,0.001416389952044337,0.0016858549563778006,0.000826045543715553,0.001578541239457257,0.0016874118001650234,0.0013782859939638974,0.0019802772091051164,0.0013594980281317322,45686466,45826134,ANO6|BDPLT7|SCTS|TMEM16F|-|12q12|protein-coding,1,0.001310368991263133
50,0.003258314802060682,0.002214361184679045,0.0023476288145537418,0.0016957491476940261,0.0023222186962857097,0.0016024073221581952,0.0034600292102436796,0.002048828253942349,0.002145198145811789,0.0023886192833570625,0.0030357536440160336,0.0018097807417933,0.0017137971560154312,0.0015704249693516174,0.00227516433064543,0.0025275679927102158,0.002296006651012815,0.0028310575155184505,0.0021336046195113995,0.0034059330227043036,0.004493878988282447,0.0035555964351401924,0.0030469737216799833,0.002544520280681133,0.0026335580350657917,0.0027226634198500408,0.0019135362358677736,0.0031787506336048714,0.004098683767411825,0.0037268515210217815,0.00427943405657641,0.002215295966188106,105567075,105630008,APPL2|DIP13B|-|12q23.3|protein-coding,1,0.0026716308926698637
53,0.0020101711536851612,0.0021429602081519993,0.0019787470826180802,0.0018734520200506836,0.00192717988983498,0.0017048397522655674,0.0020668024527293427,0.0021998814127627254,0.0018001239102899114,0.0018878761920400314,0.0018415058507506685,0.001907120431631996,0.002140393468757379,0.0018669910860284978,0.0017405840087089972,0.0018956989866368054,0.0019461411214023452,0.0020592447779576857,0.002080791303513993,0.002425494140498122,0.0019356949895520071,0.001961565407317235,0.002219423594502459,0.0016326960286384496,0.0020544590411546914,0.0020206241536870144,0.002048776590065631,0.0019795638038758185,0.0022172216252884873,0.0021337603101399885,0.0023606554563540575,0.0018889573736278822,49329992,49351252,ARF3|-|-|12q13.12|protein-coding,1,0.0019984186757662087
58,0.0018110816189707702,0.0015010030580470388,0.0019724593258237224,0.0018943056681059495,0.001993370814740714,0.0024453241896384395,0.0022977083372511023,0.002174611915885072,0.0014218039852168832,0.0011901770823647647,0.0012317116445877952,0.0010809548121703844,0.0009892605613584723,0.0013836534686942493,0.001112508440070907,0.0011426156075185286,0.0010845063673765093,0.0010372416962480498,0.001020612886084567,0.0024380135825737533,0.0029506249863609176,0.0027717558585372884,0.0017515298694056858,0.001636186933125596,0.0019680082486398633,0.0025091592668416607,0.0012036831091391121,0.002538462052593031,0.0027192739897631893,0.002021277206939614,0.002375287504621334,0.0027622016014490812,101786898,101801598,ARL1|ARFL1|-|12q23.2|protein-coding,1,0.0018259492403170019
59,0.0017091684130969489,0.001783814227133302,0.001449327941099488,0.0019085060094007256,0.0016335587107379661,0.00161481124924151,0.0014377149772982626,0.0016133010430510214,0.0027286499836725606,0.0026087879753075188,0.002703918456251237,0.00291006132533741,0.002922806976286342,0.0023766794112074292,0.002415789681252605,0.0027181725360603563,0.002989866725484901,0.0033354094791201425,0.0029411860154784806,0.0017711517988799452,0.0009129005482663613,0.0012368620234368768,0.002086400722333875,0.002678105559055942,0.0022316858031130936,0.001247655312517854,0.0031454982056354735,0.0014243308151559795,0.0008749393403769442,0.0019170083615922006,0.0008733572569156093,0.001316128411255537,123464607,123467460,ARL6IP4|SFRS20|SR-25|SRp25|SRrp37|-|12q24.31|protein-coding,1,0.0020474236029704345
62,0.0037811534670774143,0.0038553734587582563,0.0039472640847374035,0.004259754827631939,0.004952952754622795,0.004165468787418097,0.004058431837867036,0.00442887656635001,0.0045855519240091645,0.004760752292856014,0.0040155471481693565,0.004923051442448919,0.0045477985292309755,0.004165390555616741,0.004799535991590188,0.004855518537246013,0.004575529383307697,0.003655143318707957,0.004432095256728508,0.0032169055668155905,0.003716132303705679,0.0030022490681800547,0.0029685216079460125,0.003484077829482814,0.0028592056802021143,0.0036690213445896734,0.0045518220621804766,0.00359120018507407,0.003329585488419723,0.0031050844309378203,0.0034932640045616786,0.00391321920141933,110872695,110888216,ARPC3|ARC21|p21-Arc|-|12q24.11|protein-coding,1,0.003989546216809048
70,0.0013343454304261804,0.0014606014624632872,0.001038278316376268,0.0015312039342293816,0.0011273034723582828,0.0013881895007959522,0.0012376382267024451,0.0013339526495759438,0.00176998248693179,0.001412543944162969,0.0013893574301758716,0.001770640501378927,0.0014573086393668514,0.0018625027786483594,0.0010906220527748369,0.0011223365716639055,0.001314919938058401,0.0013842203315257563,0.0013655887548891773,0.0011740872480455566,0.0009888887899323028,0.0010923468725862996,0.001553777354922362,0.0015467422025993742,0.0013674943543254563,0.00097962532627349,0.0017591014218650196,0.0012196691650084958,0.0008202808198616873,0.0011889782132716673,0.0009646150316352035,0.0013965235396389002,52463758,52471279,ATG101|C12orf44|-|12q13.13|protein-coding,1,0.0013263645863271997
73,0.0032417122825579977,0.0026466768756720025,0.0029866844773199864,0.0024843149534410037,0.0027078996443670863,0.0019389638759631303,0.0022961211899507027,0.0022164885466133544,0.002205030373241946,0.0023824644077833678,0.002436113191949893,0.0021325877643254615,0.002585702554119603,0.002264857817661403,0.0024127298368150966,0.002242419917121742,0.0023616261959365286,0.0017904910306438377,0.0019462240412882771,0.005092833812251247,0.0042045090974695805,0.005066813571309252,0.005106195440543988,0.0023654756683181488,0.0032415618699153455,0.0034079412302479273,0.001996516864897084,0.0038591414710585675,0.0022981766874709923,0.0035419594974412587,0.00530070701947212,0.0019523984273181552,110719032,110788897,ATP2A2|ATP2B|DAR|DD|SERCA2|-|12q24.11|protein-coding,1,0.002897291863577691
